--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Stan Mikita*,1959,1980,22,1396,541,926,1467,329,1264,379,150,12,84,608,312,6,4482,12.1,,,mikitst01
2,Duncan Keith,2006,2021,16,1192,105,520,625,144,653,70,30,5,18,351,154,15,2447,4.3,29731,24:57,keithdu01
3,Patrick Kane,2008,2023,16,1161,446,779,1225,20,420,324,122,0,67,502,276,1,3866,11.5,23567,20:18,kanepa01
4,Brent Seabrook,2006,2020,15,1114,103,361,464,111,661,63,38,2,19,230,121,10,1996,5.2,24442,21:56,seabrbr01
5,Jonathan Toews,2008,2023,15,1067,372,511,883,148,607,262,93,17,69,360,136,15,2695,13.8,20917,19:36,toewsjo01
6,Bobby Hull*,1958,1972,15,1036,604,549,1153,259,634,433,152,19,98,373,166,10,4539,12.6,,,hullbo01
7,Eric Nesterenko,1957,1972,16,1013,207,288,495,49,1014,156,29,22,22,234,41,13,1328,12.3,,,nesteer01
8,Bob Murray,1976,1990,15,1008,132,382,514,22,873,81,48,3,12,211,164,7,2082,6.3,,,murrabo02
9,Doug Wilson*,1978,1991,14,938,225,554,779,121,764,136,80,9,22,272,275,7,3064,7.3,,,wilsodo01
10,Dennis Hull,1965,1977,13,904,298,342,640,42,253,242,49,7,43,254,85,3,2530,11.8,,,hullde01
11,Steve Larmer,1981,1993,13,891,406,517,923,181,475,234,153,19,49,302,186,29,2545,16.0,,,larmest01
12,Denis Savard*,1981,1997,13,881,377,719,1096,104,1005,261,101,15,46,408,301,10,2445,15.4,,,savarde01
13,Chico Maki,1962,1976,14,841,143,293,436,144,345,117,14,12,24,239,42,12,1383,10.3,,,makich01
14,Pierre Pilote*,1956,1968,13,821,77,400,477,182,1211,41,34,2,17,261,131,8,743,7.8,,,pilotpi01
15,Cliff Koroll,1970,1980,11,814,208,254,462,105,376,151,53,4,39,191,61,2,1451,14.3,,,korolcl01
16,Keith Brown,1980,1993,14,812,64,266,330,53,854,46,15,3,5,182,75,9,1409,4.5,,,brownke02
17,Kenny Wharram,1952,1969,14,766,252,281,533,167,220,195,56,1,33,204,75,2,1489,16.2,,,wharrke01
18,Mush March,1929,1945,17,761,153,231,384,,546,89,20,1,22,141,49,4,,,,,marchmu01
19,Patrick Sharp,2006,2018,11,749,249,283,532,63,411,168,65,16,39,192,85,6,2254,11.0,13295,17:45,sharppa01
20,Pit Martin,1968,1978,11,740,243,384,627,158,439,185,51,7,34,292,84,8,1554,15.6,,,martipi01
21,Doug Jarrett,1965,1975,11,721,38,178,216,168,608,29,7,2,10,163,9,6,1126,3.4,,,jarredo01
22,Bill Mosienko*,1942,1955,14,711,258,282,540,,133,217,39,2,28,230,49,3,,,,,mosiebi01
23,Troy Murray,1982,1994,12,688,197,291,488,67,707,144,36,17,30,208,74,9,1240,15.9,,,murratr01
24,Chris Chelios*,1991,1999,9,664,92,395,487,120,1495,48,37,7,13,163,210,22,1891,4.9,1776,27:19,chelich01
25,John Marks,1973,1982,10,657,112,163,275,38,330,90,20,2,12,129,28,6,1087,10.3,,,marksjo01
26,Moose Vasko,1957,1966,10,641,32,153,185,103,608,24,4,4,3,121,27,5,553,3.1,,,vaskomo01
27,Tony Amonte,1994,2002,9,627,268,273,541,67,468,180,68,20,34,185,82,6,1903,14.1,7178,21:53,amontto01
28,Niklas Hjalmarsson,2008,2017,10,623,23,120,143,109,238,22,0,1,3,108,2,10,587,3.9,12738,20:27,hjalmni01
29,Éric Dazé,1995,2006,11,601,226,172,398,8,176,163,62,1,34,120,48,4,1607,14.1,6187,16:54,dazeer01
30,Johnny Gottselig,1929,1945,16,591,176,196,372,,211,77,26,3,30,112,34,4,,,,,gottsjo01
31,Keith Magnuson,1970,1980,11,589,14,125,139,168,1440,14,0,0,1,118,4,3,463,3.0,,,magnuke01
32,Grant Mulvey,1975,1983,9,574,148,133,281,-68,797,114,33,1,19,105,28,0,1117,13.2,,,mulvegr01
33,Dirk Graham,1988,1995,8,546,152,191,343,35,628,101,25,26,26,149,30,12,1292,11.8,,,grahadi01
34,Doug Bentley*,1940,1952,12,545,217,314,531,,215,176,39,2,28,242,69,3,,,,,bentldo01
35,Pat Stapleton,1966,1973,8,545,41,286,327,201,301,32,9,0,7,196,84,6,972,4.2,,,staplpa01
36,Marián Hossa*,2010,2017,8,534,186,229,415,133,170,128,40,18,29,161,62,6,1614,11.5,9860,18:28,hossama01
37,Alexei Zhamnov,1997,2004,8,528,140,284,424,19,419,95,37,8,22,165,107,12,1295,10.8,8274,21:33,zhamnal01
38,Jeremy Roenick,1989,1996,8,524,267,329,596,117,570,140,108,19,38,193,129,7,1453,18.4,,,roenije01
39,J.P. Bordeleau,1972,1980,9,519,97,126,223,-3,143,87,6,4,14,101,23,2,621,15.6,,,bordejp01
40,Bill Hay*,1960,1967,8,506,113,273,386,19,244,77,32,4,13,190,77,6,1276,8.9,,,haybi01
41,Phil Russell,1973,1979,7,504,53,176,229,78,1288,39,11,3,5,132,42,2,1064,5.0,,,russeph01
42,Jim Pappin,1969,1975,7,488,216,228,444,86,447,168,42,6,35,174,49,5,1122,19.3,,,pappiji01
