--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Rick Nash,2003,2012,9,674,289,258,547,-71,568,192,83,14,44,154,99,5,2278,12.7,12734,18:54,nashri01
2,Boone Jenner,2014,2023,10,657,170,159,329,-59,382,129,36,5,26,135,23,1,1635,10.4,11379,17:19,jennebo01
3,Cam Atkinson,2012,2021,10,627,213,189,402,17,146,155,42,16,42,136,53,0,1883,11.3,11082,17:41,atkinca01
4,Nick Foligno,2013,2021,9,599,142,192,334,16,466,109,33,0,21,138,50,4,1178,12.1,10654,17:47,foligni01
5,David Savard,2012,2021,10,597,41,125,166,24,331,35,6,0,6,101,19,5,881,4.7,12199,20:26,savarda01
6,Fedor Tyutin,2009,2016,8,553,39,146,185,-22,351,27,11,1,3,77,63,6,792,4.9,12261,22:10,tyutife01
7,David Výborný,2001,2008,7,543,113,204,317,-48,228,70,36,7,17,113,90,1,920,12.3,9684,17:50,vyborda01
8,Jared Boll,2008,2016,9,518,27,35,62,-49,1195,26,1,0,5,34,1,0,363,7.4,4041,7:48,bollja01
9,Rostislav Klesla,2001,2011,10,515,41,92,133,-50,508,33,8,0,4,60,29,3,747,5.5,10594,20:34,kleslro01
10,Jack Johnson,2012,2018,7,445,36,118,154,-19,198,22,14,0,7,73,44,1,730,4.9,10397,23:22,johnsja02
11,R.J. Umberger,2009,2014,6,445,120,130,250,-33,200,75,40,5,15,96,31,3,1107,10.8,8172,18:22,umberrj01
12,Brandon Dubinsky,2013,2019,7,430,72,153,225,0,448,56,11,5,11,120,28,5,764,9.4,7353,17:06,dubinbr01
13,Matt Calvert,2011,2018,8,416,72,77,149,-24,273,59,7,6,9,72,3,2,614,11.7,5872,14:07,calvema01
14,Zach Werenski,2017,2023,7,416,79,166,245,-8,93,60,18,1,12,103,62,1,1086,7.3,9662,23:14,werenza01
15,Alexander Wennberg,2015,2020,6,415,40,161,201,5,85,30,9,1,9,112,46,3,501,8.0,6905,16:38,wennbal01
16,Oliver Bjorkstrand,2016,2022,7,382,111,123,234,-20,74,91,20,0,12,100,23,0,924,12.0,5981,15:39,bjorkol01
17,Seth Jones,2016,2021,6,381,50,173,223,0,140,37,13,0,12,114,54,5,935,5.3,9442,24:47,jonesse01
18,Jody Shelley,2001,2008,7,380,11,18,29,-26,1025,10,1,0,1,16,2,0,217,5.1,2270,5:58,shelljo01
