--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Bernie Federko*,1977,1989,13,927,352,721,1073,-123,463,233,117,2,40,437,284,0,1966,17.9,,,federbe01
2,Barret Jackman,2002,2015,13,803,28,153,181,53,1026,23,3,2,5,141,5,7,817,3.4,16364,20:23,jackmba01
3,Brian Sutter,1977,1988,12,779,303,333,636,-66,1786,193,107,3,29,242,87,4,1685,18.0,,,suttebr01
4,Alexander Steen,2009,2020,12,765,195,301,496,50,348,144,42,9,35,193,105,3,1863,10.5,14020,18:20,steenal01
5,Alex Pietrangelo,2009,2020,12,758,109,341,450,77,241,75,34,0,25,217,116,8,1801,6.1,18668,24:38,pietral01
6,Brett Hull*,1988,1998,11,744,527,409,936,-16,286,314,195,18,70,226,176,7,3367,15.7,,,hullbr01
7,David Backes,2007,2016,10,727,206,254,460,65,969,144,58,4,26,196,53,5,1650,12.5,13264,18:15,backeda01
8,Patrik Berglund,2009,2018,10,694,168,154,322,10,242,124,39,5,28,111,42,1,1343,12.5,11017,15:52,berglpa01
9,David Perron,2008,2022,11,673,196,269,465,62,454,138,55,3,29,171,95,3,1379,14.2,11240,16:42,perroda01
10,Garry Unger,1971,1979,9,662,292,283,575,-113,744,203,86,3,40,186,94,3,2469,11.8,,,ungerga01
11,Vladimir Tarasenko,2013,2023,11,644,262,291,553,57,185,196,65,1,44,201,89,1,2058,12.7,11280,17:31,tarasvl01
12,Bob Plager,1968,1978,11,616,20,121,141,29,760,18,0,2,4,105,8,8,713,2.8,,,plagebo01
13,Barclay Plager,1968,1977,10,614,44,187,231,61,1115,32,9,3,6,135,42,10,830,5.3,,,plageba01
14,Al MacInnis*,1995,2004,10,613,127,325,452,132,551,57,64,6,22,137,177,11,2266,5.6,9686,27:13,macinal01
15,Larry Patey,1976,1984,9,603,123,136,259,-89,524,93,7,23,15,126,4,6,928,13.3,,,pateyla01
16,Chris Pronger*,1996,2004,9,598,84,272,356,140,931,43,39,2,12,128,133,11,1333,6.3,10459,29:03,prongch01
17,Jamal Mayers,1997,2008,10,595,71,87,158,-78,756,64,0,7,7,81,2,4,940,7.6,7506,12:45,mayerja01
18,Colton Parayko,2016,2023,8,577,51,182,233,51,167,35,16,0,12,152,26,4,1231,4.1,12783,22:09,parayco01
19,Jaden Schwartz,2012,2021,10,560,154,231,385,74,153,114,36,4,21,185,44,2,1242,12.4,9908,17:42,schwaja01
20,Keith Tkachuk,2001,2010,9,543,208,219,427,0,677,111,96,1,29,157,61,1,1478,14.1,9658,17:47,tkachke01
21,Red Berenson,1968,1978,8,519,172,240,412,-57,194,113,53,6,29,143,90,7,1560,11.0,,,berenre01
22,Pavol Demitra,1997,2004,8,494,204,289,493,99,160,137,63,4,45,190,99,0,1382,14.8,8324,19:35,demitpa01
23,Jay Bouwmeester,2013,2020,8,490,17,107,124,48,172,15,2,0,1,87,18,2,659,2.6,10940,22:20,bouwmja01
24,Gary Sabourin,1968,1974,7,463,136,131,267,19,334,111,23,2,21,107,24,0,1354,10.0,,,sabouga01
25,Jack Brownschidle,1978,1984,7,455,36,156,192,-29,132,18,17,1,5,87,64,5,716,5.0,,,brownja01
26,Gino Cavallini,1986,1992,7,454,91,120,211,-12,429,78,12,1,17,107,13,0,824,11.0,,,cavalgi01
27,Jay McClement,2006,2011,6,449,52,104,156,-60,180,47,2,3,11,90,10,4,625,8.3,6879,15:19,mccleja01
28,Bryce Salvador,2001,2008,7,447,16,47,63,-15,413,14,2,0,5,43,2,2,322,5.0,8189,18:19,salvabr01
29,Dallas Drake,2001,2007,6,443,64,106,170,2,386,45,11,8,11,82,19,5,654,9.8,6629,14:58,drakeda01
30,T.J. Oshie,2009,2015,7,443,110,200,310,71,239,80,23,7,20,126,68,6,929,11.8,8269,18:40,oshietj01
31,Rob Ramage,1983,1988,6,441,67,229,296,-45,898,31,36,0,11,113,112,4,1421,4.7,,,ramagro01
32,Brayden Schenn,2018,2023,6,425,131,210,341,8,258,90,41,0,25,158,52,0,875,15.0,7952,18:43,schenbr01
33,Kevin Shattenkirk,2011,2017,7,425,59,199,258,24,274,27,32,0,10,99,97,3,921,6.4,9043,21:17,shattke01
34,Roman Polák,2007,2014,8,424,13,66,79,-7,319,13,0,0,4,59,5,2,425,3.1,8055,19:00,polakro01
35,Robert Bortuzzo,2015,2023,9,420,16,38,54,44,313,16,0,0,3,37,0,1,406,3.9,5889,14:01,borturo01
36,Ryan Reaves,2011,2017,7,419,27,24,51,-4,695,27,0,0,5,24,0,0,241,11.2,3354,8:00,reavery01
37,Rick Meagher,1986,1991,6,413,73,88,161,7,264,58,2,13,9,82,3,3,621,11.8,,,meaghri01
38,Floyd Thomson,1972,1980,8,411,56,97,153,-25,341,54,1,1,7,92,3,2,537,10.4,,,thomsfl01
39,Ivan Barbashev,2017,2023,7,410,78,100,178,2,128,68,5,5,9,90,8,2,445,17.5,5657,13:48,barbaiv01
40,Murray Baron,1992,2004,7,409,13,40,53,-20,631,13,0,0,1,38,0,2,348,3.7,1538,19:14,baronmu01
41,Frank St. Marseille,1968,1973,6,403,86,171,257,31,120,72,14,0,11,121,50,0,1035,8.3,,,stmarfr01
42,Wayne Babych,1979,1984,6,396,155,190,345,-18,384,111,44,0,15,144,46,0,1067,14.5,,,babycwa01
43,Perry Turnbull,1980,1988,6,396,139,99,238,-20,829,122,17,0,11,86,13,0,915,15.2,,,turnbpe01
44,Jimmy Roberts,1968,1978,6,395,63,94,157,21,322,46,10,7,7,65,23,6,699,9.0,,,roberji01
45,Doug Gilmour*,1984,1988,5,384,149,205,354,-12,264,99,44,6,15,129,69,7,873,17.1,,,gilmodo01
46,Scott Young,1999,2006,5,377,125,129,254,14,153,78,43,4,20,64,64,1,1264,9.9,6606,17:31,youngsc01
47,Tim Bothwell,1983,1989,6,373,21,75,96,39,297,18,2,1,3,66,7,2,397,5.3,,,bothwti01
48,Jeff Finley,1999,2004,6,371,6,28,34,46,206,6,0,0,3,21,3,4,176,3.4,6556,17:40,finleje01
49,Jörgen Pettersson,1981,1985,5,365,161,171,332,5,105,120,38,3,21,120,50,1,983,16.4,,,pettejo01
50,Doug Weight,2002,2008,6,364,75,220,295,14,247,47,28,0,13,116,101,3,804,9.3,7183,19:44,weighdo01
51,Craig Conroy,1997,2001,5,359,57,94,151,41,209,47,1,9,8,85,2,7,525,10.9,3286,15:09,conrocr01
52,Pierre Plante,1973,1977,5,357,104,112,216,-17,420,83,21,0,13,97,15,0,650,16.0,,,plantpi01
53,Kelly Chase,1990,2000,8,345,14,26,40,-13,1497,14,0,0,3,25,1,0,192,7.3,461,6:35,chaseke01
54,Paul Cavallini,1988,1993,6,337,37,120,157,99,514,25,10,2,2,87,28,5,583,6.3,,,cavalpa01
55,Mike Eastwood,1998,2003,6,336,43,66,109,14,151,36,2,5,7,55,2,9,281,15.3,4613,14:09,eastwmi01
56,Eric Brewer,2006,2011,6,332,30,65,95,-75,332,26,4,0,3,41,23,1,495,6.1,7828,23:35,breweer01
57,Greg Paslawski,1984,1989,6,330,109,99,208,-5,105,85,22,2,16,75,24,0,763,14.3,,,paslagr01
58,Jeff Brown,1990,1994,5,329,80,214,294,-19,218,35,41,4,8,89,120,5,986,8.1,,,brownje02
59,Vladimír Sobotka,2011,2018,6,329,41,92,133,12,268,35,3,3,8,74,17,1,501,8.2,5375,16:20,sobotvl01
60,Marc Bergevin,1997,2002,6,328,5,23,28,9,319,5,0,0,0,20,1,2,178,2.8,2960,17:56,bergema01
61,Brad Boyes,2007,2011,5,327,106,126,232,-7,106,73,33,0,26,85,41,0,799,13.3,5813,17:47,boyesbr01
62,Ryan O'Reilly,2019,2023,5,327,97,172,269,46,62,70,22,5,15,121,48,3,729,13.3,6549,20:02,oreilry01
63,Pierre Turgeon,1997,2001,5,327,134,221,355,65,117,94,40,0,25,139,80,2,837,16.0,3767,19:02,turgepi01
64,Geoff Courtnall,1991,2000,6,326,106,126,232,30,371,78,27,1,17,94,32,0,911,11.6,441,14:42,courtge01
65,Mike Crombeen,1979,1983,5,325,47,53,100,-39,164,43,1,3,5,50,0,3,410,11.5,,,crombmi01
66,Carl Gunnarsson,2015,2021,7,325,15,37,52,41,87,14,1,0,3,34,1,2,254,5.9,5272,16:13,gunnaca01
67,Blake Dunlop,1980,1984,5,324,86,201,287,-4,118,53,32,1,7,140,58,3,516,16.7,,,dunlobl01
68,Mark Reeds,1982,1987,6,320,45,105,150,9,98,39,4,2,7,99,5,1,429,10.5,,,reedsma01
69,Robert Thomas,2019,2023,5,314,60,169,229,17,80,45,12,3,11,130,38,1,410,14.6,5089,16:12,thomaro01
70,Dave Lowry,1989,1993,5,311,53,51,104,-8,432,48,0,5,7,46,0,5,387,13.7,,,lowryda01
71,Joe Mullen*,1982,1986,5,301,151,184,335,-1,45,101,50,0,17,119,65,0,891,16.9,,,mullejo01
72,Scott Pellerin,1997,2004,5,296,44,67,111,33,189,33,1,10,8,61,2,4,431,10.2,2595,16:01,pellesc01
73,Mike Zuke,1979,1983,5,296,76,159,235,-17,160,53,20,3,5,87,70,2,614,12.4,,,zukemi01
74,Andy McDonald,2008,2013,6,294,90,140,230,-19,118,64,24,2,12,79,61,0,752,12.0,5488,18:40,mcdonan01
75,Tony Twist,1990,1999,6,294,10,11,21,-15,688,10,0,0,2,11,0,0,83,12.0,326,5:10,twistto01
76,Bob Hess,1975,1981,6,293,27,87,114,-15,164,18,7,2,3,54,33,0,465,5.8,,,hessbo01
77,Ryan Johnson,2003,2008,5,289,19,30,49,-32,122,13,1,5,2,26,0,4,241,7.9,3467,12:00,johnsry01
78,Terry Crisp,1968,1972,5,285,38,64,102,29,51,27,2,9,5,56,4,4,360,10.6,,,crispte01
79,Bob Bassen,1991,2000,5,284,35,63,98,12,483,31,0,4,2,58,1,4,378,9.3,266,9:51,bassebo01
80,Carlo Colaiacovo,2009,2014,5,284,19,91,110,9,152,13,5,1,4,49,41,1,319,6.0,5098,17:57,colaica01
81,Alexander Khavanov,2001,2004,4,284,21,69,90,26,173,14,6,1,2,35,31,3,331,6.3,5648,19:53,khavaal01
82,Justin Faulk,2020,2023,4,283,39,99,138,45,144,34,5,0,12,76,20,3,627,6.2,6457,22:49,faulkju01
83,Bill McCreary,1968,1971,4,282,50,57,107,17,104,34,7,9,7,43,11,3,547,9.1,,,mccrebi01
84,Noel Picard,1968,1973,6,279,12,46,58,14,538,11,1,0,3,36,8,2,467,2.6,,,picarno01
85,Brendan Shanahan*,1992,1995,4,277,156,150,306,5,692,95,52,9,24,82,66,2,997,15.6,,,shanabr01
86,Bruce Affleck,1975,1979,5,274,14,65,79,-81,86,10,4,0,2,48,14,3,363,3.9,,,afflebr01
87,Claude Larose,1975,1978,4,272,60,74,134,-1,128,53,6,1,3,66,8,0,638,9.4,,,laroscl01
88,Petr Čajánek,2003,2007,4,269,46,107,153,15,144,35,9,2,6,66,40,1,533,8.6,4650,17:17,cajanpe01
89,Joel Edmundson,2016,2019,4,269,13,39,52,18,248,13,0,0,2,39,0,0,397,3.3,4898,18:13,edmunjo01
90,Vince Dunn,2018,2021,4,267,32,70,102,22,110,21,11,0,6,47,23,0,499,6.4,4643,17:23,dunnvi02
91,Ed Kea,1980,1983,4,267,8,53,61,40,225,8,0,0,1,51,1,1,263,3.0,,,keaed01
92,Paul Stastny,2015,2018,4,267,56,119,175,7,116,39,17,0,15,88,30,1,493,11.4,4971,18:37,stastpa01
93,Dmitrij Jaškin,2013,2018,6,266,25,36,61,17,82,22,3,0,5,35,1,0,399,6.3,3240,12:11,jaskidm01
94,B.J. Crombeen,2009,2012,4,265,26,23,49,-33,515,23,0,3,4,21,1,1,395,6.6,3296,12:26,crombbj01
95,Jim Pavese,1982,1988,7,263,10,34,44,-55,485,9,1,0,2,32,1,1,165,6.1,,,pavesji01
96,Tyson Nash,1999,2003,5,255,24,26,50,15,479,21,1,2,4,25,1,0,325,7.4,2589,10:09,nashty01
97,Jordan Kyrou,2019,2023,5,252,83,112,195,-27,66,67,16,0,11,80,30,2,613,13.5,3902,15:29,kyroujo01
98,Reed Low,2001,2004,4,250,3,16,19,-2,694,3,0,0,1,16,0,0,132,2.3,1487,5:57,lowre01
99,Rich Sutter,1990,1993,4,250,40,41,81,7,351,35,0,5,6,36,0,5,413,9.7,,,sutteri01
100,Ron Wilson,1990,1993,4,248,33,72,105,6,167,19,7,7,5,50,9,13,316,10.4,,,wilsoro03
101,Bob Gassoff,1974,1977,4,245,11,47,58,-13,866,10,1,0,4,44,2,1,311,3.5,,,gassobo01
102,Oskar Sundqvist,2018,2022,5,242,35,48,83,-3,90,32,1,2,3,43,3,2,333,10.5,3254,13:27,sundqos01
103,Scott Mellanby,2001,2004,4,235,62,75,137,-11,370,33,29,0,9,44,31,0,409,15.2,3732,15:53,mellasc01
104,Herb Raglan,1986,1991,6,235,26,39,65,-13,571,26,0,0,4,39,0,0,285,9.1,,,raglahe01
105,Rik Wilson,1982,1986,5,235,21,60,81,-6,214,14,7,0,3,45,14,1,374,5.6,,,wilsori02
106,Chuck Lefley,1975,1981,5,233,83,104,187,11,77,62,11,10,13,61,38,5,551,15.1,,,leflech01
107,Lee Stempniak,2006,2009,4,233,57,73,130,-15,97,41,16,0,9,47,25,1,471,12.1,3569,15:19,stemple01
108,Brian Benning,1985,1990,5,232,30,94,124,-37,321,15,15,0,7,43,49,2,375,8.0,,,bennibr01
109,Rick Zombo,1992,1995,4,232,6,42,48,-6,233,6,0,0,1,36,3,3,161,3.7,,,zombori01
110,Al Arbour*,1968,1971,4,231,2,21,23,27,191,1,1,0,1,18,0,3,97,2.1,,,arboual01
111,Rick Lapointe,1980,1982,3,231,16,64,80,7,338,16,0,0,4,57,7,0,288,5.6,,,lapoiri01
112,Tim Ecclestone,1968,1971,4,230,48,76,124,22,140,33,15,0,10,54,22,0,559,8.6,,,eccleti01
113,Doug Wickenheiser,1984,1987,4,230,51,67,118,8,108,39,8,4,7,52,11,4,456,11.2,,,wickedo01
114,Christian Bäckman,2003,2008,5,228,19,45,64,-6,130,14,5,0,1,30,15,0,276,6.9,4840,21:14,backmch01
115,Kyle Brodziak,2016,2018,3,226,25,34,59,14,97,21,0,4,8,32,0,2,217,11.5,2685,11:53,brodzky01
116,Ralph Klassen,1980,1984,5,225,18,37,55,-35,45,16,0,2,4,29,1,7,209,8.6,,,klassra01
117,Sergio Momesso,1989,1997,4,222,44,70,114,-8,506,40,4,0,5,58,12,0,381,11.5,,,momesse01
118,Tyler Bozak,2019,2022,4,220,34,62,96,-17,54,25,5,4,6,48,12,2,331,10.3,3274,14:53,bozakty01
119,Mark Hunter,1986,1988,3,218,112,94,206,-15,474,73,37,2,7,58,36,0,546,20.5,,,huntema01
120,Jori Lehterä,2015,2017,3,218,30,70,100,27,120,26,3,1,6,53,16,1,253,11.9,3458,15:52,lehtejo01
121,Peter Zezel,1989,1997,4,217,54,105,159,-6,81,39,14,1,9,57,47,1,409,13.2,,,zezelpe01
122,Chris Stewart,2011,2014,4,211,63,52,115,7,276,45,18,0,9,40,12,0,437,14.4,3248,15:24,stewach02
123,Wayne Merrick,1973,1976,4,209,65,79,144,15,99,57,8,0,7,67,12,0,488,13.3,,,merriwa01
124,Garth Butcher,1991,1994,4,208,11,35,46,3,508,10,0,1,2,34,1,0,175,6.3,,,butchga01
125,Tony Currie,1978,1982,5,207,68,88,156,14,63,58,10,0,11,63,25,0,377,18.0,,,currito01
126,Scottie Upshall,2016,2018,3,206,23,28,51,3,135,21,0,2,4,25,0,3,269,8.6,2252,10:56,upshasc01
127,Erik Johnson,2008,2011,3,203,20,71,91,-16,144,8,11,1,7,44,27,0,399,5.0,4166,20:31,johnser01
128,Jim Campbell,1997,2000,4,201,49,60,109,-5,173,36,13,0,12,37,21,2,421,11.6,777,13:38,campbji01
129,Tony Hrkac,1988,1994,4,201,39,82,121,-15,46,28,9,2,5,47,31,4,303,12.9,,,hrkacto01
130,Adam Oates*,1990,1992,3,195,58,228,286,20,71,43,12,3,9,141,85,2,425,13.6,,,oatesad01
131,Magnus Pääjärvi,2014,2018,5,189,19,20,39,-11,34,18,1,0,5,19,1,0,266,7.1,2158,11:25,paajama01
132,Terry Johnson,1984,1986,3,188,2,17,19,6,350,2,0,0,0,16,0,1,96,2.1,,,johnste01
133,Bob MacMillan,1976,1978,3,187,46,83,129,4,75,30,15,1,3,61,20,2,391,11.8,,,macmibo01
134,Craig Janney,1992,1995,4,186,48,185,233,-10,38,28,20,0,14,106,79,0,278,17.3,,,jannecr01
135,Brad Winchester,2009,2011,3,185,25,18,43,-7,283,16,9,0,4,14,4,0,218,11.5,1957,10:35,winchbr01
136,Jamie Rivers,1996,2007,5,184,7,17,24,-10,127,3,4,0,1,11,5,1,162,4.3,1516,14:10,riverja01
137,Michal Handzuš,1999,2001,3,183,39,54,93,21,86,27,6,6,7,42,9,3,302,12.9,3060,16:43,handzmi01
138,Zach Sanford,2017,2021,4,183,36,35,71,10,78,31,4,1,9,33,1,1,247,14.6,2485,13:35,sanfoza01
139,Craig Cameron,1968,1971,3,182,32,13,45,-18,80,29,2,1,4,12,1,0,252,12.7,,,camercr01
140,Cliff Ronning,1987,1991,4,180,54,71,125,11,46,30,24,0,6,37,34,0,335,16.1,,,ronnicl01
141,Torey Krug,2021,2023,3,178,18,89,107,8,122,9,8,1,2,51,38,0,356,5.1,3637,20:26,krugto01
142,Blair Chapman,1980,1983,4,175,58,74,132,-9,87,41,17,0,10,54,20,0,312,18.6,,,chapmbl01
143,Matt Walker,2003,2008,5,175,1,10,11,-3,275,1,0,0,0,10,0,0,161,0.6,2523,14:25,walkema01
144,Tom Tilley,1989,1994,4,174,4,38,42,19,89,4,0,0,0,30,7,1,165,2.4,,,tilleto01
145,Chris Porter,2009,2015,6,173,11,16,27,-7,33,11,0,0,5,16,0,0,217,5.1,1814,10:29,portech01
146,Jean-Guy Talbot,1968,1971,4,172,7,23,30,25,72,6,0,1,1,19,3,1,159,4.4,,,talboje01
147,Cory Stillman,2001,2003,3,171,50,69,119,18,98,35,15,0,8,47,20,2,323,15.5,2876,16:49,stillco01
148,Paul Kariya*,2008,2010,3,168,36,87,123,-16,88,28,8,0,3,53,34,0,475,7.6,3021,17:59,kariypa01
149,Ian Cole,2011,2015,5,167,9,22,31,40,142,9,0,0,0,20,2,0,147,6.1,2645,15:50,coleia01
150,Gordie Roberts,1988,1991,4,166,6,42,48,-6,263,6,0,0,0,37,4,1,120,5.0,,,robergo02
151,Nelson Emerson,1991,1993,3,165,45,90,135,-5,130,35,8,2,6,38,52,0,342,13.2,,,emersne01
152,Cam Janssen,2008,2011,4,165,2,7,9,-15,470,2,0,0,0,7,0,0,58,3.4,833,5:03,janssca01
153,Robby Fabbri,2016,2020,4,164,32,41,73,-26,60,26,6,0,4,30,11,0,255,12.5,2247,13:42,fabbrro01
154,Steve Duchesne,1994,1998,3,163,38,87,125,39,82,23,14,1,3,38,45,4,384,9.9,,,duchest01
155,Doug Evans,1986,1990,5,163,16,32,48,-4,223,15,0,1,1,32,0,0,144,11.1,,,evansdo01
156,Ron Sutter,1992,1994,3,163,37,54,91,-3,236,23,10,4,6,39,13,2,238,15.5,,,suttero01
157,Kevin Miller,1993,1995,3,162,49,52,101,16,148,29,14,6,9,38,10,4,326,15.0,,,milleke02
158,Matt D'Agostini,2010,2013,4,160,31,35,66,13,71,22,9,0,8,27,8,0,289,10.7,2236,13:58,dagosma01
159,Ron Flockhart,1986,1988,3,160,43,68,111,7,42,34,7,2,5,52,16,0,329,13.1,,,flockro02
160,Mark Rycroft,2002,2006,3,160,15,19,34,-12,82,14,0,1,2,18,1,0,201,7.5,1945,12:09,rycroma01
161,Rod Seiling,1977,1979,3,160,4,38,42,-47,80,2,2,0,1,31,5,2,251,1.6,,,seiliro01
162,Curt Bennett,1971,1979,4,159,26,41,67,-46,146,24,2,0,3,39,2,0,267,9.7,,,bennecu01
163,Jay McKee,2007,2009,3,158,3,14,17,4,98,3,0,0,3,13,0,1,104,2.9,2841,17:59,mckeeja01
164,Rod Brind'Amour,1990,1991,2,157,43,67,110,25,139,29,14,0,4,54,13,0,329,13.1,,,brindro01
165,Jerry Butler,1976,1978,3,155,29,46,75,-37,145,28,1,0,3,38,7,1,319,9.1,,,butleje01
166,Chris Evans,1972,1975,4,153,13,20,33,1,41,10,0,3,3,13,3,4,192,6.8,,,evansch01
167,Martin Ručinský,2003,2008,3,153,33,46,79,-13,126,20,9,4,6,34,11,1,298,11.1,2502,16:21,rucinma01
168,Larry Keenan,1968,1971,4,152,28,43,71,8,18,21,7,0,4,26,17,0,312,9.0,,,keenala01
169,Ab McDonald,1969,1971,3,152,46,56,102,25,26,33,13,0,8,40,16,0,339,13.6,,,mcdonab01
170,Jeff Woywitka,2006,2009,4,152,6,29,35,2,106,4,2,0,1,23,6,0,147,4.1,2413,15:53,woywije01
171,Tony McKegney,1988,1989,2,151,65,55,120,9,140,42,20,3,3,39,15,1,395,16.5,,,mckegto01
172,Ric Nattress,1986,1987,2,151,10,42,52,-40,76,7,3,0,2,19,22,1,259,3.9,,,nattrri01
173,Terry Yake,1998,2000,3,151,23,42,65,-6,94,14,8,1,10,26,16,0,145,15.9,1250,14:32,yakete01
174,Dave Barr,1984,1987,4,150,29,56,85,15,102,27,2,0,3,48,8,0,185,15.7,,,barrda01
175,Sammy Blais,2018,2023,5,150,26,29,55,1,66,25,1,0,4,28,1,0,162,16.0,1824,12:09,blaissa01
176,Larry Giroux,1974,1980,3,150,10,39,49,-44,174,8,2,0,2,30,9,0,244,4.1,,,giroula01
177,Dan Hinote,2007,2009,3,150,11,14,25,-18,129,11,0,0,1,10,1,3,103,10.7,1702,11:21,hinotda01
178,Marco Scandella,2020,2023,4,150,7,19,26,37,52,7,0,0,1,16,0,3,165,4.2,2827,18:51,scandma01
