--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Ray Bourque*,1980,2000,21,1518,395,1111,1506,493,1087,217,164,14,60,530,553,28,5950,6.6,4159,28:29,bourqra01
2,Johnny Bucyk*,1958,1978,21,1436,545,794,1339,-7,436,384,157,4,88,511,283,0,3087,16.2,,,bucykjo01
3,Patrice Bergeron,2004,2023,19,1294,427,613,1040,289,494,274,131,22,81,392,195,26,3974,10.7,24174,18:41,bergepa01
4,Don Sweeney,1989,2003,15,1052,52,210,262,90,663,42,6,4,12,181,24,5,1279,4.1,7197,18:50,sweendo01
5,David Krejčí,2007,2023,16,1032,231,555,786,166,359,173,54,4,43,398,149,8,1848,12.5,18405,17:50,krejcda01
6,Wayne Cashman,1965,1983,17,1027,277,516,793,278,1039,218,56,3,37,416,99,1,1747,15.9,,,cashmwa01
7,Zdeno Chára,2007,2020,14,1023,148,333,481,240,1055,75,69,4,24,219,99,15,2405,6.2,25106,24:33,charazd01
8,Brad Marchand,2010,2023,14,947,372,490,862,290,973,267,72,33,71,333,136,21,2410,15.4,16970,17:55,marchbr03
9,Terry O'Reilly,1972,1985,14,891,204,402,606,222,2095,182,18,4,32,351,48,3,1252,16.3,,,oreilte01
10,Rick Middleton,1977,1988,12,881,402,496,898,220,124,275,102,25,52,337,141,18,2007,20.0,,,middlri01
11,Don Marcotte,1966,1982,15,868,230,254,484,191,317,193,16,21,30,220,13,21,1554,14.8,,,marcodo01
12,Dallas Smith,1960,1977,15,860,54,248,302,331,932,48,1,5,5,230,6,12,1372,3.9,,,smithda01
13,Dit Clapper*,1928,1947,20,835,229,248,477,,452,107,13,2,45,158,19,3,,,,,clappdi01
14,P.J. Axelsson,1998,2009,11,797,103,184,287,-26,276,83,10,10,14,154,21,9,1359,7.6,11652,16:18,axelspj01
15,Milt Schmidt*,1937,1955,16,776,229,346,575,,466,194,31,4,35,276,67,3,,,,,schmimi01
16,Woody Dumart*,1936,1954,16,774,211,219,430,,99,191,18,2,34,195,23,1,,,,,dumarwo01
17,Mike Milbury,1976,1987,12,754,49,189,238,175,1552,45,2,2,7,169,12,8,792,6.2,,,milbumi01
18,Ed Westfall,1962,1972,11,733,126,213,339,64,410,103,5,18,18,171,13,29,1287,9.8,,,westfed01
19,Leo Boivin*,1955,1966,12,717,47,164,211,-139,768,40,3,4,4,136,23,5,785,3.8,,,boivile01
