--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Henri Richard*,1956,1975,20,1258,358,688,1046,243,932,311,47,0,53,572,115,1,3199,8.5,,,richahe01
2,Larry Robinson*,1973,1989,17,1202,197,686,883,692,706,129,65,3,28,456,225,5,2136,9.2,,,robinla01
3,Bob Gainey*,1974,1989,16,1160,239,262,501,201,585,205,14,20,34,235,13,14,2094,11.4,,,gainebo01
4,Jean Béliveau*,1951,1971,20,1125,507,712,1219,117,1033,334,173,0,83,441,269,2,2627,11.4,,,belivje01
5,Claude Provost,1956,1970,15,1005,254,335,589,101,475,203,36,15,46,291,39,5,2176,8.7,,,provocl01
6,Andrei Markov,2001,2017,16,990,119,453,572,64,505,56,60,3,20,208,234,11,1627,7.3,22778,23:00,markoan01
7,Tomáš Plekanec,2004,2019,15,984,233,373,606,57,537,160,53,20,36,237,125,11,2341,10.0,17839,18:08,plekato01
8,Maurice Richard*,1943,1960,18,978,544,422,966,18,1287,397,143,4,84,309,111,2,166,11.4,,,richama01
9,Yvan Cournoyer*,1964,1979,16,968,428,435,863,254,233,275,152,1,68,273,162,0,2427,17.6,,,cournyv01
10,Guy Lafleur*,1972,1985,14,961,518,728,1246,470,381,376,139,3,94,487,239,2,3204,16.2,,,laflegu01
11,Serge Savard*,1967,1981,15,917,100,312,412,497,537,68,23,9,13,235,67,10,1298,7.7,,,savarse01
12,Guy Carbonneau*,1981,1994,13,912,221,326,547,158,623,182,11,28,33,293,18,15,1527,14.5,,,carbogu01
13,Patrice Brisebois,1991,2009,16,896,87,284,371,5,546,45,41,1,18,145,137,2,1395,6.2,10997,21:47,brisepa01
14,Doug Harvey*,1948,1961,14,890,76,371,447,53,1051,51,22,3,13,184,179,8,150,8.0,,,harvedo01
15,Steve Shutt*,1973,1985,13,871,408,368,776,413,400,318,90,0,49,292,76,0,2276,17.9,,,shuttst01
16,Tom Johnson*,1948,1963,14,857,47,183,230,86,897,35,9,3,9,140,37,6,297,3.0,,,johnsto01
17,Jacques Lemaire*,1968,1979,12,853,366,469,835,344,217,274,88,4,58,339,128,2,3052,12.0,,,lemaija01
18,Mario Tremblay,1975,1986,12,852,258,326,584,185,1043,210,46,2,35,282,42,2,1884,13.7,,,trembma02
19,Ralph Backstrom,1957,1971,15,844,215,287,502,111,351,194,21,0,29,260,27,0,2003,9.8,,,backsra01
20,Jean-Guy Talbot,1955,1967,13,801,36,209,245,122,892,30,2,4,7,170,34,5,607,4.4,,,talboje01
21,J.C. Tremblay,1960,1972,13,796,57,306,363,244,206,37,19,1,11,186,114,6,1360,4.2,,,trembjc01
22,Saku Koivu,1996,2009,13,792,191,450,641,-10,623,116,66,9,35,258,179,13,1553,12.3,11154,18:52,koivusa01
23,Butch Bouchard*,1942,1956,15,786,49,144,193,,865,39,9,1,10,122,18,4,,,,,bouchbu01
24,Guy Lapointe*,1969,1982,14,777,166,406,572,346,812,106,57,3,20,224,172,10,2300,7.2,,,lapoigu01
25,Bernie Geoffrion*,1951,1964,14,766,371,388,759,40,630,258,111,2,73,226,162,0,1165,12.6,,,geoffbe01
26,Jacques Laperrière*,1963,1974,12,692,40,242,282,256,679,26,10,4,5,149,84,9,1324,3.0,,,laperja01
27,Brendan Gallagher,2013,2023,11,675,202,193,395,56,442,158,43,1,24,161,32,0,2089,9.7,10670,15:48,gallabr01
28,Elmer Lach*,1941,1954,14,664,215,408,623,,478,153,60,2,45,302,104,2,,,,,lachel01
29,Shayne Corson,1986,2000,11,662,168,255,423,69,1341,112,54,2,26,180,69,6,1315,12.8,2640,19:51,corsosh01
30,Aurele Joliat*,1923,1938,16,655,269,194,463,,766,65,11,0,65,45,9,2,,,,,joliaau01
31,Dickie Moore*,1952,1963,12,654,254,339,593,76,569,170,82,2,51,243,96,0,676,14.8,,,mooredi01
32,Craig Rivet,1995,2007,12,653,39,112,151,-1,795,27,12,0,5,86,23,3,677,5.8,10501,19:42,rivetcr01
33,Bobby Rousseau,1961,1970,10,643,200,322,522,109,315,151,40,9,35,201,119,2,1987,10.1,,,roussbo01
34,Réjean Houle,1970,1983,11,634,161,247,408,179,395,132,27,2,22,192,51,4,1101,14.6,,,houlere01
35,Ken Mosdell,1945,1958,13,628,132,155,287,,449,109,14,9,18,131,20,4,,,,,mosdeke01
36,Max Pacioretty,2009,2018,10,626,226,222,448,36,339,164,55,7,45,162,57,3,2047,11.0,11038,17:38,pacioma01
37,Mats Näslund,1983,1990,8,617,243,369,612,123,107,175,66,2,34,234,134,1,1312,18.5,,,nasluma01
38,Jimmy Roberts,1964,1977,10,611,63,100,163,115,301,53,0,10,9,89,4,7,676,9.3,,,roberji01
39,Yvon Lambert,1973,1981,9,606,181,234,415,120,302,133,47,1,32,184,50,0,932,19.4,,,lambeyv01
40,Ryan Walter,1983,1991,9,604,141,208,349,11,419,84,54,3,16,163,43,2,958,14.7,,,waltery01
41,Floyd Curry,1948,1958,10,601,105,99,204,,147,84,9,12,20,88,4,7,,,,,curryfl01
42,Craig Ludwig,1983,1990,8,597,26,111,137,88,619,24,1,1,2,100,8,3,600,4.3,,,ludwicr01
