--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Henrik Sedin*,2001,2018,17,1330,240,830,1070,165,680,172,61,7,38,520,308,2,1856,12.9,23271,17:30,sedinhe01
2,Daniel Sedin*,2001,2018,17,1306,393,648,1041,147,546,255,138,0,86,415,229,4,3474,11.3,22211,17:00,sedinda01
3,Trevor Linden,1989,2008,16,1140,318,415,733,-44,730,206,97,15,33,271,134,10,2246,14.2,6286,14:21,lindetr01
4,Alexander Edler,2007,2021,15,925,99,310,409,-36,665,52,46,1,9,178,131,1,2021,4.9,21196,22:55,edleral01
5,Stan Smyl,1979,1991,13,896,262,411,673,-87,1556,175,74,13,20,300,107,4,1907,13.7,,,smylst01
6,Markus Näslund,1996,2008,12,884,346,410,756,2,614,226,114,6,49,217,191,2,2613,13.2,13725,19:04,nasluma02
7,Alexandre Burrows,2006,2017,12,822,193,191,384,106,1066,158,18,17,28,163,21,7,1617,11.9,13029,15:51,burroal01
8,Harold Snepsts,1975,1990,12,781,35,160,195,-39,1446,28,5,2,5,141,13,6,809,4.3,,,snepsha01
9,Mattias Öhlund,1998,2009,11,770,93,232,325,9,756,52,36,5,19,118,103,11,1534,6.1,17317,24:59,ohlunma01
10,Dennis Kearns,1972,1981,10,677,31,290,321,-155,386,19,11,1,3,156,132,2,899,3.4,,,kearnde01
11,Doug Lidster,1984,1993,10,666,65,242,307,-87,526,41,22,2,3,131,98,13,1175,5.5,,,lidstdo01
12,Ryan Kesler,2004,2014,10,655,182,211,393,25,594,111,61,10,25,141,63,7,1557,11.7,12199,18:37,keslery01
13,Bo Horvat,2015,2023,9,621,201,219,420,-65,200,123,67,11,25,167,50,2,1437,14.0,11507,18:32,horvabo01
14,Thomas Gradin,1979,1986,8,613,197,353,550,-38,280,141,49,7,26,241,107,5,1212,16.3,,,gradith01
15,Garth Butcher,1982,1991,10,610,33,107,140,-118,1668,30,3,0,3,92,13,2,648,5.1,,,butchga01
16,Kevin Bieksa,2006,2015,10,597,56,185,241,22,879,37,19,0,12,117,65,3,1167,4.8,13379,22:25,biekske01
17,Don Lever,1973,1980,8,593,186,221,407,-152,354,130,53,3,12,166,51,4,1363,13.6,,,leverdo01
18,Jyrki Lumme,1990,1998,9,579,83,238,321,21,379,49,28,6,12,132,95,11,1071,7.7,,,lummejy01
19,Matt Cooke,1999,2008,9,566,83,120,203,14,625,71,4,8,13,108,7,5,769,10.8,7734,13:40,cookema01
20,Sami Salo,2003,2012,9,566,74,162,236,78,202,26,48,0,20,78,75,9,1078,6.9,12186,21:32,salosa01
21,Jannik Hansen,2008,2017,10,565,105,130,235,46,260,98,2,5,20,121,3,6,913,11.5,8382,14:50,hanseja01
22,Brendan Morrison,2000,2008,8,543,136,257,393,45,326,92,37,7,30,163,90,4,1056,12.9,10332,19:02,morribr01
23,Tony Tanti,1983,1990,8,531,250,220,470,-57,489,147,102,1,29,136,83,1,1515,16.5,,,tantito01
24,Todd Bertuzzi,1998,2006,8,518,188,261,449,3,822,108,79,1,24,176,84,1,1289,14.6,9303,18:45,bertuto01
25,Chris Tanev,2011,2020,10,514,22,96,118,43,121,19,2,1,6,87,5,4,376,5.9,10145,19:44,tanevch01
26,Jim Sandlak,1986,1996,9,509,104,117,221,-24,789,77,26,1,15,89,27,1,901,11.5,,,sandlji01
27,Greg Adams,1988,1995,8,489,179,190,369,-19,154,108,65,6,18,125,56,9,1203,14.9,,,adamsgr02
28,Petri Skriko,1985,1991,7,472,171,202,373,-93,221,113,47,11,19,126,67,9,1166,14.7,,,skrikpe01
29,Chris Oddleifson,1974,1981,8,469,85,180,265,-32,439,63,17,5,7,137,39,4,572,14.9,,,oddlech01
30,André Boudrias,1971,1976,6,458,121,267,388,-42,140,83,36,2,12,176,89,2,1087,11.1,,,boudran01
31,Dana Murzyn,1991,1999,9,452,23,65,88,78,900,21,0,2,4,59,2,4,478,4.8,180,15:02,murzyda01
32,Gino Odjick,1991,1998,8,444,46,52,98,-18,2127,41,5,0,7,49,3,0,522,8.8,,,odjicgi01
33,Gerry O'Flaherty,1973,1978,6,435,98,95,193,-32,166,88,6,4,9,84,9,2,772,12.7,,,oflahge01
34,Ed Jovanovski,1999,2006,7,434,57,177,234,-3,536,34,22,1,10,93,78,6,920,6.2,10497,24:11,jovaned01
35,Pavel Bure*,1992,1998,7,428,254,224,478,17,328,161,69,24,32,132,78,14,1919,13.2,,,burepa01
36,Rick Lanz,1981,1987,7,417,56,171,227,-78,331,19,37,0,6,81,87,3,997,5.6,,,lanzri01
37,Dave Babych,1992,1998,7,409,23,131,154,-27,290,10,13,0,4,88,40,3,594,3.9,,,babycda01
38,Dennis Ververgaert,1974,1979,6,409,139,165,304,-69,177,100,38,1,17,121,44,0,841,16.5,,,vervede01
39,Brock Boeser,2017,2023,7,398,139,172,311,-31,112,90,48,1,21,118,53,1,1096,12.7,7290,18:19,boesebr01
40,Dan Hamhuis,2011,2016,6,389,23,119,142,78,190,17,5,1,2,89,28,2,614,3.7,8877,22:49,hamhuda01
41,Donald Brashear,1997,2002,6,388,50,53,103,-57,1159,46,4,0,8,47,6,0,486,10.3,3383,13:25,brashdo01
42,Murray Baron,1999,2003,5,383,10,34,44,-7,375,10,0,0,1,29,1,4,229,4.4,7179,18:45,baronmu01
43,Mason Raymond,2008,2013,6,374,80,98,178,17,118,58,20,2,12,71,27,0,843,9.5,5713,15:17,raymoma01
44,Patrik Sundström,1983,1987,5,374,133,209,342,-47,181,95,36,2,14,140,67,2,852,15.6,,,sundspa01
45,Cliff Ronning,1991,1996,6,366,112,216,328,54,183,76,36,0,11,141,75,0,934,12.0,,,ronnicl01
46,Bobby Lalonde,1972,1977,6,353,72,117,189,-59,185,55,17,0,10,92,25,0,584,12.3,,,lalonbo01
