--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Alex Ovechkin,2006,2023,18,1347,822,663,1485,67,797,518,299,5,124,408,254,1,6355,12.9,28069,20:50,ovechal01
2,Nicklas Bäckström,2008,2023,16,1097,271,761,1032,86,502,183,86,2,39,426,335,0,2252,12.0,21311,19:26,backsni02
3,Calle Johansson,1989,2003,15,983,113,361,474,47,449,58,51,4,16,176,176,9,1768,6.4,7388,23:14,johanca01
4,Peter Bondra,1991,2004,14,961,472,353,825,74,679,303,137,32,73,229,120,4,3290,14.3,8348,20:01,bondrpe01
5,Kelly Miller,1987,1999,13,940,162,246,408,75,436,130,17,15,29,204,20,22,1330,12.2,693,11:11,milleke01
6,John Carlson,2010,2023,14,927,141,481,622,93,302,99,40,2,27,285,189,7,2177,6.5,21721,23:26,carlsjo01
7,Dale Hunter,1988,1999,12,872,181,375,556,-11,2003,108,72,1,29,251,119,5,1195,15.1,435,8:42,hunteda02
8,Michal Pivoňka,1987,1999,13,825,181,418,599,18,476,113,56,12,27,270,138,10,1468,12.3,475,13:12,pivonmi01
9,Mike Gartner*,1980,1989,10,758,397,392,789,61,770,287,98,12,54,265,124,3,2841,14.0,,,gartnmi01
10,Brooks Laich,2004,2016,12,742,133,191,324,-8,297,81,42,10,24,138,46,7,1423,9.3,11511,15:31,laichbr01
11,Rod Langway*,1983,1993,11,726,25,177,202,116,504,20,3,2,5,152,18,7,773,3.2,,,langwro01
12,Steve Konowalchuk,1992,2004,13,693,146,196,342,62,619,110,30,6,23,161,29,6,1238,11.8,5482,17:08,konowst01
13,Dmitry Orlov,2012,2023,11,686,60,196,256,104,279,56,4,0,16,168,27,1,944,6.4,13843,20:11,orlovdm01
14,Kevin Hatcher,1985,1994,10,685,149,277,426,-9,999,94,50,5,24,139,125,13,1863,8.0,,,hatchke01
15,Evgeny Kuznetsov,2014,2023,10,680,165,386,551,49,364,113,47,5,30,266,118,2,1479,11.2,11896,17:30,kuzneev01
16,Tom Wilson,2014,2023,10,680,128,167,295,31,1299,100,21,7,19,147,17,3,1059,12.1,9943,14:37,wilsoto01
17,Sergei Gonchar,1995,2004,10,654,144,272,416,51,517,90,53,1,19,137,132,3,1609,8.9,10119,24:19,gonchse01
18,Bengt-Åke Gustafsson,1980,1989,9,629,195,359,554,45,196,129,49,17,33,212,143,4,1237,15.8,,,gustabe01
19,Brendan Witt,1996,2006,10,626,20,63,83,-50,1035,20,0,0,1,56,2,5,669,3.0,9662,20:33,wittbr01
20,Sylvain Côté,1992,2003,10,622,75,195,270,60,336,45,25,5,14,119,68,8,1306,5.7,2595,18:40,cotesy01
21,Scott Stevens*,1983,1990,8,601,98,331,429,90,1628,51,46,1,14,193,136,2,1299,7.5,,,stevesc01
22,Bobby Gould,1982,1989,8,600,134,142,276,46,476,122,6,6,23,134,2,6,1003,13.4,,,gouldbo01
23,Karl Alzner,2009,2017,9,591,19,98,117,61,177,19,0,0,2,94,2,2,529,3.6,11939,20:12,alzneka01
24,Mike Ridley,1987,1994,8,588,218,329,547,49,250,132,69,17,32,223,96,10,1083,20.1,,,ridlemi01
25,Marcus Johansson,2011,2023,9,579,118,206,324,15,70,86,30,2,26,137,68,1,863,13.7,9535,16:28,johanma03
26,Mike Green,2006,2015,10,575,113,247,360,58,416,60,52,1,20,134,111,2,1369,8.3,12758,22:11,greenmi03
27,Ken Klee,1995,2003,9,570,43,68,111,13,608,40,2,1,11,58,7,3,701,6.1,6907,19:44,kleeke01
28,T.J. Oshie,2016,2023,8,515,180,180,360,22,258,109,69,2,24,134,43,3,1040,17.3,9335,18:08,oshietj01
29,Joe Reekie,1994,2002,9,515,11,64,75,86,688,11,0,0,2,59,1,4,436,2.5,4598,18:51,reekijo01
30,Jeff Halpern,2000,2012,7,507,91,139,230,1,375,64,20,7,16,96,40,3,746,12.2,8276,16:19,halpeje01
31,Dave Christian,1984,1990,7,504,193,224,417,21,107,123,67,3,21,144,74,6,1102,17.5,,,chrisda01
32,Bobby Carpenter,1982,1993,7,490,188,207,395,-40,462,133,54,1,22,144,62,1,1340,14.0,,,carpebo01
33,Jason Chimera,2010,2016,7,490,82,115,197,-2,350,70,8,4,11,104,10,1,955,8.6,6757,13:47,chimeja01
34,Lars Eller,2017,2023,7,488,87,121,208,5,256,79,5,3,10,101,17,3,876,9.9,7673,15:43,ellerla01
35,Jay Beagle,2009,2018,10,471,51,65,116,11,159,49,0,2,12,62,0,3,530,9.6,5858,12:26,beaglja01
36,Alexander Semin,2004,2012,7,469,197,211,408,65,450,139,55,3,28,108,101,2,1400,14.1,8195,17:28,seminal01
37,Larry Murphy*,1984,1989,6,453,86,259,345,56,332,54,31,1,9,134,120,5,1025,8.4,,,murphla01
38,Gaétan Duchesne,1982,1987,6,451,87,138,225,69,251,78,3,6,15,132,0,6,631,13.8,,,duchega01
39,Craig Laughlin,1983,1988,6,428,110,173,283,17,284,69,41,0,19,113,60,0,611,18.0,,,laughcr01
40,Matt Bradley,2006,2011,6,427,37,59,96,-10,367,34,1,2,9,57,0,2,529,7.0,4729,11:05,bradlma01
41,Craig Berube,1994,2001,7,419,26,38,64,-32,1220,25,1,0,2,37,1,0,274,9.5,570,6:29,berubcr01
42,Eric Fehr,2006,2015,9,419,87,87,174,55,140,75,10,2,15,72,14,1,825,10.5,5371,12:49,fehrer01
43,Dmitri Khristich,1991,2002,7,419,140,160,300,44,218,89,49,2,20,113,45,2,787,17.8,1494,14:22,khrisdm01
44,Andrei Nikolishin,1997,2002,6,407,58,113,171,20,174,48,7,3,6,89,20,4,620,9.4,5128,16:32,nikolan01
45,Jeff Schultz,2007,2013,7,399,11,64,75,78,133,10,0,1,1,62,0,2,209,5.3,7330,18:22,schulje02
46,Matt Niskanen,2015,2019,5,390,29,127,156,58,194,23,6,0,7,92,31,4,684,4.2,8877,22:46,niskama01
47,Adam Oates*,1997,2002,6,387,73,290,363,5,126,51,20,2,15,165,116,9,472,15.5,6204,21:33,oatesad01
48,Rick Green,1977,1982,6,377,31,127,158,-137,381,20,10,1,3,75,49,3,614,5.0,,,greenri01
49,Shaone Morrisonn,2004,2010,6,377,9,53,62,26,405,9,0,0,3,48,0,5,232,3.9,7379,19:34,morrish01
50,Boyd Gordon,2004,2011,7,363,27,58,85,-3,82,22,0,5,3,54,0,4,444,6.1,5015,13:49,gordobo01
51,John Erskine,2007,2014,8,350,12,37,49,14,529,12,0,0,2,32,1,4,310,3.9,5549,15:51,erskijo01
