--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Shane Doan,1996,2017,21,1540,402,570,972,-54,1353,268,128,6,69,372,185,13,3945,10.2,25520,18:38,doansh01
2,Teppo Numminen,1989,2003,15,1098,108,426,534,42,405,67,39,2,19,221,190,15,1804,6.0,9305,24:03,nummite01
3,Thomas Steen,1982,1995,14,950,264,553,817,-69,753,178,73,13,29,369,172,12,2036,13.0,,,steenth01
4,Oliver Ekman-Larsson,2011,2021,11,769,128,260,388,-109,482,69,55,4,31,152,106,2,1730,7.4,18021,23:26,ekmanol01
5,Dale Hawerchuk*,1982,1990,9,713,379,550,929,-93,478,246,122,11,29,322,218,10,2494,15.2,,,hawerda01
6,Doug Smail,1981,1991,11,691,189,208,397,12,466,158,6,25,31,182,12,14,1187,15.9,,,smaildo01
7,Keith Tkachuk,1992,2001,10,640,323,300,623,25,1508,197,114,12,40,192,96,12,2016,16.0,3685,20:15,tkachke01
8,Zbyněk Michálek,2006,2017,10,612,32,108,140,-7,258,22,10,0,6,83,20,5,810,4.0,13249,21:39,michazb01
9,Martin Hanzal,2008,2017,10,608,117,196,313,-23,537,83,30,4,23,140,53,3,1263,9.3,10963,18:02,hanzama01
10,Randy Carlyle,1984,1993,10,564,80,226,306,-21,736,53,27,0,12,115,101,10,1043,7.7,,,carlyra01
11,Keith Yandle,2007,2015,9,558,65,246,311,-34,372,42,23,0,9,125,120,1,1296,5.0,11937,21:24,yandlke01
12,Derek Morris,2004,2014,10,544,38,114,152,-53,462,27,9,2,4,68,43,3,802,4.7,11285,20:45,morride01
13,Ron Wilson,1980,1988,9,535,75,134,209,-48,234,57,12,6,5,106,21,7,776,9.7,,,wilsoro03
14,Paul MacLean,1982,1988,7,527,248,270,518,-42,726,151,97,0,24,180,90,0,1171,21.2,,,maclepa01
15,Laurie Boschman,1983,1990,8,526,152,227,379,-103,1338,110,35,7,16,173,50,4,1014,15.0,,,boschla01
16,Radim Vrbata,2008,2017,7,509,157,186,343,23,134,103,49,5,30,121,63,2,1586,9.9,8870,17:26,vrbatra01
17,Fredrik Olausson,1987,1994,8,496,86,249,335,-56,198,45,40,1,10,106,136,7,1110,7.7,,,olausfr01
18,Dave Ellett,1985,1991,7,475,95,204,299,-47,504,59,33,3,10,99,99,6,1131,8.4,,,elletda01
19,Jeremy Roenick,1997,2007,6,454,152,227,379,-3,596,102,43,7,33,145,74,8,1086,14.0,5789,19:06,roenije01
20,Darrin Shannon,1992,1998,7,451,77,149,226,-20,328,49,28,0,11,119,27,3,592,13.0,,,shannda02
21,Mikkel Bødker,2009,2016,8,445,80,133,213,-42,86,64,16,0,14,91,42,0,720,11.1,7080,15:55,boedkmi01
22,Clayton Keller,2017,2023,7,442,133,209,342,-41,171,107,24,2,19,135,72,2,1120,11.9,8141,18:25,kellecl01
23,Tim Watters,1982,1988,7,438,21,101,122,10,760,18,3,0,3,88,6,7,343,6.1,,,watteti01
24,Morris Lukowich,1980,1985,6,431,168,177,345,-91,438,119,46,3,15,117,60,0,959,17.5,,,lukowmo01
25,Lawson Crouse,2017,2023,7,423,80,75,155,-43,288,66,9,5,13,67,8,0,689,11.6,6151,14:32,crousla01
26,Andrew McBain,1984,1989,6,408,101,129,230,-52,419,58,41,2,8,92,33,4,592,17.1,,,mcbaian01
27,Scott Arniel,1982,1991,6,406,80,112,192,-37,336,64,14,2,6,91,20,1,607,13.2,,,arniesc01
28,Lauri Korpikoski,2010,2015,6,401,62,83,145,-27,98,50,7,5,9,69,8,6,591,10.5,6203,15:28,korpila01
29,Jim Kyte,1983,1989,7,399,11,25,36,-74,772,11,0,0,1,23,0,2,244,4.5,,,kyteji01
30,Christian Fischer,2017,2023,7,398,56,55,111,-60,97,49,6,1,5,50,5,0,608,9.2,5282,13:16,fischch01
31,Dave Babych,1981,1986,6,390,73,248,321,-124,392,34,39,0,8,122,123,3,1249,5.8,,,babycda01
32,Dallas Drake,1994,2000,7,382,82,143,225,15,328,61,13,8,15,121,15,7,678,12.1,2076,15:44,drakeda01
33,Jakob Chychrun,2017,2023,7,373,60,110,170,-38,240,39,21,0,8,87,23,0,885,6.8,7861,21:05,chychja01
34,Brian Mullen,1983,1987,5,372,124,172,296,-8,134,81,39,4,12,116,56,0,943,13.1,,,mullebr01
35,Radoslav Suchý,2000,2004,5,372,12,51,63,31,74,8,4,0,2,41,8,2,248,4.8,6487,17:26,suchyra01
36,Alex Goligoski,2017,2021,5,362,28,124,152,-37,108,20,7,1,3,84,37,3,506,5.5,8213,22:41,goligal01
37,Kris King,1993,1997,5,341,28,40,68,-31,762,27,0,1,4,37,1,2,341,8.2,,,kingkr01
38,Ed Jovanovski,2007,2011,5,332,47,117,164,-42,336,21,26,0,9,63,49,5,759,6.2,7322,22:03,jovaned01
39,Michael Stone,2012,2017,6,324,24,72,96,-40,190,20,4,0,2,43,28,1,530,4.5,6409,19:47,stonemi01
40,Paul Mara,2001,2006,5,323,38,104,142,-35,268,26,12,0,0,47,55,2,524,7.3,7057,21:51,marapa01
41,Ladislav Nagy,2001,2007,6,321,92,157,249,40,312,58,33,1,21,98,58,1,806,11.4,5532,17:14,nagyla01
42,Kyle Chipchura,2012,2016,5,319,21,55,76,-27,257,20,1,0,1,54,1,0,254,8.3,3435,10:46,chipcky01
43,Moe Mantha,1981,1992,7,318,31,125,156,-68,203,20,9,2,4,77,48,0,616,5.0,,,manthmo01
44,Daymond Langkow,2002,2012,4,316,79,117,196,38,146,58,15,6,7,86,26,5,653,12.1,6117,19:21,langkda01
45,Christian Dvorak,2017,2021,5,302,67,79,146,-19,70,47,19,1,10,64,15,0,493,13.6,4987,16:31,dvorach01
46,Brad Richardson,2016,2020,5,299,44,49,93,-10,148,38,0,6,9,44,0,5,451,9.8,4508,15:05,richabr02
47,Mike Eagles,1991,1995,5,293,21,46,67,-61,464,18,1,2,1,43,0,3,244,8.6,,,eaglemi01
48,Tobias Rieder,2015,2018,4,292,51,60,111,-59,36,41,6,4,3,45,13,2,613,8.3,4907,16:48,riedeto01
49,Ossi Väänänen,2001,2004,4,291,10,35,45,6,333,9,0,1,3,30,4,1,198,5.1,5674,19:30,vaanaos01
50,Antoine Vermette,2012,2016,5,291,70,79,149,-36,223,42,24,4,11,56,23,0,502,13.9,5288,18:10,vermean01
51,Pat Elynuik,1988,1992,5,289,115,129,244,-6,262,71,44,0,14,95,33,1,521,22.1,,,elynupa01
52,Willy Lindström,1980,1983,4,288,97,91,188,-41,106,75,22,0,13,62,29,0,846,11.5,,,lindswi01
53,Bengt Lundholm,1982,1986,5,275,48,95,143,10,72,41,6,1,4,81,12,2,280,17.1,,,lundhbe01
54,Deron Quint,1996,2003,6,271,27,56,83,-27,104,19,8,0,2,26,30,0,488,5.5,2613,16:14,quintde01
55,Keith Carney,1998,2001,4,266,9,54,63,46,253,6,1,2,1,49,4,1,218,4.1,5317,21:37,carneke01
56,Nick Schmaltz,2019,2023,5,265,71,137,208,-1,72,52,19,0,11,108,28,1,484,14.7,4672,17:38,schmani01
57,Fredrik Sjöström,2004,2008,4,261,32,41,73,-19,126,25,5,2,4,37,3,1,391,8.2,3452,13:14,sjostfr01
58,Juha Ylönen,1997,2001,5,261,22,65,87,19,80,17,2,3,3,59,1,5,282,7.8,3196,15:40,yloneju01
