--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Ken Daneyko,1984,2003,20,1283,36,142,178,78,2516,30,3,3,3,128,7,7,1170,3.1,6503,17:26,daneyke01
2,Patrik Eliáš,1996,2016,20,1240,408,617,1025,172,549,279,113,16,80,380,220,17,3287,12.4,20953,18:15,eliaspa01
3,Travis Zajac,2007,2021,15,1024,202,348,550,-19,344,137,53,12,24,243,95,10,1795,11.3,19156,18:42,zajactr01
4,Scott Stevens*,1992,2004,13,956,93,337,430,282,1007,61,28,4,19,246,76,15,1779,5.2,10325,23:44,stevesc01
5,John MacLean,1984,1998,14,934,347,354,701,43,1168,245,92,10,55,245,104,5,2715,12.8,,,maclejo01
6,Andy Greene,2007,2020,14,923,49,197,246,-19,259,32,15,2,11,144,42,11,1013,4.8,19906,21:34,greenan01
7,Scott Niedermayer*,1992,2004,13,892,112,364,476,172,478,60,51,1,26,217,139,8,1650,6.8,10764,24:35,niedesc01
8,Jay Pandolfo,1997,2010,13,819,99,124,223,15,154,90,2,7,19,121,2,1,1068,9.3,11792,15:43,pandoja01
9,Bobby Holík,1993,2009,11,786,202,270,472,134,863,158,44,0,43,193,77,0,2046,9.9,6035,15:53,holikbo01
10,Sergei Brylin,1995,2008,13,765,129,179,308,49,273,93,34,2,14,139,35,5,1016,12.7,9976,15:32,brylise01
11,Randy McKay,1992,2002,11,760,151,171,322,115,1418,116,35,0,29,150,19,2,1091,13.8,3980,14:48,mckayra02
12,Colin White,2000,2011,11,743,20,105,125,79,848,19,1,0,5,86,12,7,665,3.0,14878,20:01,whiteco01
13,John Madden,1999,2009,10,712,140,157,297,35,193,117,6,17,19,137,10,10,1533,9.1,12031,16:54,maddejo01
14,Bruce Driver,1984,1995,12,702,83,316,399,7,534,47,33,3,5,155,151,10,1538,5.4,,,drivebr01
15,Damon Severson,2015,2023,9,647,58,205,263,-120,388,45,12,1,7,139,63,3,1044,5.6,13708,21:11,severda01
16,Aaron Broten,1981,1990,10,641,162,307,469,-75,367,111,45,6,19,182,123,2,1243,13.0,,,broteaa01
17,Scott Gomez,2000,2015,8,606,123,361,484,49,385,95,28,0,18,233,128,0,1471,8.4,10235,16:53,gomezsc01
18,Jamie Langenbrunner,2002,2011,9,564,142,243,385,33,415,89,43,10,32,166,74,3,1529,9.3,10261,18:12,langeja01
19,Brian Rolston,1995,2011,9,557,130,151,281,34,161,86,34,10,26,106,44,1,1470,8.8,5219,17:17,rolstbr01
20,Kirk Muller,1985,1991,7,556,185,335,520,-63,577,109,69,7,19,228,98,9,1337,13.8,,,mulleki01
21,Dainius Zubrus,2008,2015,8,554,87,137,224,-3,322,73,11,3,15,109,21,7,783,11.1,9160,16:32,zubruda01
22,Brian Rafalski,2000,2007,7,541,44,267,311,100,180,24,19,1,13,145,120,2,977,4.5,12371,22:52,rafalbr01
23,Tommy Albelin,1989,2006,12,539,27,125,152,75,251,15,10,2,4,82,42,1,641,4.2,2293,14:20,albelto01
24,Petr Sýkora,1996,2012,8,527,166,228,394,91,222,114,48,4,31,158,69,1,1341,12.4,6552,16:56,sykorpe01
25,Joe Cirella,1982,1989,8,503,50,159,209,-156,938,29,20,1,4,91,64,4,752,6.6,,,cireljo01
26,Zach Parise,2006,2012,7,502,194,216,410,57,177,138,51,5,37,133,76,7,1699,11.4,9124,18:11,parisza01
27,Mike Kitchen,1977,1984,8,474,12,62,74,-139,370,11,0,1,1,58,3,1,323,3.7,,,kitchmi01
28,Brian Gionta,2002,2009,7,473,152,160,312,62,227,99,48,5,30,117,42,1,1351,11.3,8070,17:04,giontbr01
29,Pat Verbeek,1983,1989,7,463,170,150,320,-83,943,114,53,3,17,99,47,4,984,17.3,,,verbepa01
30,Adam Henrique,2011,2018,8,455,122,135,257,-13,144,79,30,13,22,87,37,11,815,15.0,8362,18:23,henriad01
31,David Clarkson,2007,2013,7,426,97,73,170,-32,770,73,24,0,20,55,18,0,1033,9.4,6017,14:07,clarkda03
32,Claude Lemieux,1991,2000,6,423,142,155,297,16,627,92,49,1,22,106,44,5,1397,10.2,1254,17:55,lemiecl01
33,Miles Wood,2016,2023,8,402,78,70,148,-63,427,67,11,0,8,65,5,0,873,8.9,5282,13:08,woodmi01
34,Paul Martin,2004,2010,6,400,26,137,163,55,114,15,11,0,5,76,59,2,484,5.4,9384,23:28,martipa01
35,Kyle Palmieri,2016,2021,6,397,140,126,266,-11,216,85,53,2,19,73,53,0,1058,13.2,6981,17:35,palmiky01
36,Wilf Paiement,1975,1980,6,392,153,183,336,-143,558,111,33,9,11,115,66,2,1263,12.1,,,paiemwi01
37,Gary Croteau,1975,1980,6,390,92,96,188,-125,88,65,26,1,5,68,26,2,634,14.5,,,crotega01
38,Jesper Bratt,2018,2023,6,389,102,174,276,-12,60,82,19,1,15,117,55,2,802,12.7,6229,16:01,brattje01
