--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Ryan Getzlaf,2006,2022,17,1157,282,737,1019,102,960,188,86,8,57,476,255,6,2559,11.0,22551,19:29,getzlry01
2,Corey Perry,2006,2019,14,988,372,404,776,76,1110,263,103,6,64,260,140,4,2870,13.0,17901,18:07,perryco01
3,Teemu Selänne*,1996,2014,15,966,457,531,988,120,471,273,182,2,77,302,228,1,2964,15.4,14592,18:32,selante01
4,Cam Fowler,2011,2023,13,893,91,323,414,-86,231,51,36,4,18,199,120,4,1438,6.3,20665,23:08,fowleca01
5,Jakob Silfverberg,2014,2023,10,691,151,184,335,-8,228,115,26,10,19,146,33,5,1607,9.4,11589,16:46,silfvja01
6,Steve Rucchin,1995,2004,10,616,153,279,432,28,140,89,58,6,23,186,84,9,1150,13.3,7516,21:00,rucchst01
7,Paul Kariya*,1995,2003,9,606,300,369,669,52,213,177,107,16,44,208,156,5,2455,12.2,8902,23:04,kariypa01
8,Ruslan Salei,1997,2006,9,594,26,79,105,-3,735,22,3,1,3,57,21,1,872,3.0,10900,21:53,saleiru01
9,François Beauchemin,2006,2018,10,592,56,140,196,59,360,42,14,0,10,93,42,5,984,5.7,13918,23:31,beaucfr01
10,Andrew Cogliano,2012,2019,8,584,102,131,233,61,170,83,3,16,17,124,1,5,1033,9.9,8653,14:49,coglian01
11,Hampus Lindholm,2014,2022,9,581,57,164,221,74,314,44,12,1,10,115,45,4,979,5.8,12888,22:11,lindhha01
12,Rickard Rakell,2013,2022,10,550,154,185,339,-23,116,121,33,0,27,131,51,3,1366,11.3,9344,16:59,rakelri01
13,Samuel Påhlsson,2001,2009,8,527,51,90,141,-40,252,38,4,9,11,80,6,4,702,7.3,8778,16:39,pahlssa01
14,Josh Manson,2015,2022,8,453,26,87,113,39,431,25,0,1,5,83,0,4,559,4.7,8990,19:51,mansojo01
15,Matt Cullen,1998,2003,6,427,65,135,200,-39,168,47,16,2,8,95,38,2,724,9.0,6072,16:35,cullema01
16,Todd Marchant,2006,2011,6,421,38,74,112,-29,230,30,0,8,3,66,5,3,545,7.0,6293,14:57,marchto01
17,Vitaly Vishnevski,2000,2006,6,416,11,37,48,-11,403,9,1,1,0,33,1,3,361,3.0,7013,16:51,vishnvi01
18,Andy McDonald,2001,2008,7,391,92,167,259,24,162,63,28,1,15,99,67,1,914,10.1,6556,16:46,mcdonan01
19,Rob Niedermayer,2003,2009,6,382,56,68,124,-32,311,41,12,3,7,51,15,2,577,9.7,6590,17:15,niedero01
20,Bobby Ryan,2008,2013,6,378,147,142,289,40,251,108,36,3,15,103,39,0,1044,14.1,6667,17:38,ryanbo01
21,Adam Henrique,2018,2023,6,375,117,105,222,-9,107,88,28,1,15,78,25,2,743,15.7,6408,17:05,henriad01
22,Scott Niedermayer*,2006,2010,5,371,60,204,264,-5,306,21,39,0,13,90,106,8,786,7.6,9740,26:15,niedesc01
23,Jason Marshall,1995,2006,8,370,8,34,42,-26,740,4,3,1,1,30,4,0,279,2.9,3286,16:26,marshja02
24,George Parros,2007,2012,6,356,15,13,28,10,812,15,0,0,1,13,0,0,170,8.8,2174,6:06,parroge01
25,Ryan Kesler,2015,2019,5,346,76,104,180,-15,326,53,21,2,13,72,30,2,719,10.6,6654,19:14,keslery01
26,Joe Sacco,1994,1998,5,333,62,68,130,-18,183,49,7,6,8,56,9,3,636,9.7,,,saccojo01
27,Saku Koivu,2010,2014,5,332,64,127,191,20,186,49,13,2,11,90,32,5,471,13.6,5901,17:46,koivusa01
28,Matt Beleskey,2009,2015,7,329,57,55,112,1,302,51,6,0,14,48,5,2,574,9.9,4164,12:39,belesma01
29,Oleg Tverdovsky,1995,2002,5,324,45,125,170,-12,142,26,18,1,9,64,60,1,598,7.5,5536,23:21,tverdol01
30,Pavel Trnka,1998,2003,6,322,11,47,58,-13,248,8,3,0,0,36,10,1,320,3.4,4899,17:53,trnkapa01
31,Chris Kunitz,2004,2009,5,313,81,111,192,60,297,53,26,2,15,86,23,2,695,11.7,4928,15:45,kunitch01
32,Niclas Hävelid,2000,2004,5,310,24,61,85,-42,152,13,11,0,11,27,33,1,475,5.1,6504,20:59,havelni01
33,Derek Grant,2018,2023,6,309,54,61,115,-31,125,42,7,5,7,55,2,4,449,12.0,4210,13:37,grantde01
34,Bobby Dollas,1994,1998,5,305,28,61,89,31,213,21,5,2,4,41,19,1,415,6.7,,,dollabo01
35,Mike Leclerc,1997,2004,8,291,54,78,132,-43,251,42,12,0,14,53,24,1,569,9.5,4375,15:41,leclemi01
36,Nick Ritchie,2016,2020,5,287,43,66,109,14,331,37,6,0,9,55,11,0,492,8.7,3880,13:31,ritchni01
37,Sami Vatanen,2013,2018,6,280,33,93,126,22,116,16,16,1,3,49,44,0,480,6.9,5770,20:36,vatansa01
