--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Jarome Iginla*,1997,2013,16,1219,525,570,1095,46,831,351,161,13,83,357,204,9,3992,13.2,22021,20:38,iginlja01
2,Mark Giordano,2006,2021,15,949,143,366,509,101,759,81,52,10,23,225,129,12,2029,7.0,21503,22:40,giordma01
3,Mikael Backlund,2009,2023,15,908,185,307,492,66,431,136,33,16,33,232,63,12,2192,8.4,15439,17:00,backlmi01
4,Robyn Regehr,2000,2011,11,826,29,134,163,30,802,17,11,1,3,93,33,8,900,3.2,17687,21:25,regehro01
5,Al MacInnis*,1982,1994,13,803,213,609,822,239,960,107,102,4,22,218,379,12,2891,7.4,,,macinal01
6,Theo Fleury,1989,1999,11,791,364,466,830,148,1339,229,107,28,53,279,174,13,2685,13.6,1413,23:33,fleurth01
7,Joel Otto,1985,1995,11,730,167,261,428,44,1642,101,57,9,23,184,67,10,1108,15.1,,,ottojo01
8,Jim Peplinski,1981,1995,11,711,161,263,424,52,1467,148,5,8,22,247,12,4,1269,12.7,,,pepliji01
9,Sean Monahan,2014,2022,9,656,212,250,462,-46,153,144,66,2,47,172,77,1,1515,14.0,11716,17:52,monahse01
10,T.J. Brodie,2011,2020,10,634,48,218,266,14,194,35,10,3,12,156,55,7,768,6.3,14314,22:35,broditj01
11,Gary Suter,1986,1994,9,617,128,436,564,93,872,71,54,3,12,174,256,6,1739,7.4,,,suterga01
12,Johnny Gaudreau,2014,2022,9,602,210,399,609,85,132,164,46,0,41,274,125,0,1622,12.9,11408,18:57,gaudrjo01
13,Jamie Macoun,1983,1992,9,586,62,184,246,213,666,54,4,4,6,165,14,5,966,6.4,,,macouja01
14,Gary Roberts,1987,1996,10,585,257,248,505,225,1736,199,51,7,27,201,45,2,1254,20.5,,,roberga01
15,Joe Nieuwendyk*,1987,1995,9,577,314,302,616,135,330,173,130,11,43,196,104,2,1549,20.3,,,nieuwjo01
16,Matt Stajan,2010,2018,9,558,59,131,190,-1,279,55,0,4,10,117,6,8,533,11.1,7783,13:57,stajama01
17,Tim Hunter,1982,1992,11,545,49,59,108,12,2405,46,3,0,6,56,3,0,471,10.4,,,hunteti01
18,Eric Vail,1974,1982,9,539,206,246,452,58,246,150,54,2,29,181,63,2,1302,15.8,,,vailer01
19,Paul Reinhart,1980,1988,9,517,109,336,445,28,203,54,53,2,12,178,155,3,985,11.1,,,reinhpa01
20,Guy Chouinard,1975,1983,9,514,193,336,529,12,110,129,64,0,14,201,135,0,1244,15.5,,,chouigu01
21,Craig Conroy,2001,2011,9,507,97,211,308,62,276,77,15,5,13,154,49,8,755,12.8,8810,17:23,conrocr01
22,Lanny McDonald*,1982,1989,8,492,215,191,406,-3,408,153,61,1,25,125,66,0,1323,16.3,,,mcdonla01
23,Rey Comeau,1973,1978,6,468,88,126,214,12,153,77,8,3,16,114,10,2,764,11.5,,,comeare01
24,Ken Houston,1976,1982,7,462,128,145,273,7,516,109,19,0,14,130,14,1,887,14.4,,,houstke01
25,Willi Plett,1976,1982,7,452,150,149,299,1,1265,130,20,0,21,118,31,0,946,15.9,,,plettwi01
26,Håkan Loob,1984,1989,6,450,193,236,429,103,189,142,42,9,17,151,75,10,1126,17.1,,,loobha01
27,Tom Lysiak,1974,1979,6,445,155,276,431,27,329,115,37,3,19,180,93,3,1283,12.1,,,lysiato01
28,Bill Clement,1976,1982,7,444,85,139,224,-3,197,66,6,13,12,113,14,12,577,14.7,,,clemebi01
29,Matthew Tkachuk,2017,2022,6,431,152,230,382,85,425,107,45,0,16,158,72,0,1129,13.5,7443,17:16,tkachma01
30,Kent Nilsson,1980,1985,6,425,229,333,562,-34,90,134,79,16,25,178,148,7,1136,20.2,,,nilsske01
31,Robert Reichel,1991,1997,6,425,153,201,354,59,216,105,48,0,22,122,79,0,1140,13.4,,,reichro01
32,Curtis Glencross,2009,2015,7,418,114,128,242,2,290,84,22,8,18,98,27,3,784,14.5,6913,16:32,glenccu01
33,Colin Patterson,1984,1990,7,416,88,99,187,98,189,83,3,2,8,93,0,6,549,16.0,,,patteco01
34,Curt Bennett,1973,1980,7,405,126,140,266,-23,190,104,21,1,22,113,26,1,948,13.3,,,bennecu01
35,Sam Bennett,2015,2021,7,402,67,73,140,-67,319,55,12,0,6,62,10,1,680,9.9,5683,14:08,bennesa01
36,Ronnie Stern,1991,1997,7,396,59,66,125,12,1288,55,1,3,7,63,1,2,529,11.2,,,sternro01
37,Cory Stillman,1995,2001,7,393,109,126,235,-27,192,64,37,8,16,77,48,1,811,13.4,3140,17:33,stillco01
38,Daymond Langkow,2006,2011,6,392,123,165,288,47,159,80,40,3,22,94,64,7,912,13.5,7297,18:37,langkda01
39,Denis Gauthier,1998,2004,7,384,13,45,58,15,515,12,0,1,3,35,4,6,321,4.0,6686,17:53,gauthde01
40,Cory Sarich,2008,2013,6,379,10,49,59,22,462,10,0,0,2,43,2,4,285,3.5,6547,17:17,saricco01
41,Dion Phaneuf,2006,2010,5,378,75,153,228,19,522,26,48,1,21,71,81,1,1150,6.5,9376,24:48,phanedi01
42,Rasmus Andersson,2017,2023,7,377,27,134,161,34,172,22,4,1,5,84,48,2,654,4.1,7786,20:39,anderra01
43,Randy Manery,1973,1977,5,377,30,142,172,32,242,19,10,1,6,89,52,1,709,4.2,,,manerra01
44,Pat Quinn*,1973,1977,5,374,12,87,99,26,555,10,0,2,2,83,1,3,343,3.5,,,quinnpa01
45,Elias Lindholm,2019,2023,5,369,139,186,325,99,100,93,43,3,27,121,58,7,902,15.4,7245,19:38,lindhel01
46,Noah Hanifin,2019,2023,5,359,31,125,156,33,94,26,4,1,4,92,30,3,702,4.4,7644,21:18,hanifno01
47,Carey Wilson,1984,1993,8,355,102,161,263,33,160,77,20,5,13,132,28,1,613,16.6,,,wilsoca01
48,Paul Ranheim,1989,1994,6,354,94,100,194,49,105,75,7,12,12,87,6,7,757,12.4,,,ranhepa01
49,Steve Konroyd,1981,1995,7,350,18,83,101,25,386,16,1,1,2,65,16,2,463,3.9,,,konrost01
50,Matthew Lombardi,2004,2009,5,347,65,102,167,18,225,43,11,11,17,76,24,2,678,9.6,5486,15:49,lombama01
51,Joe Mullen*,1986,1990,5,345,190,198,388,106,95,133,53,4,33,117,80,1,978,19.4,,,mullejo01
52,German Titov,1994,1998,5,345,107,121,228,22,142,57,42,8,13,80,34,7,780,13.7,,,titovge01
53,Derek Morris,1998,2002,5,343,34,129,163,-12,385,16,16,2,10,67,58,4,771,4.4,6233,23:53,morride01
54,Andrew Mangiapane,2018,2023,6,342,95,80,175,45,134,80,12,3,16,68,9,3,639,14.9,5087,14:53,mangian01
55,Alex Tanguay,2007,2013,5,342,86,198,284,17,166,68,14,4,9,130,66,2,476,18.1,6449,18:51,tangual01
56,Tommy Albelin,1996,2001,6,339,12,59,71,-10,92,6,5,1,3,32,22,5,382,3.1,3641,20:27,albelto01
57,Stéphane Yelle,2003,2008,5,339,31,65,96,2,174,22,6,3,5,50,11,4,407,7.6,5094,15:02,yellest01
58,František Musil,1991,1995,5,335,18,45,63,96,505,14,3,1,2,41,3,1,309,5.8,,,musilfr01
59,Phil Housley*,1995,2001,5,328,50,188,238,2,140,32,18,0,4,85,103,0,774,6.5,4734,20:57,houslph01
60,Phil Russell,1979,1983,5,322,29,103,132,38,469,24,3,2,4,88,10,5,461,6.3,,,russeph01
61,Michael Frolík,2016,2020,5,319,63,82,145,9,158,51,3,9,11,72,6,4,700,9.0,4919,15:25,frolimi01
62,Dave Moss,2007,2012,6,317,61,63,124,-7,94,42,19,0,10,55,7,1,666,9.2,4189,13:13,mossda01
63,Ed Kea,1974,1979,6,316,22,92,114,50,283,19,3,0,1,81,8,3,433,5.1,,,keaed01
64,Bob MacMillan,1978,1982,5,308,122,173,295,72,111,96,18,8,13,130,41,2,698,17.5,,,macmibo01
65,Lance Bouma,2011,2017,6,304,27,40,67,-8,174,26,0,1,5,36,1,3,323,8.4,3666,12:04,boumala01
66,Clarke Wilm,1999,2002,4,303,31,42,73,-7,250,20,5,6,0,38,4,0,343,9.0,4024,13:17,wilmcl01
67,Sergei Makarov*,1990,1993,4,297,94,198,292,62,199,68,26,0,14,132,66,0,399,23.6,,,makarse01
68,Toni Lydman,2001,2004,4,289,19,74,93,-16,140,12,7,0,1,35,36,3,442,4.3,6459,22:21,lydmato01
69,Larry Romanchych,1973,1977,5,288,68,95,163,-37,100,49,19,0,7,70,25,0,535,12.7,,,romanla01
70,Dave Shand,1977,1980,4,288,14,63,77,69,324,13,0,1,2,62,1,0,288,4.9,,,shandda01
71,Milan Lucic,2020,2023,4,283,35,48,83,-36,227,26,9,0,1,44,4,0,325,10.8,3545,12:32,lucicmi01
72,Dillon Dubé,2019,2023,5,282,54,66,120,-4,97,45,6,3,6,59,5,2,460,11.7,3775,13:23,dubedi01
73,Dennis Wideman,2013,2017,5,280,32,104,136,-33,126,16,16,0,4,67,35,2,531,6.0,6371,22:45,widemde01
74,Jay Bouwmeester,2010,2013,4,279,18,79,97,-38,134,13,5,0,2,46,30,3,413,4.4,7215,25:52,bouwmja01
75,Chris Clark,2000,2004,5,278,35,36,71,-29,363,25,9,1,8,31,4,1,462,7.6,3759,13:31,clarkch01
76,Cale Hulse,1996,2006,6,277,10,44,54,-16,449,7,1,2,0,36,7,1,310,3.2,1998,15:08,hulseca01
77,Sandy McCarthy,1994,1998,5,276,30,25,55,-36,730,25,5,0,5,20,5,0,272,11.0,,,mccarsa01
78,Trent Yawney,1992,1996,5,274,11,45,56,20,368,8,2,1,1,27,16,2,227,4.8,,,yawnetr01
79,Doug Gilmour*,1989,1992,4,266,81,214,295,104,288,48,29,4,14,141,64,9,512,15.8,,,gilmodo01
80,Bob Murdoch,1979,1982,4,262,16,63,79,32,202,14,2,0,1,57,4,2,292,5.5,,,murdobo01
81,Steve Bozek,1984,1988,5,261,64,79,143,22,80,50,7,7,10,69,6,4,487,13.1,,,bozekst01
82,Brad Marsh,1979,1982,4,257,3,41,44,-11,317,3,0,0,0,40,0,1,228,1.3,,,marshbr01
83,Valeri Bure,1998,2001,4,256,93,99,192,-28,100,57,36,0,13,56,43,0,889,10.5,4497,18:44,bureva01
84,Jeff Shantz,1999,2002,4,256,33,53,86,-8,151,23,9,1,4,43,9,1,314,10.5,4049,15:49,shantje01
85,Kari Eloranta,1982,1987,5,255,12,96,108,17,149,10,2,0,0,65,29,2,195,6.2,,,eloraka01
86,Jason Wiemer,1998,2006,5,252,34,32,66,-41,567,27,7,0,7,26,6,0,348,9.8,3176,13:14,wiemeja01
87,Micheal Ferland,2015,2018,4,250,42,47,89,-10,135,33,9,0,2,43,4,0,406,10.3,3205,12:49,ferlami01
88,Rene Bourque,2009,2012,4,249,88,76,164,5,241,67,15,6,12,55,19,2,673,13.1,4343,17:26,bourqre01
89,Jiří Hudler,2013,2016,4,248,68,124,192,7,69,54,14,0,6,93,31,0,403,16.9,4421,17:50,hudleji01
90,Doug Risebrough,1983,1987,5,247,68,101,169,54,583,60,3,5,9,97,2,2,448,15.2,,,risebdo01
91,Paul Kruse,1991,1997,7,246,24,29,53,0,614,24,0,0,3,29,0,0,226,10.6,,,krusepa01
92,Dougie Hamilton,2016,2018,3,245,42,95,137,-1,174,29,13,0,12,65,29,1,682,6.2,4981,20:20,hamildo01
93,Olli Jokinen,2009,2012,4,236,59,106,165,-34,169,40,19,0,9,69,37,0,660,8.9,4395,18:37,jokinol01
94,Pekka Rautakallio,1980,1982,3,235,33,121,154,13,122,23,10,0,5,79,42,0,409,8.1,,,rautape01
95,Craig Berube,1992,2003,4,234,10,17,27,-17,628,9,1,0,3,17,0,0,140,7.1,719,5:57,berubcr01
96,Bobby Leiter,1973,1976,4,234,64,81,145,-31,41,42,22,0,9,57,24,0,474,13.5,,,leitebo01
97,Jordan Leopold,2003,2009,4,233,16,55,71,-6,110,5,11,0,2,29,25,1,328,4.9,5068,21:45,leopojo01
98,Keith McCreary,1973,1975,3,231,49,50,99,-16,91,35,13,1,9,46,3,1,345,14.2,,,mccreke01
99,Brad McCrimmon,1988,1990,3,231,16,67,83,109,272,9,3,4,4,53,11,3,277,5.8,,,mccribr01
100,Rhett Warrener,2004,2008,4,231,11,26,37,19,239,7,1,3,2,19,2,5,168,6.5,4179,18:05,warrerh01
101,Michael Stone,2017,2023,7,228,17,32,49,-7,119,16,1,0,2,28,4,0,348,4.9,3662,16:04,stonemi01
102,Eddy Beers,1982,1986,5,226,87,105,192,23,232,52,35,0,7,83,22,0,524,16.6,,,beersed01
103,Deryk Engelland,2015,2017,3,226,9,30,39,-7,192,9,0,0,2,28,0,2,229,3.9,3629,16:03,engelde01
104,Ric Nattress,1988,1992,5,226,9,53,62,39,204,9,0,0,1,51,1,1,245,3.7,,,nattrri01
105,Andrew Ference,2003,2007,4,224,10,53,63,1,210,6,4,0,0,24,27,2,265,3.8,4275,19:05,ferenan01
106,Dan Quinn,1984,1987,4,222,72,119,191,-11,98,33,36,3,7,69,49,1,464,15.5,,,quinnda01
107,Neil Sheehy,1984,1992,6,222,13,34,47,25,725,12,1,0,0,33,0,1,193,6.7,,,sheehne01
108,Marc Savard,2000,2003,4,221,60,94,154,-35,158,38,21,1,11,62,31,1,542,11.1,3892,17:37,savarma01
109,Tim Ecclestone,1975,1978,4,220,28,62,90,25,92,24,1,3,4,48,6,8,348,8.0,,,eccleti01
110,Joe Colborne,2014,2016,3,217,37,63,100,-19,104,31,5,1,4,54,9,0,247,15.0,3235,14:55,colbojo01
111,James Patrick,1994,1998,5,217,14,56,70,6,82,10,4,0,1,31,20,5,258,5.4,,,patrija01
112,Mike Cammalleri,2009,2014,4,216,89,89,178,-34,111,57,32,0,19,52,37,0,612,14.5,3985,18:27,cammami01
113,Kristian Huselius,2006,2008,3,216,74,108,182,33,102,46,26,2,15,49,57,2,482,15.4,3646,16:53,huselkr01
114,Jamie Hislop,1981,1984,4,215,37,61,98,-6,65,33,1,3,2,60,0,1,242,15.3,,,hisloja01
115,Jacques Richard,1973,1975,3,215,57,46,103,-59,108,43,14,0,4,27,19,0,607,9.4,,,richaja01
116,Ed Ward,1995,1999,5,215,16,24,40,-12,284,16,0,0,1,24,0,0,175,9.1,546,8:02,warded01
117,Todd Simpson,1996,1999,4,214,4,26,30,-6,500,4,0,0,1,24,0,2,191,2.1,1264,17:19,simpsto01
118,Kevin LaVallee,1981,1983,3,212,66,65,131,-20,63,56,10,0,7,47,18,0,438,15.1,,,lavalke01
