--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Bobby Clarke*,1970,1984,15,1144,358,852,1210,507,1453,227,99,32,38,583,234,35,2582,13.9,,,clarkbo01
2,Claude Giroux,2008,2022,15,1000,291,609,900,27,412,200,84,7,46,345,255,9,2597,11.2,19609,19:37,giroucl01
3,Bill Barber*,1973,1984,12,903,420,463,883,312,623,285,104,31,54,267,176,20,3246,12.9,,,barbebi01
4,Brian Propp,1980,1990,11,790,369,480,849,299,664,246,103,20,55,295,161,24,2645,14.0,,,proppbr01
5,Chris Therien,1995,2006,11,753,29,130,159,126,583,19,8,2,6,114,10,6,1002,2.9,8947,18:53,therich01
6,Joe Watson,1968,1978,11,746,36,162,198,188,399,34,2,0,7,140,14,8,968,3.7,,,watsojo01
7,Bob Kelly,1971,1980,10,741,128,168,296,134,1285,122,6,0,24,161,7,0,1076,11.9,,,kellybo02
8,Rick MacLeish,1971,1984,12,741,328,369,697,183,384,209,98,21,50,254,111,4,2403,13.6,,,macleri01
9,Éric Desjardins,1995,2006,11,738,93,303,396,143,406,50,39,4,17,163,129,11,1674,5.6,11426,24:34,desjaer01
10,Jakub Voráček,2012,2021,10,727,177,427,604,-17,385,131,46,0,25,265,162,0,1915,9.2,13084,18:00,voracja01
11,Gary Dornhoefer,1968,1978,11,725,202,316,518,85,1256,151,44,7,27,226,85,5,1356,14.9,,,dornhga01
12,Sean Couturier,2012,2022,11,721,180,280,460,82,277,148,27,5,30,217,55,8,1577,11.4,13652,18:56,coutuse01
13,Simon Gagné,2000,2013,11,691,264,271,535,140,284,179,74,11,47,162,97,12,2036,13.0,12513,18:06,gagnesi01
14,John LeClair,1995,2004,10,649,333,310,643,197,337,231,102,0,61,229,81,0,2054,16.2,6777,18:31,leclajo01
15,Rod Brind'Amour,1992,2000,9,633,235,366,601,-2,563,142,75,18,34,224,125,17,1564,15.0,2012,21:24,brindro01
16,Rick Tocchet,1985,2002,11,621,232,276,508,59,1815,163,64,5,22,210,64,2,1474,15.7,1286,14:17,tocchri01
17,Ed Van Impe,1968,1976,9,620,19,107,126,68,891,14,5,0,2,94,10,3,723,2.6,,,vanimed01
18,Jimmy Watson,1973,1982,10,613,38,148,186,295,492,32,3,3,5,131,14,3,794,4.8,,,watsoji02
19,Reggie Leach,1975,1982,8,606,306,208,514,214,276,222,79,5,48,145,61,2,2195,13.9,,,leachre01
20,Mark Recchi*,1992,2004,10,602,232,395,627,43,388,148,74,10,39,232,156,7,1538,15.1,8022,19:57,recchma01
21,Tim Kerr,1981,1991,11,601,363,287,650,93,577,219,144,0,44,186,101,0,1881,19.3,,,kerrti01
22,Mark Howe*,1983,1992,10,594,138,342,480,351,323,75,39,24,15,199,127,16,1399,9.9,,,howema02
23,Pelle Eklund,1986,1994,9,589,118,334,452,12,107,71,41,6,16,178,151,5,952,12.4,,,eklunpe01
24,Wayne Simmonds,2012,2019,8,584,203,175,378,-78,784,109,91,3,34,115,60,0,1469,13.8,9978,17:05,simmowa01
25,Braydon Coburn,2007,2015,9,576,37,124,161,24,470,26,10,1,4,96,22,6,830,4.5,12647,21:57,coburbr01
26,Ron Sutter,1983,1991,9,555,137,223,360,68,856,117,14,6,23,199,14,10,1027,13.3,,,suttero01
27,Dave Brown,1983,1995,11,552,39,39,78,-27,1382,39,0,0,6,38,1,0,353,11.0,,,brownda01
28,André Dupont,1973,1980,8,549,42,135,177,270,1505,33,9,0,8,96,33,6,995,4.2,,,duponan01
29,Kjell Samuelsson,1987,1998,9,545,35,106,141,101,815,30,4,1,5,88,16,2,579,6.0,,,samuekj01
30,Ivan Provorov,2017,2023,7,532,65,152,217,-28,196,55,10,0,11,110,37,5,1070,6.1,12810,24:05,provoiv01
31,James van Riemsdyk,2010,2023,8,527,146,151,297,-26,182,104,42,0,23,130,21,0,1222,11.9,8017,15:13,vanrija01
32,Ilkka Sinisalo,1982,1990,9,526,199,210,409,132,180,142,46,11,30,143,57,10,1076,18.5,,,sinisil01
33,Murray Craven,1985,1992,8,523,152,272,424,98,315,114,29,9,21,186,79,7,1064,14.3,,,cravemu01
34,Scott Laughton,2013,2023,10,519,82,117,199,-16,296,70,5,7,5,105,6,6,831,9.9,7391,14:14,laughsc01
35,Kimmo Timonen,2008,2014,7,519,38,232,270,44,304,18,15,5,4,93,135,4,857,4.4,11652,22:27,timonki01
36,Scott Hartnell,2008,2014,7,517,157,169,326,49,908,98,57,2,29,128,40,1,1247,12.6,8672,16:46,hartnsc01
37,Brad Marsh,1982,1988,7,514,14,96,110,98,636,13,0,1,3,89,3,4,524,2.7,,,marshbr01
38,Michael Raffl,2014,2021,8,504,81,79,160,11,212,74,4,3,20,77,2,0,688,11.8,6617,13:08,rafflmi01
39,Paul Holmgren,1976,1984,9,500,138,171,309,112,1600,112,26,0,17,136,34,1,868,15.9,,,holmgpa01
40,Ross Lonsberry,1972,1978,7,497,144,170,314,154,403,111,30,3,19,140,26,4,1240,11.6,,,lonsbro01
41,Derrick Smith,1985,1991,7,494,80,87,167,-3,338,77,0,3,12,83,1,3,841,9.5,,,smithde04
42,Travis Konecny,2017,2023,7,488,141,191,332,-30,343,113,25,3,21,139,49,3,1144,12.3,7947,16:17,konectr01
43,Eric Lindros*,1993,2000,8,486,290,369,659,188,946,202,82,6,37,246,121,2,1644,17.6,2840,22:32,lindrer01
44,Don Saleski,1972,1979,8,476,118,117,235,100,602,95,12,11,20,106,8,3,1048,11.3,,,salesdo01
45,Dave Poulin,1983,1990,8,467,161,233,394,172,303,122,12,27,27,183,24,26,959,16.8,,,poulida02
46,Tom Bladon,1973,1978,6,463,67,163,230,186,281,40,26,1,8,98,65,0,974,6.9,,,bladoto01
47,Mel Bridgman,1976,1982,7,462,119,205,324,140,971,97,18,4,15,173,21,11,918,13.0,,,bridgme01
48,Jeff Carter,2006,2011,6,461,181,162,343,51,288,121,48,12,38,107,53,2,1660,10.9,8307,18:01,carteje01
49,Mike Richards,2006,2011,6,453,133,216,349,39,397,74,36,23,21,115,92,9,1169,11.4,8757,19:20,richami02
50,Matt Read,2012,2018,7,437,87,100,187,2,81,69,11,7,17,79,19,2,755,11.5,7201,16:29,readma01
51,Brayden Schenn,2012,2017,6,424,109,137,246,-30,217,64,45,0,27,89,48,0,866,12.6,6943,16:22,schenbr01
52,Travis Sanheim,2018,2023,6,416,36,103,139,-24,171,33,2,1,5,95,8,0,637,5.7,8452,20:19,sanhetr01
53,Doug Crossman,1984,1988,5,392,35,158,193,64,255,16,18,1,5,96,57,5,682,5.1,,,crossdo01
54,Luke Richardson,1998,2002,5,387,7,28,35,59,618,4,2,1,1,27,0,1,296,2.4,5502,17:59,richalu01
55,Shayne Gostisbehere,2015,2021,7,381,60,159,219,-31,129,33,27,0,11,80,79,0,911,6.6,7593,19:56,gostish01
56,Terry Carkner,1989,1993,5,376,29,103,132,-25,867,18,9,2,3,67,33,3,356,8.1,,,carknte01
57,Brad McCrimmon,1983,1987,5,367,35,152,187,225,355,26,7,2,8,101,38,13,636,5.5,,,mccribr01
58,Mikael Renberg,1994,2000,6,366,128,168,296,78,210,94,34,0,16,126,42,0,1003,12.8,1570,14:32,renbemi01
59,Daniel Brière,2008,2013,6,364,124,159,283,-13,331,85,39,0,14,95,63,1,936,13.2,6359,17:28,brierda01
60,Orest Kindrachuk,1973,1978,6,360,79,181,260,117,465,62,11,6,14,142,35,4,708,11.2,,,kindror01
61,Simon Nolet,1968,1974,7,358,93,108,201,28,129,68,25,0,11,70,38,0,861,10.8,,,noletsi01
62,Scott Mellanby,1986,1991,6,355,83,114,197,-10,694,59,24,0,12,85,28,1,779,10.7,,,mellasc01
63,Lindsay Carson,1982,1988,7,346,61,76,137,5,495,59,1,1,6,73,3,0,501,12.2,,,carsoli01
64,Dan McGillis,1998,2003,6,340,32,108,140,65,303,16,16,0,10,52,53,3,705,4.5,6992,21:23,mcgilda01
65,Behn Wilson,1979,1983,5,339,59,155,214,83,873,37,20,2,10,98,54,3,753,7.8,,,wilsobe02
66,Mike Knuble,2006,2013,5,338,118,111,229,25,290,65,50,3,17,67,43,1,758,15.6,6327,18:43,knublmi01
67,R.J. Umberger,2006,2016,5,334,60,82,142,-31,112,44,14,2,6,60,14,8,589,10.2,4787,14:20,umberrj01
68,Craig Berube,1987,2000,7,323,20,34,54,-25,1138,20,0,0,2,34,0,0,216,9.3,707,8:02,berubcr01
69,Keith Primeau,2000,2006,6,312,87,126,213,39,414,62,24,1,14,96,24,6,636,13.7,5756,18:27,primeke02
70,Sami Kapanen,2003,2008,5,311,44,66,110,-34,70,30,6,8,7,49,14,3,558,7.9,5105,16:25,kapansa01
71,Peter Zezel,1985,1989,5,310,91,169,260,67,230,57,32,2,14,110,55,4,587,15.5,,,zezelpe01
72,Matt Carle,2009,2012,4,308,15,122,137,55,91,10,5,0,3,91,31,0,458,3.3,6925,22:29,carlema01
73,Bob Dailey,1977,1982,6,304,56,138,194,125,397,42,11,3,7,82,51,5,800,7.0,,,dailebo01
74,Keith Acton,1989,1993,5,303,45,72,117,-24,424,39,2,4,4,66,5,1,405,11.1,,,actonke01
75,Shjon Podein,1995,1999,5,301,44,48,92,36,216,38,1,5,11,41,4,3,468,9.4,166,11:52,podeish01
76,Dave Schultz,1972,1976,5,297,51,64,115,70,1386,49,2,0,8,62,2,0,342,14.9,,,schulda01
77,Tom Gorence,1979,1983,5,291,57,52,109,28,89,52,1,4,11,50,1,1,477,11.9,,,gorento01
78,Kim Johnsson,2002,2006,4,291,40,107,147,44,140,23,17,0,6,50,56,1,595,6.7,6914,23:46,johnski01
79,Andrew MacDonald,2014,2019,6,291,11,61,72,0,137,10,1,0,2,51,6,4,290,3.8,5691,19:33,macdoan01
80,Radko Gudas,2016,2019,4,290,17,56,73,11,355,17,0,0,1,54,1,1,541,3.1,5374,18:32,gudasra01
81,Kevin Dineen,1992,1996,5,284,88,88,176,-3,533,61,20,7,15,61,21,6,680,12.9,,,dineeke01
82,Jean-Guy Gendron,1968,1972,5,278,69,86,155,-14,203,51,17,1,5,48,38,0,595,11.6,,,gendrje01
83,Mark Streit,2014,2017,4,274,30,110,140,-16,120,19,11,0,4,60,50,0,463,6.5,5811,21:12,streima01
84,Barry Ashbee,1971,1974,4,270,15,67,82,56,277,10,4,1,2,48,16,3,328,4.6,,,ashbeba01
85,Donald Brashear,2002,2006,4,270,22,44,66,2,648,22,0,0,3,42,2,0,306,7.2,3079,11:24,brashdo01
86,Ken Linseman,1979,1990,5,269,73,184,257,49,585,62,7,4,6,132,51,1,595,12.3,,,linseke01
87,Todd Fedoruk,2001,2007,5,268,13,26,39,-16,575,13,0,0,1,26,0,0,143,9.1,1898,7:05,fedorto01
88,Jim Johnson,1968,1972,5,266,66,102,168,-38,67,51,10,5,9,85,14,3,534,12.4,,,johnsji01
89,Oskar Lindblom,2018,2022,5,263,50,47,97,-21,63,45,5,0,5,43,4,0,455,11.0,3726,14:10,lindbos01
90,Gord Murphy,1989,1992,4,261,31,97,128,-21,254,18,13,0,4,44,53,0,529,5.9,,,murphgo01
91,Wayne Hillman,1970,1973,4,258,8,25,33,8,170,8,0,0,1,23,2,0,209,3.8,,,hillmwa01
92,Glen Cochrane,1979,1985,6,257,16,61,77,74,1110,15,0,1,5,54,5,2,262,6.1,,,cochrgl01
93,Kevin Hayes,2020,2023,4,253,63,94,157,-50,105,44,15,4,9,72,21,1,637,9.9,4470,17:40,hayeske01
94,Joel Farabee,2020,2023,4,252,60,72,132,-6,158,54,5,1,4,63,9,0,467,12.8,4117,16:20,farabjo01
95,Chris VandeVelde,2014,2017,4,250,17,28,45,-21,77,16,0,1,0,27,1,0,224,7.6,2991,11:58,vandech01
96,André Lacroix,1968,1971,4,245,72,98,170,-29,36,44,28,0,10,59,39,0,623,11.6,,,lacroan01
97,Pierre-Édouard Bellemare,2015,2017,3,237,17,17,34,-12,65,16,0,1,2,15,0,2,305,5.6,3107,13:07,bellepi01
98,Michal Handzuš,2003,2006,3,237,54,92,146,29,166,41,10,3,12,54,34,4,381,14.2,4322,18:14,handzmi01
99,Garry Galley,1992,1995,4,236,28,144,172,8,260,14,12,2,4,73,67,4,557,5.0,,,gallega01
100,Robert Hägg,2017,2021,5,236,13,34,47,13,143,12,1,0,1,34,0,0,247,5.3,3977,16:51,haggro01
101,Petr Svoboda,1995,1999,5,232,10,60,70,62,320,5,4,1,1,38,22,0,225,4.4,506,20:15,svobope01
102,Bill Clement,1972,1975,4,229,53,52,105,12,166,49,1,3,8,44,5,3,420,12.6,,,clemebi01
103,Garry Peters,1968,1971,4,229,27,28,55,-44,209,21,3,3,5,23,3,2,483,5.6,,,peterga01
104,Justin Braun,2020,2023,4,227,9,34,43,0,91,9,0,0,0,33,1,0,238,3.8,4039,17:47,braunju01
105,Karl Dykhuis,1995,2000,5,227,13,41,54,21,211,8,5,0,2,26,15,0,317,4.1,896,17:55,dykhuka01
106,Justin Williams,2001,2004,4,226,43,72,115,42,108,40,3,0,4,62,9,1,473,9.1,3256,14:24,williju01
107,Zac Rinaldo,2012,2015,4,223,8,16,24,-30,572,8,0,0,1,16,0,0,168,4.8,1795,8:03,rinalza01
108,Al Hill,1977,1988,8,221,40,55,95,31,227,39,1,0,5,49,4,2,262,15.3,,,hillal01
109,Randy Jones,2004,2009,5,217,13,56,69,-3,134,11,2,0,2,35,19,2,241,5.4,3817,17:35,jonesra01
110,Jeremy Roenick,2002,2004,3,216,67,106,173,53,211,42,23,2,10,71,32,3,492,13.6,3945,18:16,roenije01
111,Eric Weinrich,2002,2004,3,215,8,45,53,54,98,5,2,1,3,36,7,2,261,3.1,4607,21:26,weinrer01
112,Dmitry Yushkevich,1993,2003,4,215,17,63,80,7,212,11,5,1,4,56,5,2,387,4.4,326,18:05,yushkdm01
113,Joel Otto,1996,1998,3,213,28,52,80,21,292,20,6,2,3,39,8,5,249,11.2,,,ottojo01
114,Luke Schenn,2013,2016,4,213,12,30,42,-6,140,12,0,0,0,29,0,1,245,4.9,3892,18:16,schenlu01
115,Jody Hull,1999,2001,3,210,20,22,42,5,26,16,0,4,5,21,0,1,214,9.3,2675,12:44,hulljo01
116,Trent Klatt,1996,1999,4,209,41,57,98,13,57,26,10,5,9,45,10,2,340,12.1,22,11:11,klatttr01
117,Daymond Langkow,1999,2001,3,209,41,86,127,5,130,29,11,1,10,58,27,1,521,7.9,3564,17:03,langkda01
