--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,William Karlsson,2018,2023,6,432,122,185,307,97,68,90,21,11,18,138,37,10,898,13.6,7972,18:27,karlswi01
2,Jonathan Marchessault,2018,2023,6,432,150,198,348,68,216,116,34,0,27,146,52,0,1442,10.4,7572,17:32,audymjo01
3,Brayden McNabb,2018,2023,6,420,17,66,83,75,243,16,0,1,2,62,0,4,458,3.7,8308,19:47,mcnabbr01
4,Reilly Smith,2018,2023,6,399,124,162,286,86,100,85,27,12,19,126,28,8,963,12.9,7091,17:46,smithre01
5,Shea Theodore,2018,2023,6,397,61,186,247,63,115,51,9,1,13,124,61,1,1067,5.7,8587,21:38,theodsh01
6,William Carrier,2018,2023,6,333,47,44,91,15,167,47,0,0,9,44,0,0,539,8.7,3543,10:38,carriwi01
7,Chandler Stephenson,2020,2023,4,252,59,127,186,58,91,39,15,5,16,102,21,4,383,15.4,4636,18:24,stephch02
8,Alex Tuch,2018,2021,4,249,61,78,139,22,71,49,12,0,15,63,15,0,591,10.3,3967,15:56,tuchal01
9,Tomáš Nosek,2018,2021,4,240,31,34,65,1,62,28,0,3,4,32,1,1,360,8.6,2863,11:56,nosekto01
10,Max Pacioretty,2019,2022,4,224,97,97,194,33,127,75,22,0,20,68,29,0,820,11.8,3933,17:33,pacioma01
11,Nicolas Hague,2020,2023,4,223,13,46,59,27,152,12,1,0,1,43,3,0,351,3.7,3879,17:24,hagueni01
12,Nicolas Roy,2020,2023,4,221,40,54,94,34,97,34,6,0,10,46,6,2,340,11.8,3298,14:55,royni01
13,Mark Stone,2019,2023,5,218,73,130,203,63,78,51,19,3,14,95,33,2,504,14.5,4140,18:59,stonema01
14,Ryan Reaves,2018,2021,4,209,18,24,42,-2,158,15,3,0,3,24,0,0,190,9.5,2166,10:22,reavery01
15,Deryk Engelland,2018,2020,3,202,8,33,41,9,79,8,0,0,2,32,0,1,272,2.9,3933,19:28,engelde01
16,Cody Eakin,2018,2020,3,199,37,41,78,4,54,32,1,4,5,35,4,2,280,13.2,2963,14:53,eakinco01
17,Keegan Kolesar,2020,2023,4,196,18,37,55,-4,166,16,1,1,0,37,0,0,204,8.8,2255,11:30,koleske01
18,Nate Schmidt,2018,2020,3,196,21,76,97,52,36,18,3,0,2,53,23,0,327,6.4,4308,21:59,schmina01
19,Alex Pietrangelo,2021,2023,3,194,31,90,121,40,74,26,4,1,5,57,27,6,523,5.9,4724,24:21,pietral01
20,Zach Whitecloud,2018,2023,5,186,15,29,44,46,89,14,0,1,3,29,0,0,221,6.8,3273,17:36,whiteza01
21,Alec Martinez,2020,2023,4,166,17,45,62,67,51,13,3,1,4,37,8,0,209,8.1,3399,20:29,martial01
