--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Ron Francis*,1982,2004,16,1186,382,793,1175,-91,682,243,132,7,57,446,344,3,2543,15.0,9563,20:16,francro01
2,Glen Wesley,1995,2008,13,913,51,176,227,23,620,32,17,2,7,111,62,3,1188,4.3,12725,19:40,weslegl01
3,Eric Staal,2004,2016,12,909,322,453,775,-58,678,201,105,16,47,301,147,5,3033,10.6,18381,20:13,staaler01
4,Jordan Staal,2013,2023,11,742,155,242,397,8,324,122,28,5,23,187,47,8,1465,10.6,13493,18:11,staaljo01
5,Kevin Dineen,1985,1999,12,708,250,294,544,-19,1439,172,71,7,37,189,102,3,1864,13.4,668,9:58,dineeke01
6,Rod Brind'Amour,2000,2010,10,694,174,299,473,-62,398,104,60,10,29,178,110,11,1397,12.5,14601,21:02,brindro01
7,Jeff O'Neill,1996,2004,9,673,198,218,416,-97,552,132,64,2,38,133,83,2,1627,12.2,8547,18:30,oneilje01
8,Adam Burt,1989,1999,11,626,36,106,142,-53,875,26,9,1,4,80,24,2,724,5.0,951,18:39,burtad01
9,Jaccob Slavin,2016,2023,8,584,43,192,235,130,78,34,7,2,6,161,21,10,1025,4.2,13302,22:47,slavija01
10,Jeff Skinner,2011,2018,8,579,204,175,379,-96,268,159,45,0,28,122,53,0,1909,10.7,9903,17:06,skinnje01
11,Justin Faulk,2012,2019,8,559,85,173,258,-100,265,42,40,3,19,110,62,1,1404,6.1,13008,23:16,faulkju01
12,Erik Cole,2002,2011,9,557,168,195,363,6,494,122,38,8,34,141,49,5,1317,12.8,10010,17:58,coleer01
13,Brett Pesce,2016,2023,8,557,36,149,185,82,207,32,4,0,9,128,15,6,865,4.2,11801,21:11,pescebr01
14,Tim Gleason,2007,2015,9,546,14,93,107,-29,537,11,2,1,0,74,12,7,551,2.5,10733,19:39,gleasti01
15,Sebastian Aho,2017,2023,7,520,218,250,468,80,214,150,52,16,45,161,83,6,1450,15.0,9797,18:50,ahose01
16,Sami Kapanen,1996,2003,8,520,145,203,348,4,105,105,40,0,28,118,84,1,1380,10.5,7026,19:34,kapansa01
17,Niclas Wallin,2001,2010,9,517,18,51,69,-61,391,18,0,0,3,47,3,1,478,3.8,8657,16:45,wallini01
18,Robert Kron,1993,2000,8,509,108,139,247,-52,68,77,26,5,18,103,31,5,1147,9.4,2451,15:43,kronro01
19,Chad Larose,2006,2013,8,508,85,95,180,-29,286,72,5,8,12,79,10,6,1022,8.3,7142,14:03,larosch01
20,Dave Tippett,1984,1990,7,483,75,120,195,-27,183,62,2,11,9,105,5,10,742,10.1,,,tippeda01
21,Geoff Sanderson,1991,1998,8,479,196,173,369,-54,195,130,62,4,26,109,63,1,1514,12.9,,,sandege01
22,Teuvo Teräväinen,2017,2023,7,479,113,249,362,90,94,71,36,6,13,152,88,9,1098,10.3,8332,17:24,teravte01
23,Ulf Samuelsson,1985,1991,7,463,31,144,175,71,1110,24,6,1,3,104,38,2,654,4.7,,,samueul01
24,Joel Quenneville,1984,1990,7,457,25,70,95,6,408,21,1,3,4,62,2,6,312,8.0,,,quennjo01
25,Randy Ladouceur,1987,1993,7,452,12,43,55,-46,717,12,0,0,1,38,2,3,307,3.9,,,ladoura01
26,Justin Williams,2004,2020,8,449,128,188,316,-26,323,84,38,6,21,124,59,5,1290,9.9,8308,18:30,williju01
27,Ray Ferraro,1985,1991,7,442,157,194,351,-14,433,98,59,0,17,122,71,1,716,21.9,,,ferrara01
28,Andrew Cassels,1992,1997,6,438,97,253,350,-40,220,58,33,6,11,143,96,14,710,13.7,,,cassean01
29,Dean Evason,1985,1991,7,434,87,148,235,-29,615,61,21,5,8,122,19,7,683,12.7,,,evasode01
30,Pat Verbeek,1990,1995,6,433,192,211,403,-37,1144,118,73,1,22,126,83,2,1165,16.5,,,verbepa01
31,Paul Ranheim,1994,2000,7,432,49,80,129,-50,117,42,0,7,8,71,6,3,558,8.8,1598,10:11,ranhepa01
32,Craig Adams,2001,2008,7,427,33,44,77,-37,337,28,2,3,4,40,1,3,419,7.9,4518,10:35,adamscr01
33,Patrick Dwyer,2009,2015,7,416,42,51,93,-32,77,35,1,6,6,47,2,2,617,6.8,5680,13:39,dwyerpa01
34,Bates Battaglia,1998,2003,6,402,63,87,150,-11,281,51,10,2,10,76,11,0,555,11.4,5792,15:42,battaba01
35,Sylvain Côté,1985,1991,7,382,31,61,92,-48,147,26,4,1,2,43,13,5,664,4.7,,,cotesy01
36,Tuomo Ruutu,2008,2014,7,378,90,126,216,-30,291,60,30,0,9,101,25,0,754,11.9,6257,16:33,ruututu01
37,Elias Lindholm,2014,2018,5,374,64,124,188,-70,76,45,18,1,13,79,40,5,720,8.9,6416,17:09,lindhel01
38,Paul MacDermid,1982,1990,9,373,68,83,151,5,744,56,12,0,10,70,13,0,447,15.2,,,macdepa01
39,Ray Whitney,2006,2010,5,372,119,215,334,-15,176,81,38,0,19,108,107,0,956,12.4,6890,18:31,whitnra01
40,Sylvain Turgeon,1984,1989,6,370,178,150,328,-39,366,110,68,0,19,89,61,0,1179,15.1,,,turgesy01
41,Bret Hedican,2002,2008,6,369,19,82,101,-11,313,13,5,1,6,55,22,5,461,4.1,7858,21:18,hedicbr01
42,Sean Hill,1998,2004,6,369,38,119,157,11,441,19,19,0,5,50,66,3,763,5.0,7752,23:42,hillse01
43,Blaine Stoughton,1980,1984,5,357,219,158,377,-59,160,158,56,5,29,113,42,3,1022,21.4,,,stougbl01
44,Dave Babych,1986,1991,6,349,44,196,240,-65,254,11,32,1,8,72,120,4,893,4.9,,,babycda01
45,Martin Gélinas,1998,2002,5,348,75,90,165,-11,226,59,14,2,11,76,12,2,639,11.7,4682,15:12,gelinma01
46,Andrei Svechnikov,2019,2023,5,347,112,152,264,35,310,88,24,0,18,96,56,0,973,11.5,5805,16:44,svechan01
47,Brock McGinn,2016,2021,6,345,51,55,106,-31,81,44,2,5,4,53,1,1,532,9.6,4704,13:38,mcginbr01
48,Mark Janssens,1993,1997,5,341,20,43,63,-59,712,20,0,0,1,41,2,0,241,8.3,,,janssma01
49,Josef Vašíček,2001,2007,6,341,57,78,135,-40,229,43,14,0,9,60,17,1,539,10.6,5013,14:42,vasicjo01
50,Victor Rask,2015,2019,5,339,63,100,163,-33,72,48,15,0,13,62,37,1,669,9.4,5489,16:11,raskvi01
51,Aaron Ward,2002,2010,5,336,16,51,67,-37,317,14,2,0,4,46,2,3,278,5.8,6315,18:48,wardaa01
52,Ray Neufeld,1980,1986,7,331,95,131,226,-96,400,70,25,0,8,95,33,3,633,15.0,,,neufera01
53,David Tanabe,2000,2008,6,329,21,61,82,-46,167,9,12,0,1,35,26,0,470,4.5,5686,17:17,tanabda01
54,Torrie Robertson,1984,1989,6,326,36,79,115,-42,1368,32,4,0,8,67,12,0,309,11.7,,,roberto01
55,Jiří Tlustý,2010,2015,6,322,76,69,145,4,102,62,12,2,9,56,12,1,549,13.8,4768,14:49,tlustji01
56,Jay Harrison,2010,2015,6,317,21,47,68,-29,319,18,3,0,5,38,9,0,387,5.4,5535,17:28,harrija01
57,Marek Malík,1995,2003,8,317,17,60,77,11,291,15,2,0,3,49,9,2,300,5.7,5176,19:45,malikma01
58,Jordan Martinook,2019,2023,5,312,40,60,100,4,168,38,0,2,12,56,0,4,491,8.1,4199,13:27,martijo01
59,Kevyn Adams,2002,2007,5,300,38,34,72,-14,168,30,0,8,4,30,2,2,543,7.0,3757,12:31,adamske01
60,Ron Hainsey,2014,2017,4,300,15,43,58,-52,115,14,0,1,4,40,1,2,348,4.3,6525,21:45,hainsro01
