--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Harry Howell*,1953,1969,17,1160,82,263,345,-77,1147,69,12,1,12,181,78,4,1701,3.4,,,howelha01
2,Brian Leetch*,1988,2004,17,1129,240,741,981,24,525,126,106,8,37,320,408,13,3469,6.9,11151,27:36,leetcbr01
3,Rod Gilbert*,1961,1978,18,1065,406,615,1021,38,510,298,108,0,52,400,215,0,3142,12.9,,,gilbero01
4,Ron Greschner,1975,1990,16,981,179,431,610,-84,1226,122,51,6,18,255,171,5,1877,9.5,,,grescro01
5,Walt Tkaczuk,1968,1981,14,945,227,451,678,184,556,175,41,11,23,360,73,18,2156,10.5,,,tkaczwa01
6,Marc Staal,2008,2020,13,892,43,145,188,46,432,34,7,2,6,125,11,9,971,4.4,18394,20:37,staalma01
7,Jean Ratelle*,1961,1976,16,861,336,481,817,108,192,252,82,2,46,340,141,0,2045,16.4,,,ratelje01
8,Vic Hadfield,1962,1974,13,841,262,310,572,16,1041,179,83,0,40,228,82,0,2414,10.9,,,hadfivi01
9,Jim Neilson,1963,1974,12,811,60,238,298,32,763,44,15,1,11,173,62,3,1826,3.3,,,neilsji01
10,Dan Girardi,2007,2017,11,788,46,184,230,54,275,31,13,2,12,140,34,10,1067,4.3,17531,22:15,girarda01
11,Adam Graves,1992,2001,10,772,280,227,507,6,810,164,100,16,36,151,65,11,2309,12.1,4420,18:20,gravead01
12,Chris Kreider,2013,2023,11,733,265,212,477,107,525,166,92,7,37,160,52,0,1762,15.0,12273,16:45,kreidch01
13,Andy Bathgate*,1953,1964,12,719,272,457,729,-28,444,207,59,6,23,292,162,3,1384,9.7,,,bathgan01
14,Mark Messier*,1992,2004,10,698,250,441,691,74,667,155,72,23,41,253,160,28,1658,15.1,5043,18:12,messima01
15,Steve Vickers,1973,1982,10,698,246,340,586,57,330,176,69,1,35,240,99,1,1278,19.2,,,vickest01
16,James Patrick,1984,1994,11,671,104,363,467,66,541,52,50,2,8,165,188,10,1254,8.3,,,patrija01
17,Dean Prentice,1953,1963,11,666,186,236,422,1,266,148,36,2,25,199,34,3,791,11.0,,,prentde01
18,Don Maloney,1979,1989,11,653,195,307,502,38,739,131,50,14,27,235,65,7,1046,18.6,,,malondo01
19,Ott Heller,1932,1946,15,649,54,176,230,,467,42,2,3,12,145,16,6,,,,,helleot01
20,Rod Seiling,1964,1975,12,644,50,198,248,164,425,45,3,2,9,149,44,5,1198,4.2,,,seiliro01
21,Camille Henry,1954,1968,12,637,256,222,478,-46,72,140,116,0,32,128,94,0,746,21.2,,,henryca01
22,Dave Maloney,1975,1985,11,605,70,225,295,63,1113,49,17,4,7,166,55,4,895,7.8,,,malonda02
23,Andy Hebenton,1956,1963,8,560,177,191,368,-88,80,110,63,4,17,135,53,3,697,11.2,,,hebenan01
24,Jan Erixon,1984,1993,10,556,57,159,216,34,167,48,1,8,5,148,2,9,600,9.5,,,erixoja01
25,Phil Watson,1936,1948,12,547,128,233,361,,491,106,16,6,20,202,24,7,,,,,watsoph01
26,Bill Fairbairn,1969,1977,9,536,138,224,362,106,161,101,25,12,25,187,32,5,1102,12.5,,,fairbbi01
27,Don Raleigh,1944,1956,10,535,101,219,320,,96,81,20,0,13,177,40,2,,,,,raleido01
28,Frank Boucher*,1927,1944,13,533,152,262,414,,106,40,8,1,24,85,19,0,,,,,bouchfr01
29,Earl Ingarfield,1959,1967,9,527,122,142,264,-117,187,102,16,4,19,119,23,0,1048,11.5,,,ingarea01
30,Jeff Beukeboom,1992,1999,8,520,18,72,90,63,1157,17,1,0,1,66,0,6,333,5.4,628,13:57,beukeje01
31,Ryan McDonagh,2011,2018,8,516,51,187,238,141,221,38,9,4,10,127,52,8,901,5.7,12155,23:33,mcdonry01
32,Derek Stepan,2011,2017,7,515,128,232,360,109,130,93,28,7,25,155,68,9,1198,10.7,9409,18:16,stepade01
33,Tom Laidlaw,1981,1987,7,510,20,99,119,-42,561,17,2,1,2,87,5,7,392,5.1,,,laidlto01
34,Mats Zuccarello,2011,2019,9,509,113,239,352,37,215,91,21,1,21,161,77,1,1067,10.6,9046,17:46,zuccama01
35,Murray Murdoch,1927,1937,11,508,84,104,188,,193,26,5,2,15,34,7,3,,,,,murdomu01
36,Bob Nevin,1964,1971,8,505,168,174,342,20,105,126,38,4,26,115,56,3,1362,12.3,,,nevinbo01
37,Edgar Laprade*,1946,1955,10,500,108,172,280,,42,92,13,3,18,147,23,2,,,,,lapraed01
38,Ron Duguay,1978,1988,8,499,164,176,340,-26,370,125,29,10,11,133,41,2,1050,15.6,,,duguaro01
39,Pete Stemkowski,1971,1977,7,496,113,204,317,26,379,99,13,1,8,178,20,6,1183,9.6,,,stemkpe01
40,Alex Kovalev,1993,2004,9,492,142,188,330,-13,533,105,35,2,20,129,58,1,1182,12.0,2057,19:47,kovalal01
41,Mika Zibanejad,2017,2023,7,486,204,251,455,40,141,106,89,9,32,167,74,10,1416,14.4,9521,19:35,zibanmi01
42,Carol Vadnais,1976,1982,7,485,56,190,246,-28,690,34,19,3,4,105,78,7,923,6.1,,,vadnaca01
43,Don Marshall,1964,1970,7,479,129,141,270,13,40,93,33,3,19,108,26,7,992,13.0,,,marshdo01
44,Petr Nedvěd,1995,2004,7,478,149,202,351,-16,312,97,44,8,25,138,59,5,1240,12.0,8586,19:52,nedvepe01
45,Bill Cook*,1927,1937,11,475,228,138,366,,386,33,9,0,43,30,12,0,,,,,cookbi01
46,Neil Colville*,1936,1949,12,465,100,166,266,,213,85,8,7,19,130,30,6,,,,,colvine01
47,Anders Hedberg,1979,1985,7,465,172,225,397,53,144,132,39,1,21,146,75,4,1220,14.1,,,hedbean01
48,Brad Park*,1969,1976,8,465,95,283,378,178,738,58,34,3,14,177,101,5,1320,7.2,,,parkbr01
49,Arnie Brown,1965,1971,7,460,33,98,131,-11,547,30,3,0,5,86,11,1,851,3.9,,,brownar01
50,Bill Gadsby*,1955,1961,7,457,58,212,270,-51,411,34,21,3,5,111,96,5,207,8.7,,,gadsbbi01
51,Nick Fotiu,1977,1985,8,455,41,62,103,-42,970,39,2,0,6,62,0,0,381,10.8,,,fotiuni01
52,Lynn Patrick*,1935,1946,10,455,145,191,336,,240,116,23,6,16,157,29,5,,,,,patrily01
53,Butch Keeling,1929,1938,10,452,136,55,191,,260,65,8,0,27,26,1,0,,,,,keelibu01
54,Ryan Callahan,2007,2014,8,450,132,122,254,-2,268,82,44,6,26,89,27,6,1240,10.6,8236,18:18,callary01
55,Bryan Hextall*,1937,1948,11,449,187,180,367,,227,160,22,5,25,149,25,6,,,,,hextabr01
