--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Blake Wheeler,2011,2023,13,897,262,550,812,25,610,199,52,11,41,355,187,8,2462,10.6,17347,19:20,wheelbl01
2,Bryan Little,2008,2020,13,843,217,304,521,-15,293,152,58,7,32,223,74,7,1649,13.2,15167,17:59,littlbr01
3,Mark Scheifele,2012,2023,12,723,272,373,645,46,303,198,72,2,44,278,89,6,1620,16.8,14449,19:59,scheima01
4,Toby Enström,2008,2018,11,719,54,254,308,5,422,30,22,2,7,139,110,5,819,6.6,16363,22:45,enstrto01
5,Chris Thorburn,2008,2017,10,709,49,72,121,-36,832,42,2,5,7,71,1,0,615,8.0,6751,9:31,thorbch01
6,Adam Lowry,2015,2023,9,621,93,111,204,15,335,77,6,10,15,89,14,8,863,10.8,9312,15:00,lowryad01
7,Dustin Byfuglien,2011,2019,9,609,122,294,416,7,826,83,38,1,24,161,127,6,1973,6.2,14834,24:22,byfugdu01
8,Ilya Kovalchuk,2002,2010,8,594,328,287,615,-84,429,210,115,3,40,156,128,3,2178,15.1,12721,21:25,kovalil01
9,Jim Slater,2006,2015,10,584,67,71,138,-17,407,60,2,5,7,68,2,1,762,8.8,6456,11:03,slateji01
10,Vyacheslav Kozlov,2003,2010,7,537,145,271,416,-38,312,93,51,1,20,137,130,4,1211,12.0,9804,18:15,kozlovy01
11,Nikolaj Ehlers,2016,2023,8,523,176,220,396,65,176,141,34,1,27,172,48,0,1488,11.8,8682,16:36,ehlerni01
12,Josh Morrissey,2016,2023,8,501,56,186,242,29,255,41,14,1,14,123,62,1,878,6.4,11151,22:15,morrijo04
13,Andrew Copp,2015,2022,8,467,74,110,184,56,82,59,10,5,12,92,12,6,700,10.6,6612,14:09,coppan01
14,Kyle Connor,2017,2023,7,466,209,215,424,-20,108,151,53,5,42,148,66,1,1438,14.5,9058,19:26,connoky01
15,Mathieu Perreault,2015,2021,7,455,88,142,230,-15,212,60,28,0,11,100,41,1,758,11.6,6555,14:24,perrema01
16,Andrew Ladd,2011,2016,6,429,139,166,305,-1,293,99,36,4,22,122,40,4,1137,12.2,8487,19:47,laddan01
17,Patrik Štefan,2000,2006,6,414,59,118,177,-41,148,47,9,3,8,91,20,7,564,10.5,6371,15:23,stefapa01
18,Jacob Trouba,2014,2019,6,408,42,137,179,37,297,33,6,3,5,100,32,5,847,5.0,9340,22:53,troubja01
19,Zach Bogosian,2009,2015,7,393,40,87,127,-38,325,32,6,2,2,65,21,1,843,4.7,8624,21:57,bogosza01
20,Mark Stuart,2011,2017,7,390,13,40,53,6,438,12,0,1,3,37,0,3,308,4.2,6620,16:58,stuarma01
21,Eric Boulton,2006,2011,6,377,22,34,56,-15,639,21,1,0,1,34,0,0,295,7.5,2700,7:10,boulter01
22,Evander Kane,2010,2015,6,361,109,113,222,-10,385,88,17,4,18,96,15,2,1214,9.0,6498,18:00,kaneev01
23,Garnet Exelby,2003,2009,6,357,6,40,46,-20,511,5,0,1,0,37,0,3,231,2.6,6357,17:48,exelbga01
24,Ron Hainsey,2009,2013,5,346,14,93,107,-18,128,10,4,0,2,68,22,3,461,3.0,7322,21:10,hainsro01
25,Chris Tamer,2000,2004,5,339,12,38,50,-63,503,10,0,2,2,36,1,1,310,3.9,6144,18:08,tamerch01
26,Patrik Laine,2017,2021,5,306,140,110,250,0,118,88,52,0,18,77,33,0,919,15.2,5408,17:40,lainepa01
27,Ben Chiarot,2014,2019,6,305,12,52,64,16,192,12,0,0,1,51,0,1,328,3.7,4931,16:10,chiarbe01
28,Niclas Hävelid,2006,2009,4,303,10,72,82,13,184,6,3,1,1,51,18,3,261,3.8,6926,22:51,havelni01
29,Yannick Tremblay,2000,2004,5,300,33,74,107,-103,144,20,12,1,6,32,42,0,554,6.0,6292,20:58,trembya01
30,Alexander Burmistrov,2011,2017,5,298,30,51,81,-25,121,28,1,1,4,45,3,3,385,7.8,4497,15:05,burmial01
31,Neal Pionk,2020,2023,4,284,22,122,144,9,142,16,6,0,4,77,44,1,559,3.9,6273,22:05,pionkne01
32,Andy Sutton,2002,2007,5,273,21,66,87,11,474,7,10,4,4,52,13,1,324,6.5,5514,20:12,suttoan01
33,František Kaberle,2000,2004,5,272,20,82,102,-30,110,11,7,2,4,41,40,1,415,4.8,6094,22:24,kaberfr01
34,Tyler Myers,2015,2019,5,270,29,85,114,40,212,23,4,2,6,56,24,5,514,5.6,5852,21:40,myersty01
35,Nik Antropov,2010,2013,4,261,61,100,161,2,144,42,19,0,6,69,31,0,382,16.0,4353,16:41,antroni01
36,Per Svartvadet,2000,2003,4,247,17,34,51,-37,58,15,0,2,1,30,1,3,261,6.5,3296,13:21,svartpe01
37,Bobby Holík,2006,2008,3,228,41,55,96,-23,255,30,10,1,4,36,17,2,481,8.5,3738,16:24,holikbo01
38,Ray Ferraro,2000,2002,3,223,56,91,147,-76,245,33,23,0,5,60,31,0,414,13.5,3767,16:54,ferrara01
39,Marián Hossa*,2006,2008,3,222,108,140,248,21,146,57,39,12,16,68,70,2,910,11.9,4828,21:45,hossama01
40,Todd White,2008,2010,3,221,43,93,136,-32,84,21,20,2,7,58,35,0,353,12.2,3835,17:21,whiteto02
41,Daniel Tjärnqvist,2002,2004,3,218,10,43,53,-46,60,6,2,2,1,36,6,1,198,5.1,4771,21:53,tjarnda01
42,Dylan DeMelo,2020,2023,4,213,7,42,49,31,104,5,0,2,1,38,0,4,225,3.1,3968,18:38,demeldy01
43,J.P. Vigier,2001,2007,6,213,23,23,46,-42,97,17,3,3,3,16,4,3,286,8.0,2804,13:10,vigiejp01
44,Brad Larsen,2004,2008,4,202,15,17,32,-33,74,10,0,5,1,16,0,1,150,10.0,2213,10:57,larsebr01
45,Jeff Odgers,2001,2003,3,202,12,15,27,-24,532,12,0,0,3,15,0,0,149,8.1,1682,8:20,odgerje01
46,Mason Appleton,2019,2023,5,198,27,36,63,16,62,25,1,1,3,35,0,1,273,9.9,2584,13:03,applema01
47,Pierre-Luc Dubois,2021,2023,3,195,63,80,143,-7,219,36,27,0,9,59,21,0,507,12.4,3498,17:56,duboipi01
48,Brandon Tanev,2016,2019,4,195,24,27,51,16,87,19,0,5,2,26,0,1,264,9.1,2482,12:44,tanevbr01
49,Paul Postma,2011,2017,7,191,10,24,34,-3,49,6,4,0,1,22,2,0,169,5.9,2466,12:55,postmpa01
50,Dany Heatley,2002,2004,3,190,80,101,181,-35,132,48,31,1,13,62,38,1,537,14.9,3937,20:43,heatlda01
51,Marc Savard,2003,2006,3,184,63,133,196,-12,262,35,26,2,11,69,61,3,472,13.3,3816,20:44,savarma01
52,Rich Peverley,2009,2011,3,180,49,75,124,-14,89,30,15,4,14,52,18,5,402,12.2,3398,18:53,peverri01
53,Jack Roslovic,2017,2020,4,180,26,41,67,6,18,20,6,0,1,38,3,0,230,11.3,2198,12:13,rosloja01
54,Joel Armia,2016,2018,3,179,26,32,58,-3,54,21,0,5,4,23,6,3,291,8.9,2381,13:18,armiajo01
