--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Adam Larsson,2022,2023,2,164,16,42,58,4,102,15,0,1,5,41,1,0,262,6.1,3765,22:58,larssad01
2,Alexander Wennberg,2022,2023,2,162,24,51,75,-33,48,18,6,0,5,41,9,1,196,12.2,2961,18:17,wennbal01
3,Jordan Eberle,2022,2023,2,161,41,66,107,-22,48,34,7,0,6,49,17,0,341,12.0,2786,17:18,eberljo01
4,Yanni Gourde,2022,2023,2,155,35,61,96,10,121,27,6,2,5,53,5,3,268,13.1,2756,17:47,gourdya01
5,Vince Dunn,2022,2023,2,154,21,78,99,7,118,19,2,0,2,54,24,0,270,7.8,3427,22:15,dunnvi02
6,Jared McCann,2022,2023,2,153,67,53,120,-8,47,48,15,4,4,35,18,0,409,16.4,2485,16:15,mccanja01
7,Jamie Oleksiak,2022,2023,2,147,10,32,42,12,116,10,0,0,2,31,0,1,171,5.8,2836,19:17,oleksja01
8,Ryan Donato,2022,2023,2,145,30,28,58,3,86,29,1,0,2,26,2,0,281,10.7,1820,12:33,donatry01
9,Morgan Geekie,2022,2023,2,142,16,34,50,-2,42,15,1,0,3,30,4,0,178,9.0,1642,11:34,geekimo01
10,Carson Soucy,2022,2023,2,142,13,24,37,25,115,12,0,1,1,19,2,3,184,7.1,2401,16:55,soucyca01
11,William Borgen,2022,2023,2,118,5,23,28,12,75,5,0,0,1,23,0,0,125,4.0,1892,16:02,borgewi01
12,Brandon Tanev,2022,2023,2,112,25,25,50,25,57,21,2,2,6,25,0,0,166,15.1,1603,14:19,tanevbr01
13,Jaden Schwartz,2022,2023,2,108,29,34,63,-30,36,22,7,0,2,29,5,0,268,10.8,1920,17:47,schwaja01
14,Matthew Beniers,2022,2023,2,90,27,39,66,13,2,21,6,0,4,30,8,1,166,16.3,1537,17:05,beniema01
15,Daniel Sprong,2022,2023,2,82,27,25,52,7,14,19,8,0,3,17,8,0,198,13.6,973,11:52,spronda01
16,Oliver Bjorkstrand,2023,2023,1,81,20,25,45,-1,16,15,5,0,1,20,5,0,198,10.1,1266,15:37,bjorkol01
17,Joonas Donskoi,2022,2022,1,75,2,20,22,-10,14,2,0,0,0,16,3,1,89,2.2,1113,14:50,donskjo01
18,Justin Schultz,2023,2023,1,73,7,27,34,4,40,6,1,0,4,15,12,0,98,7.1,1299,17:47,schulju01
19,Riley Sheahan,2022,2022,1,69,4,13,17,6,2,4,0,0,0,11,0,2,69,5.8,831,12:03,sheahri01
20,Mark Giordano,2022,2022,1,55,6,17,23,-21,47,4,0,2,0,9,8,0,123,4.9,1182,21:29,giordma01
21,Jeremy Lauzon,2022,2022,1,53,1,5,6,-9,67,1,0,0,0,5,0,0,58,1.7,944,17:49,lauzoje01
22,Marcus Johansson,2022,2022,1,51,6,17,23,-22,4,3,3,0,1,11,6,0,81,7.4,846,16:35,johanma03
23,Mason Appleton,2022,2022,1,49,6,11,17,-4,14,6,0,0,2,11,0,0,68,8.8,701,14:18,applema01
24,André Burakovsky,2023,2023,1,49,13,26,39,-9,14,9,4,0,3,16,10,0,105,12.4,811,16:33,burakan01
25,Calle Järnkrok,2022,2022,1,49,12,14,26,-15,2,10,2,0,1,11,3,0,82,14.6,823,16:48,jarnkca01
26,Eeli Tolvanen,2023,2023,1,48,16,11,27,10,10,12,4,0,3,8,3,0,97,16.5,719,14:59,tolvaee01
27,Colin Blackwell,2022,2022,1,39,8,9,17,1,4,6,0,2,1,9,0,0,61,13.1,487,12:29,blackco01
28,Karson Kuhlman,2022,2023,2,39,3,8,11,1,6,3,0,0,1,8,0,0,59,5.1,465,11:56,kuhlmka01
29,Haydn Fleury,2022,2022,1,36,2,2,4,0,13,2,0,0,1,2,0,0,52,3.8,586,16:17,fleurha01
30,Kole Lind,2022,2022,1,23,2,6,8,-1,12,2,0,0,0,6,0,0,31,6.5,272,11:50,lindko01
31,Cale Fleury,2022,2023,2,21,0,1,1,-3,2,0,0,0,0,1,0,0,14,0.0,291,13:51,fleurca01
