--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Vincent Lecavalier,1999,2013,14,1037,383,491,874,-117,746,258,112,13,60,296,185,10,3166,12.1,19964,19:15,lecavvi01
2,Steven Stamkos,2009,2023,15,1003,515,541,1056,67,597,315,195,5,79,350,188,3,3070,16.8,19293,19:14,stamkst01
3,Victor Hedman,2010,2023,14,974,143,509,652,157,666,115,27,1,26,295,201,13,2073,6.9,22749,23:21,hedmavi01
4,Martin St. Louis*,2001,2014,13,972,365,588,953,31,254,241,96,28,64,368,204,16,2616,14.0,20531,21:07,stlouma01
5,Alex Killorn,2013,2023,11,805,198,268,466,96,481,156,38,4,34,209,54,5,1582,12.5,13774,17:07,killoal01
6,Pavel Kubina,1998,2012,10,662,72,171,243,-96,784,34,33,5,18,98,70,3,1153,6.2,14307,21:57,kubinpa01
7,Nikita Kucherov,2014,2023,9,644,276,453,729,127,319,201,75,0,42,263,190,0,1910,14.5,11844,18:24,kucheni01
8,Ondřej Palát,2013,2022,10,628,143,280,423,147,197,106,30,7,30,210,65,5,1190,12.0,10729,17:05,palaton01
9,Tyler Johnson,2013,2021,9,589,161,200,361,84,186,123,30,8,30,141,58,1,1231,13.1,9825,16:41,johnsty01
10,Brad Richards,2001,2008,7,552,150,339,489,-55,133,94,49,7,18,171,164,4,1733,8.7,11629,21:04,richabr01
11,Brayden Point,2017,2023,7,499,218,245,463,76,128,141,74,3,44,179,64,2,1213,18.0,9446,18:56,pointbr01
12,Cory Sarich,2000,2007,7,490,10,75,85,-43,554,9,0,1,4,66,1,8,465,2.2,9011,18:23,saricco01
13,Chris Gratton,1994,2009,8,482,98,161,259,-122,828,68,29,1,12,112,47,2,1068,9.2,3073,16:21,grattch01
14,Rob Zamuner,1993,1999,7,475,84,116,200,-69,323,68,2,14,15,88,17,11,949,8.9,953,16:26,zamunro01
15,Vinny Prospal,2002,2009,6,468,127,244,371,-56,268,83,44,0,16,171,72,1,1124,11.3,8718,18:38,prospva01
16,Fredrik Modin,2000,2006,6,445,145,141,286,16,224,110,32,3,23,100,33,8,1131,12.8,7922,17:48,modinfr01
17,Mikhail Sergachev,2018,2023,6,437,46,192,238,62,266,33,12,1,9,125,65,2,800,5.8,8847,20:15,sergami01
18,Mikael Andersson,1993,1999,7,435,54,69,123,-20,84,43,4,7,9,60,2,7,692,7.8,506,12:39,andermi01
19,Jassen Cullimore,1998,2004,7,408,15,38,53,-34,396,12,2,1,3,32,5,1,354,4.2,7343,19:10,cullija01
20,Dan Boyle,2002,2008,6,394,66,187,253,-25,288,34,31,1,13,92,95,0,771,8.6,9667,24:32,boyleda01
21,Roman Hamrlík,1993,1998,6,377,52,133,185,-124,474,24,27,1,5,60,70,3,1010,5.1,,,hamrlro01
22,Cédric Paquette,2014,2020,7,377,47,38,85,-2,345,41,0,6,7,36,1,1,439,10.7,4610,12:14,paquece01
23,Tim Taylor,2002,2007,5,365,23,38,61,-37,126,22,0,1,3,35,0,3,408,5.6,4412,12:05,tayloti01
24,Anton Strålman,2015,2019,5,355,29,101,130,80,92,25,4,0,0,71,30,0,583,5.0,7767,21:53,stralan01
25,Anthony Cirelli,2018,2023,6,352,77,111,188,92,183,60,6,11,16,94,14,3,594,13.0,5951,16:54,cirelan01
26,Braydon Coburn,2015,2020,6,350,12,54,66,26,202,11,0,1,0,53,0,1,425,2.8,5655,16:09,coburbr01
27,Ryan Malone,2009,2014,6,342,92,109,201,-28,388,61,30,1,14,74,34,1,721,12.8,5655,16:32,malonry01
28,Cory Cross,1994,1999,6,336,12,46,58,-48,377,11,0,1,3,36,9,1,340,3.5,1516,22:38,crossco01
29,Nolan Pratt,2002,2007,5,334,3,29,32,8,232,3,0,0,0,27,0,2,167,1.8,5731,17:09,prattno01
30,Andrej Šustr,2013,2022,7,333,11,53,64,-4,147,11,0,0,2,50,1,2,309,3.6,5402,16:13,sustran01
31,Brian Bradley,1993,1998,6,328,111,189,300,-56,289,72,37,2,16,106,82,1,802,13.8,,,bradlbr01
32,Vladislav Namestnikov,2014,2023,6,320,59,79,138,22,147,46,13,0,7,62,16,1,469,12.6,4537,14:11,namesvl01
33,Ruslan Fedotenko,2003,2007,4,313,74,70,144,0,170,62,12,0,16,59,10,1,548,13.5,4873,15:34,fedotru01
34,Yanni Gourde,2016,2021,6,310,80,107,187,48,219,60,15,5,20,85,19,3,524,15.3,4855,15:40,gourdya01
35,Teddy Purcell,2010,2014,5,310,67,136,203,2,58,49,18,0,10,82,54,0,645,10.4,4892,15:47,purcete01
36,Ryan Callahan,2014,2019,6,307,54,78,132,7,160,36,17,1,10,65,11,2,603,9.0,4755,15:29,callary01
37,Nate Thompson,2010,2014,5,305,36,39,75,-31,111,33,0,3,4,38,1,0,415,8.7,4334,14:13,thompna01
38,Alexander Selivanov,1995,1999,5,304,78,77,155,-48,271,53,25,0,15,52,25,0,822,9.5,677,15:44,selival01
39,Erik Černák,2019,2023,5,296,18,57,75,59,254,16,1,1,2,56,0,1,490,3.7,5697,19:15,cernaer01
40,Ben Clymer,2000,2004,5,295,29,47,76,-40,251,19,10,0,3,38,9,0,473,6.1,4424,15:00,clymebe01
41,Valtteri Filppula,2014,2017,4,292,52,119,171,-14,114,42,9,1,5,76,43,0,397,13.1,5478,18:46,filppva01
42,J.T. Brown,2012,2018,6,286,19,42,61,-1,180,18,0,1,2,37,2,3,425,4.5,3373,11:48,brownjt01
43,Pat Maroon,2020,2023,4,280,29,53,82,21,415,23,6,0,1,45,8,0,290,10.0,3264,11:39,maroopa01
44,Dave Andreychuk*,2002,2006,4,278,68,61,129,-46,201,28,38,2,14,23,36,2,577,11.8,4498,16:11,andreda01
45,Paul Ranger,2006,2010,5,270,18,74,92,-10,218,17,0,1,3,54,16,4,348,5.2,5771,21:23,rangepa01
46,Ryan McDonagh,2018,2022,5,267,20,79,99,74,83,20,0,0,1,70,4,5,370,5.4,5833,21:51,mcdonry01
47,Matt Carle,2009,2016,5,265,14,68,82,29,90,10,4,0,1,59,9,0,321,4.4,5505,20:47,carlema01
48,John Tucker,1993,1996,4,253,49,82,131,-21,129,38,9,2,8,57,24,1,439,11.2,,,tuckejo01
49,Eric Brewer,2011,2015,5,246,10,46,56,18,180,9,1,0,3,39,3,4,260,3.8,5022,20:25,breweer01
50,Adam Hall,2009,2013,4,233,14,25,39,-29,101,13,1,0,2,24,1,0,336,4.2,2928,12:34,hallad01
51,Jason Wiemer,1995,1998,4,232,27,27,54,-33,391,19,8,0,1,23,3,1,308,8.8,,,wiemeja01
52,Mike Lundin,2008,2011,4,224,4,29,33,-8,50,4,0,0,0,27,1,1,138,2.9,4017,17:56,lundimi01
53,Mathieu Joseph,2019,2022,4,221,37,33,70,10,75,34,1,2,5,28,1,4,256,14.5,2628,11:54,josepma01
54,André Roy,2002,2008,5,218,17,14,31,-14,484,17,0,0,2,14,0,0,167,10.2,1585,7:16,royan01
55,Paul Ysebaert,1995,1999,5,215,42,66,108,-67,66,32,8,2,1,41,23,2,451,9.3,98,9:47,ysebapa01
56,Steve Downie,2009,2012,4,214,47,65,112,9,554,36,11,0,4,56,9,0,323,14.6,3051,14:15,downist01
57,Rudy Poeschek,1994,1997,4,213,5,16,21,-2,418,5,0,0,1,16,0,0,126,4.0,,,poescru01
58,Brian Boyle,2015,2017,3,212,41,25,66,1,159,31,5,5,11,21,4,0,366,11.2,2786,13:09,boylebr01
