--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Kevin Lowe*,1980,1998,15,1037,74,309,383,240,1236,53,16,5,11,252,37,20,1097,6.7,,,loweke01
2,Ryan Smyth,1995,2014,15,971,296,335,631,-42,773,163,126,7,45,244,85,6,2558,11.6,14293,18:29,smythry01
3,Mark Messier*,1980,1991,12,851,392,642,1034,174,1124,267,89,36,43,403,194,45,2196,17.9,,,messima01
4,Glenn Anderson*,1981,1996,12,845,417,489,906,202,798,278,126,13,72,356,126,7,2522,16.5,,,andergl01
5,Ryan Nugent-Hopkins,2012,2023,12,801,233,399,632,-33,274,160,66,7,28,211,179,9,1908,12.2,15567,19:26,nugenry01
6,Shawn Horcoff,2001,2013,12,796,162,285,447,-38,511,116,41,5,25,184,93,8,1300,12.5,14212,17:51,horcosh01
7,Kelly Buchberger,1988,1999,12,795,82,158,240,-99,1747,65,5,12,24,138,4,16,816,10.0,614,11:49,buchbke01
8,Jari Kurri*,1981,1990,10,754,474,569,1043,373,348,336,107,31,60,388,146,35,2162,21.9,,,kurrija01
9,Craig MacTavish,1986,1994,9,701,155,176,331,7,680,116,10,29,25,141,15,20,976,15.9,,,mactacr01
10,Wayne Gretzky*,1980,1988,9,696,583,1086,1669,553,323,403,125,55,61,719,314,53,2792,20.9,,,gretzwa01
11,Charlie Huddy,1981,1991,11,694,81,287,368,245,500,54,25,2,6,189,88,10,1340,6.0,,,huddych01
12,Todd Marchant,1994,2003,10,678,136,207,343,28,490,99,17,20,18,153,36,18,1453,9.4,6976,17:42,marchto01
13,Dave Hunter,1980,1989,10,653,119,171,290,107,780,111,2,6,14,157,3,11,945,12.6,,,hunteda01
14,Ethan Moreau,1999,2010,11,653,112,100,212,-12,782,89,6,17,23,83,8,9,1190,9.4,9488,14:32,moreaet01
15,Aleš Hemský,2003,2014,11,652,142,335,477,-44,303,100,40,2,17,182,152,1,1276,11.1,10867,16:40,hemskal01
16,Leon Draisaitl,2015,2023,9,638,306,438,744,29,230,172,125,9,54,304,132,2,1690,18.1,13052,20:27,draisle01
17,Doug Weight,1993,2001,9,588,157,420,577,-48,527,116,39,2,17,212,207,1,1405,11.2,4254,21:03,weighdo01
18,Lee Fogolin,1980,1987,8,586,36,124,160,153,886,31,0,5,2,111,1,12,580,6.2,,,fogolle02
19,Steve Staios,2002,2010,8,573,35,111,146,7,743,28,4,3,3,87,20,4,787,4.4,11999,20:56,staiost01
20,Connor McDavid,2016,2023,8,569,303,547,850,114,219,225,71,7,64,320,218,9,1948,15.6,12372,21:45,mcdavco01
21,Darnell Nurse,2015,2023,9,559,66,169,235,64,470,60,2,4,10,138,27,4,1327,5.0,12762,22:50,nurseda01
22,Sam Gagner,2008,2020,9,542,111,206,317,-89,264,79,31,1,8,145,58,3,1124,9.9,9088,16:46,gagnesa01
23,Jason Smith,1999,2007,8,542,31,82,113,50,643,27,1,3,5,76,2,4,653,4.7,11435,21:06,smithja01
24,Paul Coffey*,1981,1987,7,532,209,460,669,275,693,125,69,15,18,278,158,24,1624,12.9,,,coffepa01
25,Esa Tikkanen,1986,1993,8,522,178,258,436,101,759,121,36,21,30,167,83,8,1179,15.1,,,tikkaes01
26,Jordan Eberle,2011,2017,7,507,165,217,382,-48,120,121,41,3,22,152,65,0,1235,13.4,9218,18:11,eberljo01
27,Craig Muni,1987,1993,7,493,24,87,111,153,492,21,0,3,3,74,3,10,343,7.0,,,municr01
28,Georges Laraque,1998,2006,8,490,43,68,111,9,826,40,3,0,5,64,4,0,395,10.9,4068,8:30,laraqge01
29,Ladislav Šmíd,2007,2014,8,474,11,54,65,-45,391,11,0,0,0,48,4,2,298,3.7,9009,19:00,smidla01
30,Dave Semenko,1980,1987,8,454,59,77,136,20,981,50,9,0,8,70,7,0,347,17.0,,,semenda01
31,Randy Gregg,1983,1990,8,453,40,148,188,173,309,34,3,3,7,101,32,15,462,8.7,,,greggra01
32,Mike Grier,1997,2002,6,448,81,102,183,30,292,61,10,10,11,92,4,6,673,12.0,4802,15:51,griermi01
33,Luke Richardson,1992,1997,6,436,13,65,78,-64,630,9,1,3,1,50,8,7,434,3.0,,,richalu01
