--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Jonathan Huberdeau,2013,2022,10,671,198,415,613,41,341,150,44,4,26,267,146,2,1575,12.6,12134,18:05,huberjo01
2,Aleksander Barkov,2014,2023,10,664,243,388,631,90,124,161,70,12,44,267,116,5,1755,13.8,13380,20:09,barkoal01
3,Stephen Weiss,2002,2013,11,654,145,249,394,-17,313,93,48,4,23,151,95,3,1240,11.7,11763,17:59,weissst01
4,Aaron Ekblad,2015,2023,9,625,111,218,329,58,402,69,40,2,23,147,67,4,1590,7.0,14372,23:00,ekblaaa01
5,Radek Dvořák,1996,2011,9,613,113,155,268,8,216,92,5,16,14,137,14,4,1137,9.9,6416,16:17,dvorara01
6,Róbert Švehla,1995,2002,8,573,61,229,290,-18,603,35,26,0,4,116,106,7,995,6.1,8195,25:08,svehlro01
7,Olli Jokinen,2001,2008,7,567,188,231,419,-58,597,115,65,8,36,141,88,2,1837,10.2,11123,19:37,jokinol01
8,Scott Mellanby,1994,2001,8,552,157,197,354,-13,953,90,66,1,22,143,54,0,1296,12.1,2831,15:23,mellasc01
9,Paul Laus,1994,2002,9,530,14,58,72,31,1702,13,0,1,1,52,4,2,360,3.9,2420,10:54,lauspa01
10,Rob Niedermayer,1994,2001,8,518,101,165,266,-58,435,66,33,2,19,109,54,2,872,11.6,4663,20:17,niedero01
11,Bill Lindsay,1994,2002,7,506,67,98,165,-1,609,59,0,8,13,90,1,7,787,8.5,1631,11:49,lindsbi01
12,Jay Bouwmeester,2003,2009,6,471,53,150,203,-27,329,35,18,0,5,86,62,2,922,5.7,11757,24:58,bouwmja01
13,Dmitry Kulikov,2010,2016,7,460,28,110,138,-38,300,18,9,1,5,70,39,1,635,4.4,9506,20:40,kulikdm01
14,Nathan Horton,2004,2010,6,422,142,153,295,27,382,100,37,5,16,116,37,0,962,14.8,7504,17:47,hortona01
15,Vincent Trocheck,2014,2020,7,420,111,171,282,-21,258,80,24,7,13,121,48,2,1105,10.0,7897,18:48,trochvi01
16,Viktor Kozlov,1998,2004,7,414,101,190,291,4,118,60,36,5,8,124,63,3,1177,8.6,7335,19:56,kozlovi01
17,Gord Murphy,1994,1999,6,410,42,100,142,-16,238,19,23,0,2,51,43,6,707,5.9,1017,19:57,murphgo01
18,Nick Bjugstad,2013,2019,7,394,87,104,191,-49,176,70,16,1,13,76,27,1,961,9.1,6047,15:21,bjugsni01
19,Brian Campbell,2012,2016,5,376,28,147,175,-2,86,17,10,1,5,75,70,2,534,5.2,9414,25:02,campbbr02
20,Keith Yandle,2017,2021,5,371,30,201,231,-24,182,17,13,0,4,97,101,3,798,3.8,7980,21:31,yandlke01
21,Gregory Campbell,2004,2010,6,363,29,56,85,-39,312,25,1,3,3,53,1,2,494,5.9,4630,12:45,campbgr01
22,Ed Jovanovski,1996,2014,7,362,33,69,102,-41,619,23,9,1,7,45,22,2,514,6.4,2720,18:08,jovaned01
23,Tom Fitzgerald,1994,1998,5,353,54,67,121,-6,281,41,1,12,5,61,4,2,603,9.0,,,fitzgto01
24,Rostislav Olesz,2006,2011,6,349,57,75,132,-9,112,45,11,1,11,64,10,1,726,7.9,5295,15:10,oleszro01
25,Peter Worrell,1998,2003,6,342,16,26,42,-50,1375,14,2,0,4,23,3,0,313,5.1,2738,8:29,worrepe01
26,Marcus Nilson,1999,2004,6,327,48,78,126,-20,193,31,14,3,6,54,22,2,598,8.0,5082,15:32,nilsoma01
27,Shawn Matthias,2008,2014,7,312,48,49,97,-18,109,43,4,1,4,45,4,0,500,9.6,3939,12:37,matthsh01
28,David Booth,2007,2012,6,309,87,80,167,-17,127,67,20,0,16,65,14,1,949,9.2,5021,16:15,boothda01
29,Erik Gudbranson,2012,2016,5,309,11,32,43,-49,346,11,0,0,0,25,7,0,400,2.8,5492,17:46,gudbrer01
30,MacKenzie Weegar,2017,2022,6,306,27,94,121,77,259,25,1,1,6,85,6,3,521,5.2,5982,19:33,weegama01
31,Derek MacKenzie,2015,2019,5,304,20,34,54,-26,162,16,1,3,4,27,0,7,328,6.1,3744,12:19,mackede01
32,Mike Matheson,2016,2020,5,299,33,58,91,-30,157,31,2,0,5,43,11,4,583,5.7,6224,20:49,mathemi01
33,Mark Pysyk,2017,2020,4,292,17,45,62,-5,76,17,0,0,1,44,0,1,320,5.3,5079,17:24,pysykma01
34,Bryan Allen,2007,2011,5,284,14,53,67,1,341,13,0,1,3,46,4,3,299,4.7,5815,20:29,allenbr01
35,Colton Sceviour,2017,2020,4,284,31,48,79,-10,70,26,1,4,3,42,3,3,543,5.7,3831,13:29,scevico01
36,Jody Hull,1994,1998,5,281,56,44,100,12,49,51,2,3,14,35,4,5,398,14.1,,,hulljo01
37,Evgenii Dadonov,2010,2020,6,280,91,111,202,-8,42,65,26,0,12,89,22,0,635,14.3,4787,17:06,dadonev01
38,Terry Carkner,1996,1999,4,279,6,40,46,12,293,5,1,0,1,36,3,1,139,4.3,1130,18:14,carknte01
39,Ray Whitney,1998,2001,4,273,97,130,227,7,109,68,29,0,11,74,56,0,664,14.6,3759,18:20,whitnra01
40,Dave Lowry,1994,1998,5,272,50,60,110,-8,178,43,7,0,9,41,19,0,375,13.3,,,lowryda01
41,Frank Vatrano,2018,2022,5,271,73,53,126,-6,122,64,7,2,14,44,9,0,663,11.0,3842,14:11,vatrafr01
42,Johan Garpenlöv,1995,1999,5,265,47,74,121,-11,133,37,9,1,8,49,24,1,355,13.2,847,13:14,garpejo01
43,Niklas Hagman,2002,2006,4,263,30,50,80,-27,52,26,2,2,4,47,3,0,440,6.8,3689,14:02,hagmani01
44,Tomáš Fleischmann,2012,2015,4,262,54,91,145,-23,72,43,10,1,8,57,33,1,633,8.5,4607,17:35,fleisto01
45,Mike Hough,1994,1997,4,259,27,52,79,20,185,25,0,2,6,49,1,2,315,8.6,,,houghmi01
46,Kristian Huselius,2002,2006,4,257,58,69,127,-27,62,44,13,1,8,41,26,2,581,10.0,4124,16:03,huselkr01
47,Mike Van Ryn,2004,2008,4,257,25,80,105,-8,220,14,10,1,2,45,34,1,427,5.9,5744,22:21,vanrymi01
48,Brian Skrudland,1994,1997,4,256,32,67,99,23,401,28,1,3,4,64,1,2,301,10.6,,,skrudbr01
49,Alexander Petrovic,2013,2019,7,254,5,44,49,-3,358,5,0,0,1,43,0,1,246,2.0,4177,16:27,petroal01
50,Mike Weaver,2011,2014,4,246,3,41,44,-13,79,3,0,0,1,39,1,1,169,1.8,4950,20:07,weavemi01
51,Tomáš Kopecký,2012,2015,4,240,31,48,79,-35,106,23,6,2,3,37,11,0,436,7.1,3817,15:54,kopecto01
52,Kamil Kreps,2007,2010,4,232,18,42,60,4,71,15,2,1,4,38,3,1,279,6.5,3032,13:04,krepska01
53,Jussi Jokinen,2015,2017,3,231,37,95,132,8,115,24,11,2,3,74,20,1,405,9.1,4039,17:29,jokinju01
54,Pavel Bure*,1999,2002,4,223,152,99,251,12,134,99,44,9,23,68,30,1,1026,14.8,5662,25:24,burepa01
55,Ivan Novoseltsev,2000,2004,5,217,29,44,73,-40,106,24,4,1,5,34,9,1,291,10.0,2971,13:42,novosiv01
56,Rhett Warrener,1996,1999,4,217,4,23,27,7,297,3,1,0,1,18,5,0,176,2.3,913,19:01,warrerh01
57,Michael Frolík,2009,2011,3,213,50,67,117,8,81,43,7,0,4,46,21,0,535,9.3,3437,16:08,frolimi01
58,Ville Peltonen,2007,2009,3,207,34,54,88,11,79,29,5,0,1,48,5,1,374,9.1,3273,15:49,peltovi01
59,Juraj Kolník,2003,2007,4,204,40,46,86,-3,72,33,6,1,5,39,6,1,372,10.8,2833,13:53,kolniju01
60,Eetu Luostarinen,2021,2023,3,204,29,48,77,9,52,25,2,2,6,42,4,2,250,11.6,2937,14:24,luostee01
61,Radko Gudas,2021,2023,3,203,7,37,44,47,224,6,0,1,1,37,0,0,294,2.4,3586,17:40,gudasra01
62,Bret Hedican,1999,2002,4,202,17,48,65,-9,169,11,6,0,3,39,6,3,246,6.9,4334,21:27,hedicbr01
63,Carter Verhaeghe,2021,2023,3,202,84,80,164,58,125,75,8,1,9,70,10,0,549,15.3,3432,17:00,verhaca01
64,Bryan McCabe,2009,2011,3,199,28,76,104,-2,152,15,13,0,4,44,32,0,410,6.8,4518,22:42,mccabbr01
65,Jozef Stümpel,2006,2008,3,199,45,84,129,2,58,27,15,3,6,52,32,0,310,14.5,3614,18:10,stumpjo01
66,Gustav Forsling,2021,2023,3,196,28,67,95,77,66,26,2,0,4,58,7,2,448,6.3,4286,21:52,forslgu02
67,Steve Montador,2006,2008,3,196,10,28,38,6,260,8,2,0,0,22,6,0,226,4.4,2514,12:50,montast01
68,Scottie Upshall,2012,2015,4,192,29,33,62,-18,155,25,3,1,7,27,6,0,361,8.0,2704,14:05,upshasc01
69,Stu Barnes,1994,1997,4,191,49,72,121,-3,94,32,16,1,10,42,29,1,443,11.1,,,barnest01
70,Jason Garrison,2009,2012,4,190,23,36,59,9,81,14,9,0,6,28,7,1,308,7.5,4054,21:20,garrija01
71,Ray Sheppard,1996,2000,4,190,61,60,121,-13,33,36,25,0,12,40,20,0,488,12.5,640,13:38,sheppra01
72,Denis Malgin,2017,2020,4,184,28,32,60,-17,40,24,4,0,4,25,6,1,259,10.8,2324,12:38,malgide01
73,Jaromír Jágr,2015,2017,3,181,49,81,130,32,110,34,15,0,8,68,13,0,374,13.1,3088,17:04,jagrja01
74,Jesse Bélanger,1994,1996,3,180,49,68,117,-14,44,25,24,0,7,35,33,0,333,14.7,,,belanje01
75,Branislav Mezei,2003,2008,5,174,4,13,17,-11,246,4,0,0,1,13,0,0,111,3.6,2851,16:23,mezeibr01
76,Brandon Montour,2021,2023,3,173,29,85,114,32,171,25,4,0,6,48,37,0,417,7.0,3624,20:57,montobr01
77,Ryan Lomberg,2021,2023,3,171,23,19,42,1,247,23,0,0,2,18,0,1,272,8.5,1885,11:01,lombery01
