--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Sidney Crosby,2006,2023,18,1190,550,952,1502,210,783,384,162,4,87,570,375,7,3794,14.5,24669,20:44,crosbsi01
2,Evgeni Malkin,2007,2023,17,1063,471,758,1229,47,1090,294,173,4,81,456,301,1,3486,13.5,20991,19:45,malkiev01
3,Kris Letang,2007,2023,17,1005,156,535,691,87,691,99,52,5,32,310,216,9,2618,6.0,24328,24:12,letankr01
4,Mario Lemieux*,1985,2006,17,915,690,1033,1723,114,834,405,236,49,74,546,465,22,3633,19.0,3855,22:40,lemiema01
5,Jaromír Jágr,1991,2001,11,806,439,640,1079,207,593,320,110,9,78,423,213,4,2911,15.1,5444,24:12,jagrja01
6,Jean Pronovost,1969,1978,10,753,316,287,603,33,306,233,69,14,42,195,85,7,2311,13.7,,,pronoje01
7,Rick Kehoe,1975,1985,11,722,312,324,636,-82,88,216,95,1,26,203,120,1,2160,14.4,,,kehoeri01
8,Brooks Orpik,2003,2014,11,703,13,119,132,32,734,12,1,0,0,104,6,9,481,2.7,13844,19:42,orpikbr01
9,Ron Stackhouse,1974,1982,9,621,66,277,343,53,547,43,20,3,7,183,90,4,1341,4.9,,,stackro01
10,Ron Schock,1970,1977,8,619,124,280,404,-31,201,91,19,14,17,225,43,12,1226,10.1,,,schocro01
11,Dave Burrows,1972,1981,8,573,24,108,132,-55,301,19,4,1,5,91,13,4,823,2.9,,,burroda01
12,Bob Errey,1984,1993,10,572,132,140,272,26,651,119,4,9,14,126,5,9,898,14.7,,,erreybo01
13,Chris Kunitz,2009,2017,9,569,169,219,388,126,389,115,51,3,28,162,56,1,1318,12.8,9986,17:33,kunitch01
14,Martin Straka,1993,2004,10,560,165,277,442,49,215,126,30,9,26,185,86,6,1022,16.1,7420,22:37,strakma01
