--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,David Legwand,1999,2014,15,956,210,356,566,19,474,165,35,10,41,249,102,5,1925,10.9,16871,17:39,legwada01
2,Roman Josi,2012,2023,12,827,158,443,601,73,336,103,54,1,29,278,157,8,2422,6.5,20579,24:53,josiro01
3,Shea Weber,2006,2016,11,763,166,277,443,48,568,81,80,5,24,167,107,3,2052,8.1,18332,24:02,webersh01
4,Martin Erat,2002,2013,11,723,163,318,481,5,426,119,42,2,26,209,106,3,1317,12.4,12228,16:55,eratma01
5,Mattias Ekholm,2012,2023,12,719,62,206,268,104,347,50,9,3,14,163,35,8,1168,5.3,15676,21:48,ekholma01
6,Craig Smith,2012,2020,9,661,162,168,330,67,264,120,42,0,22,134,34,0,1694,9.6,9832,14:52,smithcr01
7,Filip Forsberg,2013,2023,11,616,239,272,511,26,258,171,62,6,43,180,91,1,1858,12.9,11019,17:53,forsbfi01
8,Dan Hamhuis,2004,2020,8,600,32,142,174,7,438,22,8,2,8,105,31,6,794,4.0,12483,20:48,hamhuda01
9,Kimmo Timonen,1999,2007,8,573,79,222,301,-6,348,32,46,1,10,82,136,4,1078,7.3,12887,22:29,timonki01
10,Ryan Ellis,2012,2021,10,562,75,195,270,114,189,52,20,3,16,151,39,5,1063,7.1,11717,20:51,ellisry01
11,Ryan Suter,2006,2012,7,542,38,200,238,43,396,26,11,1,7,108,88,4,826,4.6,12262,22:37,suterry01
12,Colton Sissons,2014,2023,9,537,73,92,165,36,181,66,3,4,11,75,12,5,595,12.3,7838,14:36,sissoco01
13,Ryan Johansen,2016,2023,8,533,110,252,362,11,368,77,30,3,23,164,85,3,888,12.4,9469,17:46,johanry01
14,Calle Järnkrok,2014,2021,8,508,94,117,211,59,113,75,11,8,13,93,21,3,805,11.7,7843,15:26,jarnkca01
15,Greg Johnson,1999,2006,7,502,93,145,238,-52,213,73,9,11,14,113,26,6,726,12.8,9192,18:19,johnsgr02
16,Colin Wilson,2010,2017,8,502,95,142,237,37,124,73,22,0,19,117,25,0,804,11.8,7585,15:07,wilsoco01
17,Scott Hartnell,2001,2018,7,498,106,129,235,13,626,72,32,2,21,98,28,3,1072,9.9,7359,14:47,hartnsc01
18,Jerred Smithson,2006,2012,7,497,36,50,86,-30,313,30,1,5,6,44,1,5,384,9.4,6416,12:55,smithje01
19,Jordin Tootoo,2004,2012,8,486,46,79,125,-26,725,43,3,0,5,76,3,0,788,5.8,5156,10:37,tootojo01
20,Mike Fisher,2011,2018,8,429,111,130,241,6,261,82,28,1,19,88,40,2,805,13.8,7787,18:09,fishemi01
21,Scott Walker,1999,2006,7,410,96,151,247,-23,465,61,27,8,11,102,44,5,737,13.0,7469,18:13,walkesc01
22,Kevin Klein,2006,2014,9,403,16,66,82,-27,110,15,1,0,2,62,1,3,417,3.8,7520,18:40,kleinke01
23,J.P. Dumont,2007,2011,5,388,93,174,267,30,118,71,21,1,20,121,53,0,712,13.1,6118,15:46,dumonjp01
24,Viktor Arvidsson,2015,2021,7,385,127,112,239,45,172,100,17,10,25,93,16,3,1114,11.4,6377,16:34,arvidvi01
25,Patric Hörnqvist,2009,2014,6,363,106,110,216,35,173,71,35,0,23,84,26,0,1159,9.1,5652,15:34,hornqpa01
26,Vitali Yachmenev,1999,2003,5,338,54,76,130,-19,58,43,6,5,10,67,9,0,497,10.9,5620,16:38,yachmvi01
27,Vernon Fiddler,2003,2017,7,325,46,48,94,-16,227,36,6,4,7,43,4,1,386,11.9,4256,13:06,fiddlve01
28,Steve Sullivan,2004,2011,6,317,100,163,263,34,175,56,37,7,16,96,66,1,706,14.2,5838,18:25,sullist01
29,Tom Fitzgerald,1999,2002,4,307,42,46,88,-45,218,36,0,6,4,38,2,6,535,7.9,4652,15:09,fitzgto01
30,Kārlis Skrastiņš,1999,2003,5,307,13,41,54,-49,130,11,1,1,4,34,4,3,287,4.5,6171,20:06,skraska01
31,Marek Židlický,2004,2008,4,307,35,140,175,-5,299,10,25,0,6,66,74,0,492,7.1,6190,20:10,zidlima01
32,Austin Watson,2013,2020,6,306,36,41,77,12,358,31,1,4,5,37,0,4,359,10.0,3693,12:04,watsoau01
33,Bill Houlder,2000,2003,4,302,8,36,44,-16,150,6,1,1,3,29,2,5,241,3.3,6341,21:00,houldbi01
34,Cliff Ronning,1999,2002,4,301,81,145,226,-15,126,56,25,0,9,74,71,0,888,9.1,5420,18:00,ronnicl01
35,Nick Spaling,2010,2014,5,297,40,44,84,-22,70,34,5,1,8,38,4,2,350,11.4,4433,14:56,spalini01
36,Mark Eaton,2001,2006,5,286,15,30,45,10,130,14,1,0,2,20,6,4,246,6.1,5302,18:32,eatonma01
37,Jason Arnott,2007,2010,4,275,107,122,229,36,177,67,40,0,17,85,37,0,850,12.6,5130,18:39,arnotja01
38,Denis Arkhipov,2001,2004,4,273,46,65,111,-38,74,33,13,0,10,44,21,0,399,11.5,3889,14:15,arkhide01
39,Mikael Granlund,2019,2023,5,268,51,111,162,-36,91,37,13,1,9,69,42,0,433,11.8,5098,19:01,granlmi01
40,Dante Fabbro,2019,2023,5,253,13,46,59,0,135,11,2,0,1,44,2,0,345,3.8,4677,18:29,fabbrda01
41,Matt Duchene,2020,2023,4,249,84,113,197,-6,100,57,27,0,10,84,29,0,605,13.9,4436,17:49,duchema01
42,Paul Gaustad,2012,2016,5,248,18,32,50,-4,193,17,0,1,1,31,0,1,222,8.1,3191,12:52,gaustpa01
43,Patric Kjellberg,1999,2002,4,246,49,77,126,-29,56,33,16,0,7,53,24,0,390,12.6,4380,17:48,kjellpa01
44,Gabriel Bourque,2012,2016,5,242,31,47,78,-14,46,27,3,1,4,46,1,0,318,9.7,3213,13:17,bourqga01
45,Vladimír Országh,2002,2004,3,239,47,58,105,-20,168,35,10,2,9,41,15,2,389,12.1,4034,16:53,orszavl01
46,Adam Hall,2002,2006,4,234,43,42,85,-16,108,19,24,0,8,26,12,4,421,10.2,3672,15:42,hallad01
47,Joel Ward,2009,2011,3,230,40,58,98,-5,89,26,11,3,7,54,2,2,424,9.4,3877,16:51,wardjo02
48,Greg Zanon,2006,2009,4,230,7,19,26,19,100,7,0,0,1,17,0,2,138,5.1,4363,18:58,zanongr01
49,Cale Hulse,2001,2003,3,225,3,15,18,-34,370,3,0,0,2,15,0,0,245,1.2,4362,19:23,hulseca01
50,Yakov Trenin,2020,2023,4,223,36,29,65,5,124,34,0,2,4,27,2,0,363,9.9,3064,13:45,treniya01
51,Yannick Weber,2017,2020,4,223,6,18,24,9,73,6,0,0,2,18,0,0,224,2.7,2750,12:20,weberya01
52,Drake Berehowsky,1999,2001,3,219,20,53,73,-22,327,12,8,0,2,29,23,1,275,7.3,4824,22:02,berehdr01
53,Nick Bonino,2018,2020,3,219,47,48,95,48,54,43,4,0,4,47,0,1,305,15.4,3538,16:09,boninni01
54,James Neal,2015,2017,3,219,77,59,136,29,157,65,12,0,14,40,19,0,691,11.1,4014,18:20,nealja01
55,P.K. Subban,2017,2019,3,211,35,95,130,15,186,24,10,1,5,52,41,2,517,6.8,5016,23:46,subbapk01
56,Scott Nichol,2006,2009,4,209,24,23,47,22,271,19,1,4,3,18,2,3,233,10.3,2542,12:10,nichosc01
57,Mike Ribeiro,2015,2017,3,209,26,111,137,17,128,21,5,0,3,82,29,0,210,12.4,3685,17:38,ribeimi01
58,Kevin Fiala,2015,2019,5,204,45,52,97,9,70,40,5,0,6,37,15,0,446,10.1,2982,14:37,fialake01
59,Seth Jones,2014,2016,3,199,15,48,63,-25,54,10,4,1,2,28,20,0,297,5.1,3927,19:44,jonesse01
60,Sergei Kostitsyn,2011,2013,3,198,43,65,108,13,65,35,6,2,5,46,19,0,232,18.5,3174,16:02,kostise01
61,Francis Bouillon,2003,2012,4,195,8,24,32,-3,112,7,1,0,3,18,5,1,171,4.7,3663,18:47,bouilfr01
62,Matt Irwin,2017,2020,4,195,6,25,31,14,83,6,0,0,1,23,0,2,250,2.4,2691,13:48,irwinma01
63,Eric Nystrom,2014,2016,3,185,29,11,40,-31,95,26,0,3,3,11,0,0,207,14.0,2494,13:29,nystrer01
64,Kyle Turris,2018,2020,3,182,29,67,96,7,79,18,11,0,5,45,22,0,285,10.2,2865,15:45,turriky01
65,Darcy Hordichuk,2006,2008,3,172,9,11,20,6,313,9,0,0,2,10,1,0,92,9.8,941,5:28,hordida01
66,Miikka Salomäki,2015,2020,6,167,12,15,27,-2,76,12,0,0,2,14,0,1,172,7.0,1848,11:04,salommi01
67,Rocco Grimaldi,2019,2022,4,166,25,32,57,5,26,24,0,1,3,32,0,0,273,9.2,1954,11:46,grimaro01
68,Cody Franson,2010,2015,3,164,15,39,54,25,48,11,4,0,5,29,10,0,281,5.3,2435,14:51,fransco01
69,Paul Kariya*,2006,2007,2,164,55,106,161,0,76,36,19,0,5,54,52,0,469,11.7,3236,19:44,kariypa01
70,Rob Valicevic,1999,2001,3,159,26,19,45,-9,49,22,3,1,9,16,1,2,198,13.1,2216,13:56,valicro01
71,Greg de Vries,1999,2009,3,154,5,15,20,-12,140,5,0,0,1,15,0,0,105,4.8,2636,17:07,devrigr01
72,Alexander Radulov,2007,2012,3,154,47,55,102,29,74,38,9,0,6,46,9,0,300,15.7,2247,14:35,radulal01
73,Tanner Jeannot,2021,2023,3,152,34,28,62,7,217,30,2,2,6,26,1,1,234,14.5,2322,15:17,jeannta01
74,Sébastien Bordeleau,1999,2001,3,146,28,40,68,-30,70,23,1,4,4,36,3,1,315,8.9,2115,14:29,bordese01
75,Radek Bonk,2008,2009,2,145,23,31,54,-43,74,11,12,0,3,22,8,1,240,9.6,2278,15:43,bonkra01
76,Alexandre Carrier,2017,2023,5,144,6,36,42,32,87,5,1,0,1,32,3,1,179,3.4,2819,19:34,carrial01
77,Andy Delmore,2002,2003,2,144,34,38,72,-30,50,9,25,0,9,19,18,1,324,10.5,2648,18:24,delmoan01
78,Bob Boughner,1999,2000,2,141,5,14,19,-19,234,5,0,0,1,13,0,1,91,5.5,2537,18:00,boughbo01
79,Jason York,2003,2004,2,141,6,28,34,9,116,4,2,0,1,13,11,4,187,3.2,2902,20:35,yorkja01
80,Matt Cullen,2014,2015,2,139,17,47,64,12,48,16,1,0,3,35,12,0,224,7.6,2000,14:23,cullema01
81,Matt Halischuk,2011,2013,3,136,24,27,51,15,39,24,0,0,4,27,0,0,176,13.6,1526,11:13,halisma01
82,Eeli Tolvanen,2018,2023,5,135,25,26,51,-17,24,18,7,0,6,14,12,0,240,10.4,1855,13:45,tolvaee01
83,Sergei Krivokrasov,1999,2000,2,133,34,40,74,-12,82,21,13,0,8,24,16,0,340,10.0,1957,14:43,krivose01
84,Randy Robitaille,2000,2001,2,131,20,31,51,-24,22,13,7,0,1,16,15,0,234,8.5,1767,13:29,robitra01
85,Marcel Goc,2010,2011,2,124,21,33,54,20,20,20,0,1,3,33,0,0,229,9.2,1890,15:15,gocma01
86,Nick Cousins,2021,2022,2,120,14,26,40,-4,72,11,3,0,2,21,5,0,163,8.6,1543,12:51,cousini01
87,Luke Kunin,2021,2022,2,120,23,18,41,-8,112,23,0,0,2,16,2,0,196,11.7,1666,13:53,kuninlu01
88,Matt Benning,2021,2022,2,118,1,14,15,-25,69,1,0,0,0,13,0,1,104,1.0,1927,16:20,bennima01
89,Joël Bouchard,1999,2000,2,116,5,15,20,-21,83,5,0,0,0,12,2,1,138,3.6,2416,20:50,bouchjo01
90,Ville Peltonen,1999,2001,3,116,14,28,42,-7,26,11,3,0,2,23,5,0,194,7.2,1650,14:14,peltovi01
91,Anthony Bitetto,2015,2019,5,114,2,17,19,-2,86,2,0,0,1,17,0,0,78,2.6,1387,12:10,bitetan01
92,Victor Bartley,2013,2016,4,112,1,22,23,2,55,1,0,0,0,22,0,0,68,1.5,1748,15:36,bartlvi01
93,Philip Tomasino,2022,2023,2,107,16,34,50,7,16,9,7,0,3,26,8,0,165,9.7,1360,12:43,tomasph01
94,Rich Clune,2013,2015,3,106,7,9,16,-4,279,7,0,0,2,9,0,0,75,9.3,938,8:51,cluneri01
95,Andreas Johansson,2003,2004,2,103,32,32,64,-6,48,18,13,1,1,14,17,1,232,13.8,1682,16:20,johanan01
96,Jeremy Stevenson,2001,2006,4,100,10,7,17,-3,225,7,3,0,0,7,0,0,104,9.6,866,8:40,steveje01
97,Viktor Stålberg,2014,2015,2,95,10,18,28,-14,50,10,0,0,2,18,0,0,141,7.1,1178,12:24,stalbvi01
98,Wade Belak,2009,2011,3,92,0,4,4,-2,130,0,0,0,0,4,0,0,27,0.0,439,4:46,belakwa01
99,Rem Murray,2003,2004,2,92,14,22,36,0,30,11,1,2,1,19,2,1,139,10.1,1563,17:00,murrare01
100,Jonathon Blum,2011,2013,3,91,7,15,22,-7,20,6,1,0,2,15,0,0,69,10.1,1501,16:30,blumjo02
101,Patrick Côté,1999,2000,2,91,1,2,3,-14,312,1,0,0,0,2,0,0,29,3.4,406,4:28,cotepa01
