--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Gordie Howe*,1947,1971,25,1687,786,1023,1809,151,1643,553,209,24,121,661,350,12,3709,9.9,,,howego01
2,Nicklas Lidström*,1992,2012,20,1564,264,878,1142,450,514,122,132,10,35,390,458,30,3875,6.8,27790,26:54,lidstni01
3,Alex Delvecchio*,1951,1974,24,1550,456,825,1281,24,383,330,111,15,75,544,265,16,3129,10.1,,,delveal01
4,Steve Yzerman*,1984,2006,22,1514,692,1063,1755,184,924,440,202,50,94,637,393,33,4602,15.0,7988,19:12,yzermst01
5,Kris Draper,1994,2011,17,1137,158,203,361,78,781,132,5,21,23,179,6,18,1691,9.3,12677,14:34,drapekr01
6,Henrik Zetterberg,2003,2018,15,1082,337,623,960,160,401,228,100,9,64,379,235,9,3455,9.8,21186,19:35,zettehe01
7,Tomas Holmström,1997,2012,15,1026,243,287,530,28,769,121,122,0,39,180,107,0,1489,16.3,12528,13:35,holmsto01
8,Marcel Pronovost*,1951,1965,15,983,80,217,297,16,713,66,9,5,11,179,31,7,614,4.1,,,pronoma01
9,Pavel Datsyuk,2002,2016,14,953,314,604,918,249,228,211,97,6,51,366,233,5,2244,14.0,17980,18:52,datsypa01
10,Niklas Kronwall,2004,2019,15,953,83,349,432,-5,564,49,34,0,14,196,146,7,1272,6.5,20681,21:42,kronwni01
11,Sergei Fedorov*,1991,2003,13,908,400,554,954,276,587,252,117,31,79,338,192,24,3148,12.7,7715,20:15,fedorse01
12,Kirk Maltby,1996,2010,14,908,107,115,222,47,683,85,4,18,21,105,3,7,1184,9.0,10272,13:19,maltbki01
13,Norm Ullman*,1956,1968,13,875,324,434,758,-48,552,249,69,6,49,308,114,12,2034,12.5,,,ullmano01
14,Ted Lindsay*,1945,1965,14,862,335,393,728,10,1423,246,80,9,52,284,108,1,105,13.3,,,lindste01
15,Nick Libett,1968,1979,12,861,217,250,467,-141,454,168,38,11,24,187,56,7,1941,11.2,,,libetni01
16,Red Kelly*,1948,1960,13,846,162,310,472,-9,253,101,49,12,27,200,100,10,131,4.6,,,kellyre01
17,Darren Helm,2008,2021,14,744,112,139,251,-13,238,93,6,13,15,125,6,8,1442,7.8,10859,14:36,helmda01
18,Justin Abdelkader,2008,2020,13,739,106,146,252,-56,608,80,25,1,15,121,23,2,1238,8.6,11010,14:54,abdelju01
19,Brendan Shanahan*,1997,2006,9,716,309,324,633,144,1037,186,115,8,63,189,126,9,2544,12.1,10166,18:05,shanabr01
20,Reed Larson,1977,1986,10,708,188,382,570,-139,1124,115,67,6,14,223,151,8,2409,7.8,,,larsore01
21,Gary Bergman,1965,1975,11,706,60,243,303,20,1103,43,13,4,9,186,48,9,1351,4.4,,,bergmga01
22,Jonathan Ericsson,2008,2020,13,680,27,98,125,-21,535,24,2,1,3,95,0,3,694,3.9,12670,18:38,ericsjo01
23,Bruce MacGregor,1961,1971,11,675,151,184,335,-34,171,121,22,8,24,160,23,1,1288,11.7,,,macgrbr01
24,Shawn Burr,1985,1995,11,659,148,214,362,109,765,113,21,14,21,178,15,21,1141,13.0,,,burrsh01
25,Darren McCarty,1994,2009,13,659,120,155,275,65,1302,90,28,2,21,123,31,1,1118,10.7,4797,13:22,mccarda02
26,Marty Pavelich,1948,1957,10,633,93,159,252,,454,82,7,4,20,137,18,4,,,,,pavelma01
27,Mathieu Dandenault,1996,2004,9,616,48,101,149,46,342,41,6,1,5,94,6,1,714,6.7,6964,15:31,dandema01
28,Daniel Cleary,2006,2015,10,609,124,151,275,9,299,93,28,3,23,125,21,5,1286,9.6,9355,15:22,clearda01
29,Vyacheslav Kozlov,1992,2001,10,607,202,213,415,134,376,154,45,3,35,141,69,3,1564,12.9,3442,15:26,kozlovy01
30,Johan Franzén,2006,2016,11,602,187,183,370,93,401,114,69,4,44,130,49,4,1607,11.6,10078,16:44,franzjo01
31,Valtteri Filppula,2006,2021,10,591,112,175,287,0,194,93,16,3,13,143,31,1,867,12.9,9616,16:16,filppva01
32,Dylan Larkin,2016,2023,8,584,179,258,437,-92,372,128,45,6,23,201,54,3,1731,10.3,11269,19:18,larkidy01
33,Chris Chelios*,1999,2009,10,578,21,131,152,158,613,16,3,2,4,106,15,10,738,2.8,12171,21:03,chelich01
34,Sid Abel*,1939,1952,12,570,183,280,463,,366,135,47,1,24,209,69,2,,,,,abelsi01
35,Gerard Gallant,1985,1993,9,563,207,260,467,64,1600,141,62,4,25,193,66,1,1267,16.3,,,gallage01
36,John Ogrodnick,1980,1993,9,558,265,281,546,-84,150,178,77,10,22,183,94,4,1811,14.6,,,ogrodjo01
37,Ebbie Goodfellow*,1930,1943,14,557,135,191,326,,511,51,15,1,21,86,39,2,,,,,goodfeb01
38,Luke Glendening,2014,2021,8,554,57,69,126,-47,194,51,2,4,10,65,1,3,655,8.7,7986,14:25,glendlu01
39,Martin Lapointe,1992,2001,10,552,108,122,230,21,888,72,33,3,19,93,28,1,935,11.6,3690,15:19,lapoima01
40,Danny DeKeyser,2013,2022,10,547,33,113,146,4,266,31,1,1,9,104,9,0,581,5.7,11362,20:46,dekeyda01
41,Igor Larionov*,1996,2003,8,539,89,308,397,102,302,53,32,4,22,180,122,6,579,15.4,5260,15:36,larioig01
42,Joe Kocur,1985,1999,10,535,66,66,132,-65,1963,60,6,0,12,55,11,0,576,11.5,263,6:44,kocurjo01
43,Warren Godfrey,1956,1968,12,528,23,77,100,12,527,21,2,0,1,70,5,2,353,3.4,,,godfrwa01
44,Syd Howe*,1935,1946,12,515,188,248,436,,134,159,24,5,20,210,38,0,,,,,howesy01
45,Drew Miller,2010,2017,8,504,56,51,107,-30,111,51,2,3,13,47,4,0,648,8.6,6454,12:48,milledr01
46,Jack Stewart*,1939,1950,10,502,30,78,108,,704,29,1,0,4,72,6,0,,,,,stewaja01
47,Paul Woods,1978,1984,7,501,72,124,196,-60,276,59,5,8,10,100,14,10,603,11.9,,,woodspa01
48,Larry Aurie,1928,1939,12,489,147,128,275,,283,68,12,3,26,68,24,2,,,,,auriela01
49,Herbie Lewis*,1929,1939,11,484,147,161,308,,248,64,13,2,27,84,27,0,,,,,lewishe01
50,Gustav Nyquist,2012,2019,8,481,125,170,295,3,124,92,33,0,19,128,42,0,1115,11.2,7960,16:33,nyquigu01
51,Bob Probert,1986,1994,9,474,114,145,259,-13,2090,74,40,0,13,109,36,0,679,16.8,,,probebo01
52,Steve Chiasson,1987,1994,8,471,67,200,267,40,886,39,25,3,8,106,84,10,1175,5.7,,,chiasst01
53,Jean Hamel,1974,1981,8,451,19,62,81,-92,574,18,1,0,0,51,6,5,458,4.1,,,hamelje01
54,Vladimir Konstantinov,1992,1997,6,446,47,128,175,185,838,38,5,4,8,107,17,4,656,7.2,,,konstvl01
55,Metro Prystai,1951,1958,8,433,91,123,214,,118,67,24,0,23,102,19,2,,,,,prystme01
56,Doug Brown,1995,2001,7,427,74,97,171,52,108,55,13,6,10,76,14,7,736,10.1,2434,12:45,browndo01
57,John Barrett,1981,1986,6,418,18,71,89,-123,547,18,0,0,2,70,1,0,465,3.9,,,barrejo01
58,Mud Bruneteau,1936,1946,11,410,141,139,280,,80,127,13,1,20,119,18,2,,,,,brunemu01
59,Jiří Hudler,2004,2012,7,409,87,127,214,36,160,69,18,0,12,74,53,0,636,13.7,5342,13:04,hudleji01
60,Tomáš Tatar,2011,2018,7,407,115,107,222,8,136,83,32,0,21,79,28,0,878,13.1,6286,15:27,tatarto01
61,Bob Goldham,1951,1956,6,406,11,92,103,,185,9,0,2,1,79,11,2,,,,,goldhbo01
62,Dennis Polonich,1975,1983,8,390,59,82,141,-77,1242,45,13,1,1,69,13,0,587,10.1,,,polonde01
63,Carl Liscombe,1938,1946,9,380,137,140,277,,117,121,15,1,20,117,21,2,,,,,liscoca01
64,Johnny Wilson,1950,1959,7,379,79,100,179,,108,55,24,0,11,70,29,1,,,,,wilsojo01
65,Val Fonteyne,1960,1967,7,378,29,53,82,-34,16,23,5,1,3,38,14,1,426,6.8,,,fonteva01
66,Willie Huber,1979,1983,5,372,68,140,208,-128,612,47,19,2,7,86,51,3,1068,6.4,,,huberwi01
67,Václav Nedomanský*,1978,1982,5,364,108,139,247,-85,86,72,36,0,9,73,66,0,786,13.7,,,nedomva01
68,Keith Primeau,1991,1996,6,363,97,133,230,61,781,73,18,6,17,98,29,6,536,18.1,,,primeke02
69,Parker MacDonald,1961,1967,7,361,94,122,216,-1,135,61,33,0,19,81,40,1,923,10.2,,,macdopa01
70,Rick Zombo,1985,1992,8,353,14,78,92,35,442,13,1,0,2,67,5,6,279,5.0,,,zombori01
71,Greg Smith,1982,1986,5,352,24,105,129,-46,467,22,2,0,2,86,14,5,416,5.8,,,smithgr01
72,Floyd Smith,1963,1968,6,347,93,122,215,-5,114,65,26,2,15,89,32,1,838,11.1,,,smithfl01
73,John Sorrell,1931,1938,8,347,96,87,183,,75,45,20,0,21,46,19,0,,,,,sorrejo01
74,Dale McCourt,1978,1982,5,341,134,203,337,-37,92,78,47,9,13,118,82,3,1011,13.3,,,mccouda01
75,Leo Reise,1947,1952,6,340,21,61,82,,254,17,3,1,3,54,7,0,,,,,reisele02
76,Doug Young,1932,1939,8,338,32,36,68,,279,16,1,0,7,22,4,2,,,21,,youngdo01
77,Pete Goegan,1958,1967,10,330,18,63,81,-32,329,16,2,0,1,41,22,0,354,4.8,,,goegape01
78,Vic Stasiuk,1951,1963,8,329,52,84,136,0,200,36,16,0,7,62,22,0,267,11.6,,,stasivi01
79,Brett Lebda,2006,2010,5,326,18,50,68,31,201,16,2,0,5,46,4,0,397,4.5,4801,14:44,lebdabr01
80,Bill Gadsby*,1962,1966,5,323,18,94,112,-11,478,17,0,1,1,75,17,2,492,3.7,,,gadsbbi01
81,Joe Carveth,1941,1951,8,322,104,130,234,,43,83,20,1,18,95,35,0,,,,,carvejo01
82,Walt McKechnie,1975,1983,5,321,89,167,256,-19,218,69,11,9,13,112,44,11,576,15.5,,,mckecwa01
83,Frans Nielsen,2017,2021,5,319,48,76,124,-41,54,35,8,5,7,49,24,3,526,9.1,4979,15:36,nielsfr01
84,Mickey Redmond,1971,1976,6,317,177,132,309,-60,107,122,55,0,26,80,52,0,1214,14.6,,,redmomi01
85,Bill Quackenbush*,1943,1949,7,314,40,90,130,,49,31,8,1,7,78,12,0,,,,,quackbi01
86,Larry Murphy*,1997,2001,5,312,35,136,171,56,136,18,15,2,6,82,51,3,545,6.4,4792,21:59,murphla01
87,Marcel Dionne*,1972,1975,4,309,139,227,366,-50,59,94,35,10,10,136,89,2,1208,11.5,,,dionnma01
88,Todd Bertuzzi,2007,2014,6,308,61,89,150,-2,263,49,12,0,7,71,18,0,597,10.2,4870,15:49,bertuto01
