--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Gilbert Perreault*,1971,1987,17,1191,512,814,1326,41,500,370,134,8,81,512,298,4,3077,16.6,,,perregi01
2,Craig Ramsay,1972,1985,14,1070,252,420,672,324,201,208,17,27,32,352,48,20,1617,15.6,,,ramsacr01
3,Mike Ramsey,1980,1993,14,911,73,256,329,166,924,59,12,2,15,195,52,9,1323,5.5,,,ramsemi01
4,Rob Ray,1990,2003,14,889,40,50,90,-38,3189,38,2,0,4,49,1,0,367,10.9,1584,4:57,rayro01
5,Bill Hajt,1974,1987,14,854,42,202,244,320,433,36,2,4,3,187,9,6,857,4.9,,,hajtbi01
6,Dave Andreychuk*,1983,2001,12,837,368,436,804,22,592,207,161,0,38,256,180,0,2342,15.7,887,12:00,andreda01
7,Don Luce,1972,1981,10,766,216,310,526,214,304,169,22,25,30,270,22,18,1774,12.2,,,lucedo01
8,Jason Pominville,2004,2019,11,733,217,304,521,20,159,159,48,10,24,193,106,5,1908,11.4,12886,17:35,pominja01
9,Alexei Zhitnik,1995,2004,10,712,55,234,289,-33,822,27,23,5,7,105,119,10,1482,3.7,11463,25:18,zhitnal01
10,Rick Martin,1972,1981,10,681,382,313,695,12,475,268,114,0,47,210,103,0,2515,15.2,,,martiri01
11,Mike Foligno,1982,1991,10,664,247,264,511,115,1448,183,62,2,42,199,61,4,1450,17.0,,,foligmi01
12,Ric Seiling,1978,1986,9,664,176,200,376,116,524,141,26,9,23,168,23,9,1125,15.6,,,seiliri01
13,Zemgus Girgensons,2014,2023,9,625,81,93,174,-65,171,69,5,7,5,85,6,2,934,8.7,9062,14:30,girgeze01
14,Jochen Hecht,2003,2013,10,613,138,207,345,67,322,111,20,7,17,166,36,5,1602,8.6,10869,17:44,hechtjo01
15,Phil Housley*,1983,1990,8,608,178,380,558,3,386,113,61,4,25,189,189,2,1597,11.1,,,houslph01
16,Lindy Ruff,1980,1989,10,608,102,183,285,3,1128,83,17,2,20,134,46,3,1063,9.6,,,ruffli01
17,Thomas Vanek,2006,2014,9,598,254,243,497,29,362,145,106,3,41,165,78,0,1685,15.1,10047,16:48,vanekth01
18,Richard Šmehlík,1993,2002,9,589,47,135,182,67,399,37,5,5,5,105,21,9,647,7.3,5231,20:45,smehlri01
19,Jim Schoenfeld,1973,1985,11,584,45,183,228,230,1025,29,16,0,4,153,22,8,1064,4.2,,,schoeji01
20,Jay McKee,1996,2006,10,582,17,81,98,45,470,15,1,1,3,63,10,8,462,3.7,9341,19:23,mckeeja01
21,Miroslav Šatan,1997,2004,8,578,224,232,456,44,233,135,74,15,33,150,75,7,1560,14.4,10055,20:39,satanmi01
22,Larry Playfair,1979,1990,10,577,24,76,100,2,1392,24,0,0,2,74,2,0,412,5.8,,,playfla01
23,Maxim Afinogenov,2000,2009,9,569,134,200,334,-26,440,101,32,1,20,134,66,0,1376,9.7,8424,14:48,afinoma01
24,Drew Stafford,2007,2015,9,563,145,177,322,-20,327,107,36,2,19,136,40,1,1336,10.9,8991,15:58,staffdr01
25,Derek Roy,2004,2012,8,549,161,266,427,39,331,108,45,8,30,171,92,3,1271,12.7,10481,19:05,royde01
26,Curtis Brown,1995,2004,10,542,109,143,252,76,288,78,22,9,21,115,24,4,941,11.6,7708,17:17,browncu01
27,Rasmus Ristolainen,2014,2021,8,542,46,199,245,-163,291,32,14,0,6,100,97,2,1126,4.1,12943,23:53,ristora01
28,Jerry Korab,1974,1985,9,537,67,216,283,78,870,40,24,3,8,133,78,5,1185,5.7,,,korabje01
29,Henrik Tallinder,2002,2014,9,532,22,94,116,25,312,20,1,1,2,80,7,7,415,5.3,10551,19:50,tallihe01
30,René Robert,1972,1979,8,524,222,330,552,47,401,169,53,0,32,186,144,0,1754,12.7,,,roberre01
31,Danny Gare,1975,1982,8,503,267,233,500,187,686,200,66,1,35,174,58,1,1780,15.0,,,gareda01
32,Adam Mair,2003,2010,7,498,35,70,105,-10,701,33,1,1,5,69,1,0,482,7.3,4627,9:17,mairad01
33,Jim Lorentz,1972,1978,7,487,134,197,331,-6,126,87,46,1,25,146,50,1,917,14.6,,,lorenji01
34,Doug Bodger,1989,1996,8,479,54,233,287,15,506,20,33,1,4,81,144,8,1032,5.2,,,bodgedo01
35,Paul Gaustad,2003,2012,8,479,71,110,181,14,585,55,15,1,10,89,17,4,736,9.6,7170,14:58,gaustpa01
36,André Savard,1977,1983,7,467,130,175,305,67,221,108,15,7,16,154,17,4,808,16.1,,,savaran01
37,Dmitri Kalinin,2000,2008,8,466,34,111,145,11,289,23,8,3,4,75,35,1,552,6.2,9188,19:43,kalindm01
38,Tim Connolly,2002,2011,8,464,94,226,320,-2,174,54,37,3,24,125,96,5,980,9.6,8154,17:34,connoti01
39,Kyle Okposo,2017,2023,7,455,91,132,223,-76,210,57,30,4,12,87,44,1,915,9.9,7098,15:36,okposky01
40,Sam Reinhart,2015,2021,7,454,134,161,295,-97,90,88,46,0,19,116,45,0,988,13.6,8219,18:06,reinhsa01
41,Christian Ruuttu,1987,1992,6,438,101,230,331,16,483,71,22,8,10,156,68,6,925,10.9,,,ruuttch01
42,Aleš Kotalík,2002,2009,7,426,114,126,240,-24,267,75,39,0,16,74,52,0,1084,10.5,6441,15:07,kotalal01
43,Brad May,1992,1998,7,425,67,89,156,-10,1323,58,9,0,12,72,17,0,688,9.7,,,maybr01
44,Donald Audette,1991,2001,9,421,166,131,297,-6,335,100,65,1,30,86,45,0,1103,15.0,209,17:25,audetdo01
45,Tyler Ennis,2010,2017,8,419,97,139,236,-65,168,73,23,1,5,87,52,0,964,10.1,7124,17:00,ennisty01
46,Derek Plante,1994,1999,6,395,91,145,236,21,126,66,24,1,14,88,52,5,851,10.7,636,15:31,plantde01
47,Johan Larsson,2014,2020,7,392,38,59,97,-41,190,33,3,2,7,52,6,1,440,8.6,5742,14:39,larssjo02
48,Brian Campbell,2000,2008,8,391,32,144,176,-7,113,23,9,0,7,88,55,1,481,6.7,7597,19:26,campbbr02
49,Alexander Mogilny,1990,1995,6,381,211,233,444,44,203,130,78,3,29,141,88,4,1333,15.8,,,mogilal01
50,Václav Varaďa,1996,2003,8,376,46,98,144,12,326,41,5,0,5,86,11,1,608,7.6,5344,15:35,varadva01
51,Jack Eichel,2016,2021,6,375,139,216,355,-69,142,97,41,1,25,128,86,2,1324,10.5,7621,20:19,eicheja01
52,Toni Lydman,2006,2010,5,371,14,91,105,30,311,11,3,0,2,76,12,3,374,3.7,7785,20:59,lydmato01
53,Gilles Hamel,1981,1986,6,365,92,114,206,-28,215,67,17,8,10,82,32,0,650,14.2,,,hamelgi01
54,Tyler Myers,2010,2015,6,365,45,106,151,-31,256,31,14,0,9,66,39,1,529,8.5,8347,22:52,myersty01
55,Jason Woolley,1998,2003,6,365,40,125,165,31,258,21,19,0,11,50,75,0,607,6.6,5219,17:45,woollja01
56,Tony McKegney,1979,1983,5,363,127,141,268,39,117,99,28,0,13,117,24,0,808,15.7,,,mckegto01
57,Michael Peca,1996,2000,5,363,96,121,217,50,352,55,27,14,17,80,29,12,721,13.3,3156,20:22,pecami01
58,J.P. Dumont,2001,2006,5,362,102,121,223,-33,218,65,37,0,15,84,37,0,717,14.2,5662,15:39,dumonjp01
59,Rasmus Dahlin,2019,2023,5,355,46,187,233,-66,258,29,17,0,10,100,86,1,756,6.1,8016,22:35,dahlira01
60,Jake McCabe,2014,2021,8,353,18,59,77,-28,203,14,2,2,2,56,3,0,351,5.1,6798,19:15,mccabja01
61,Jeff Skinner,2019,2023,5,353,129,116,245,-32,139,107,22,0,15,86,30,0,1066,12.1,6003,17:00,skinnje01
62,Brian Holzinger,1995,2000,6,352,70,97,167,-6,202,49,16,5,12,70,21,6,556,12.6,2201,15:43,holzibr01
63,Patrick Kaleta,2007,2015,9,348,27,27,54,-18,542,24,0,3,5,26,0,1,324,8.3,3443,9:54,kaletpa01
64,Marcus Foligno,2012,2017,6,347,49,67,116,-17,334,42,3,4,6,57,8,2,401,12.2,5128,14:47,foligma01
65,James Patrick,1999,2004,6,345,23,51,74,40,104,19,4,0,5,37,14,0,271,8.5,5920,17:10,patrija01
66,John Tucker,1984,1991,8,345,116,154,270,2,142,78,38,0,10,97,56,1,613,18.9,,,tuckejo01
67,Paul Cyr,1983,1988,6,343,85,111,196,-29,454,64,19,2,8,75,35,1,680,12.5,,,cyrpa01
68,Dale Hawerchuk*,1991,1995,5,342,110,275,385,-29,204,61,48,1,16,130,145,0,978,11.2,,,hawerda01
69,Mike Weber,2008,2016,8,341,9,44,53,-42,409,9,0,0,0,41,0,3,259,3.5,6032,17:41,webermi01
70,Andrej Sekera,2007,2013,7,339,17,75,92,6,102,15,2,0,2,60,14,1,380,4.5,6765,19:57,sekeran01
71,Lee Fogolin,1975,1987,6,338,8,70,78,28,432,5,3,0,2,68,1,1,305,2.6,,,fogolle02
72,Richie Dunn,1978,1989,9,327,27,105,132,36,235,15,12,0,4,62,42,1,561,4.8,,,dunnri01
73,Uwe Krupp,1987,1992,6,327,25,78,103,19,386,17,6,2,1,55,19,4,389,6.4,,,kruppuw01
74,Jocelyn Guevremont,1975,1979,5,324,38,130,168,143,189,26,12,0,6,81,46,3,811,4.7,,,guevrjo01
75,Pierre Turgeon,1988,1992,5,322,122,201,323,13,119,62,57,3,21,128,70,3,664,18.4,,,turgepi01
76,Matthew Barnaby,1993,1999,7,317,47,79,126,11,1248,43,4,0,6,68,11,0,448,10.5,613,13:56,barnama01
77,Stu Barnes,1999,2003,5,310,67,105,172,-11,98,44,18,5,13,70,32,3,573,11.7,5690,18:21,barnest01
78,Michal Grošek,1996,2000,5,308,62,98,160,67,299,51,11,0,9,78,20,0,500,12.4,2303,16:49,grosemi01
79,Dixon Ward,1996,2000,5,307,56,80,136,38,169,45,4,7,14,66,11,3,406,13.8,2223,14:55,warddi01
80,Gerry Meehan,1971,1975,5,306,94,114,208,-44,60,75,18,1,10,93,21,0,700,13.4,,,meehage01
81,Matt Moulson,2014,2018,5,297,46,77,123,-37,52,27,19,0,7,51,26,0,519,8.9,4235,14:15,moulsma01
82,Scott Arniel,1987,1990,4,295,64,74,138,21,243,57,1,6,12,68,4,2,446,14.3,,,arniesc01
83,John Van Boxmeer,1980,1983,4,294,49,166,215,70,239,30,18,1,5,84,82,0,796,6.2,,,vanbojo01
