--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Chris Phillips,1998,2015,17,1179,71,217,288,68,756,51,17,3,13,156,42,19,1421,5.0,22913,20:42,phillch02
2,Daniel Alfredsson*,1996,2013,17,1178,426,682,1108,153,500,270,131,25,69,385,279,18,3320,12.8,19244,19:56,alfreda01
3,Chris Neil,2002,2017,15,1026,112,138,250,-19,2522,96,16,0,12,122,16,0,1249,9.0,11258,10:58,neilch01
4,Wade Redden,1997,2008,11,838,101,309,410,159,576,49,51,1,21,164,139,6,1550,6.5,16281,24:05,reddewa01
5,Radek Bonk,1995,2004,10,689,152,247,399,24,401,101,45,6,25,149,93,5,1206,12.6,7786,17:11,bonkra01
6,Jason Spezza,2003,2014,11,686,251,436,687,54,434,159,90,2,36,272,162,2,1801,13.9,12781,18:38,spezzja01
7,Mike Fisher,2000,2011,11,675,167,181,348,21,554,118,35,14,31,137,31,13,1528,10.9,11465,16:59,fishemi01
8,Erik Karlsson,2010,2018,9,627,126,392,518,-36,316,96,29,1,25,222,166,4,1845,6.8,16278,25:58,karlser01
9,Zack Smith,2009,2019,11,612,94,99,193,-48,693,74,6,14,14,86,7,6,992,9.5,9163,14:58,smithza01
10,Chris Kelly,2004,2017,8,545,80,108,188,4,272,72,2,6,11,90,3,15,775,10.3,7912,14:31,kellych01
11,Alexei Yashin,1994,2001,7,504,218,273,491,-59,222,137,77,4,31,166,104,3,1711,12.7,3483,21:14,yashial01
12,Marián Hossa*,1998,2004,7,467,188,202,390,64,243,130,54,4,32,116,83,3,1363,13.8,8108,17:38,hossama01
13,Shaun Van Allen,1997,2004,6,465,44,89,133,42,296,34,3,7,9,82,3,4,443,9.9,3577,11:44,vanalsh01
14,Bobby Ryan,2014,2020,7,455,107,159,266,-38,192,81,26,0,11,121,38,0,1020,10.5,7465,16:24,ryanbo01
15,Shawn McEachern,1997,2002,6,454,142,162,304,25,244,100,39,3,18,122,37,3,1248,11.4,5598,18:11,mceacsh01
16,Cody Ceci,2014,2019,6,440,32,86,118,-60,88,31,1,0,7,72,12,2,746,4.3,9270,21:04,cecico01
17,Jean-Gabriel Pageau,2013,2020,8,428,87,95,182,16,153,68,6,13,15,81,7,7,809,10.8,6951,16:14,pageaje01
18,Anton Volchenkov,2003,2010,7,428,16,78,94,61,297,16,0,0,2,63,4,11,476,3.4,8213,19:11,volchan01
19,Milan Michálek,2010,2016,7,412,115,109,224,-33,202,76,31,8,8,84,23,2,955,12.0,7381,17:55,michami01
20,Kyle Turris,2012,2018,7,407,117,157,274,24,207,89,25,3,23,107,48,2,1014,11.5,7765,19:05,turriky01
