--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Patrick Marleau,1998,2021,21,1607,522,589,1111,-22,481,342,163,17,101,352,233,4,3953,13.2,27837,18:10,marlepa01
2,Marc-Édouard Vlasic,2007,2023,17,1239,77,287,364,79,444,64,11,2,12,223,56,8,1608,4.8,26038,21:01,vlasima01
3,Joe Thornton,2006,2020,15,1104,251,804,1055,161,631,161,87,3,40,484,315,5,1892,13.3,20972,19:00,thornjo01
4,Joe Pavelski,2007,2019,13,963,355,406,761,108,371,224,121,10,60,243,157,6,2848,12.5,18182,18:53,paveljo01
5,Logan Couture,2010,2023,14,927,323,377,700,0,251,226,83,14,55,241,127,8,2543,12.7,16966,18:18,coutulo01
6,Brent Burns,2012,2022,11,798,172,422,594,-13,438,116,54,2,27,261,151,10,2643,6.5,19112,23:57,burnsbr01
7,Mike Rathje,1994,2004,11,671,27,128,155,11,439,15,11,1,2,84,38,6,687,3.9,9896,22:20,rathjmi01
8,Tomáš Hertl,2014,2023,10,664,203,247,450,-45,234,153,45,5,34,188,55,4,1513,13.4,11793,17:46,hertlto01
9,Scott Hannan,1999,2015,11,626,30,116,146,43,412,26,3,1,4,88,23,5,706,4.2,13217,21:07,hannasc01
10,Justin Braun,2011,2019,9,607,24,130,154,24,226,20,4,0,1,121,7,2,849,2.8,12101,19:56,braunju01
11,Owen Nolan,1996,2003,8,568,206,245,451,-34,934,117,75,14,25,143,89,13,1669,12.3,6945,19:54,nolanow01
12,Marco Sturm,1998,2006,8,553,128,145,273,42,242,82,32,14,27,104,37,4,1119,11.4,7559,15:47,sturmma01
13,Mike Ricci,1998,2004,7,529,101,162,263,19,355,57,38,6,15,113,42,7,723,14.0,7708,16:24,riccimi01
14,Marcus Ragnarsson,1996,2003,8,519,28,125,153,-25,392,16,12,0,5,81,38,6,558,5.0,6873,22:55,ragnama01
15,Jeff Friesen,1995,2001,7,512,149,201,350,-19,316,93,43,13,25,123,66,12,1121,13.3,4344,19:24,friesje01
16,Brad Stuart,2000,2014,8,486,39,131,170,35,281,22,16,1,11,77,48,6,684,5.7,10141,20:52,stuarbr02
17,Timo Meier,2017,2023,7,451,154,162,316,-39,259,116,38,0,21,130,31,1,1480,10.4,7643,16:57,meierti01
18,Douglas Murray,2006,2013,8,451,6,53,59,32,361,5,1,0,1,50,2,1,414,1.4,7889,17:29,murrado01
19,Jonathan Cheechoo,2003,2009,6,440,165,126,291,42,304,100,62,3,36,78,48,0,1208,13.7,7147,16:15,cheecjo01
20,Brenden Dillon,2015,2020,6,439,13,75,88,7,379,11,0,2,2,73,0,2,461,2.8,7756,17:40,dillobr01
21,Kevin Labanc,2017,2023,7,432,80,136,216,-61,201,67,13,0,15,91,45,0,826,9.7,6346,14:41,labanke01
22,Dan Boyle,2009,2014,6,431,68,201,269,19,305,36,32,0,12,95,104,2,1095,6.2,10611,24:37,boyleda01
23,Ryane Clowe,2006,2013,8,423,101,170,271,13,567,73,28,0,10,120,50,0,909,11.1,6989,16:31,clowery01
24,Melker Karlsson,2015,2020,6,396,60,52,112,-4,130,56,1,3,7,52,0,0,480,12.5,5152,13:01,karlsme01
25,Vincent Damphousse,1999,2004,6,385,92,197,289,14,316,50,39,3,19,102,87,8,852,10.8,7431,19:18,damphvi01
26,Matthew Nieto,2014,2023,7,364,47,62,109,-74,81,43,2,2,6,53,8,1,570,8.2,5209,14:19,nietoma01
27,Stéphane Matteau,1998,2002,5,345,55,64,119,12,241,51,3,1,8,60,2,2,348,15.8,3117,11:28,mattest01
28,Scott Thornton,2001,2006,5,342,77,70,147,-6,439,61,16,0,10,55,15,0,616,12.5,4686,13:42,thornsc01
29,Christian Ehrhoff,2004,2009,5,341,25,107,132,19,244,11,14,0,8,55,51,1,608,4.1,6601,19:21,ehrhoch01
30,Tommy Wingels,2011,2017,7,337,51,71,122,-19,197,42,5,4,10,53,15,3,615,8.3,4852,14:24,wingeto01
31,Bryan Marchment,1998,2003,6,334,13,53,66,33,706,12,0,1,3,46,5,2,320,4.1,5984,18:35,marchbr02
32,Jeff Odgers,1992,1996,5,334,48,34,82,-72,1001,35,13,0,2,26,8,0,368,13.0,,,odgerje01
33,Mark Smith,2001,2007,6,323,22,44,66,-4,398,17,4,1,2,38,5,1,316,7.0,3157,9:46,smithma01
34,Milan Michálek,2004,2009,5,317,91,123,214,49,184,64,26,1,25,74,46,3,763,11.9,5452,17:12,michami01
35,Kyle McLaren,2003,2008,5,302,12,71,83,19,301,10,1,1,1,56,14,1,259,4.6,6409,21:13,mclarky01
36,Todd Harvey,2000,2004,5,301,34,49,83,28,335,31,3,0,3,47,2,0,306,11.1,3171,10:32,harveto01
37,Jason Demers,2010,2015,6,300,16,82,98,20,119,10,6,0,2,56,25,1,382,4.2,5444,18:09,demerja01
38,Alexander Korolyuk,1998,2004,6,296,62,80,142,26,140,49,13,0,5,64,16,0,540,11.5,3707,13:23,korolal01
