--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Mike Modano*,1990,2010,20,1459,557,802,1359,118,918,372,156,29,92,453,331,18,4194,13.3,16636,20:08,modanmi01
2,Jamie Benn,2010,2023,14,1030,362,485,847,70,768,246,101,15,55,342,132,11,2741,13.2,18643,18:06,bennja01
3,Neal Broten,1981,1997,16,992,274,593,867,23,535,186,64,24,30,359,213,21,2177,12.6,,,brotene01
4,Jere Lehtinen,1996,2010,14,875,243,271,514,176,210,157,77,9,37,192,67,12,2102,11.6,12844,18:48,lehtije01
5,Sergei Zubov*,1997,2009,12,839,111,438,549,103,254,48,60,3,20,193,236,9,1694,6.6,18047,26:14,zubovse01
6,Brenden Morrow,2000,2013,13,835,243,285,528,102,1203,156,79,8,43,216,64,5,1562,15.6,14938,17:53,morrobr01
7,Derian Hatcher,1992,2003,12,827,71,223,294,88,1380,54,15,2,16,162,54,7,1207,5.9,9873,26:03,hatchde01
8,Curt Giles,1980,1991,12,760,40,177,217,31,625,32,7,1,4,128,41,8,745,5.4,,,gilescu01
9,Trevor Daley,2004,2015,11,756,67,164,231,6,509,50,15,2,15,122,37,5,1034,6.5,15830,20:56,daleytr01
10,Brian Bellows,1983,1992,10,753,342,380,722,-82,537,195,134,13,40,211,160,9,2416,14.2,,,bellobr01
11,Richard Matvichuk,1993,2004,12,733,38,129,167,45,584,28,8,2,7,97,27,5,790,4.8,9769,22:21,matviri01
12,Fred Barrett,1971,1983,12,730,23,123,146,-103,663,23,0,0,2,115,5,3,715,3.2,,,barrefr01
13,Darryl Sydor,1996,2009,10,714,69,265,334,82,401,33,35,1,9,115,149,1,1232,5.6,10859,20:36,sydorda01
14,Stéphane Robidas,2003,2014,11,704,46,165,211,24,610,24,21,1,6,96,65,4,1028,4.5,14497,20:36,robidst01
15,Tyler Seguin,2014,2023,10,698,270,345,615,11,213,190,78,2,48,223,120,2,2482,10.9,13344,19:07,seguity01
16,Bill Goldsworthy,1968,1977,10,670,267,239,506,-86,711,198,66,3,34,174,64,1,2237,11.9,,,goldsbi01
17,Lou Nanne,1968,1978,11,635,68,157,225,-108,356,49,18,1,10,108,45,4,883,7.7,,,nannelo01
18,Tom Reid,1969,1978,10,615,17,106,123,-121,617,16,1,0,5,87,14,5,784,2.2,,,reidto01
19,Steve Payne,1979,1988,10,613,228,238,466,31,435,148,79,1,19,164,74,0,1621,14.1,,,paynest01
20,Dave Gagner,1988,1996,9,609,247,287,534,-12,746,144,98,5,29,166,116,5,1686,14.7,,,gagneda01
21,Dino Ciccarelli*,1981,1989,9,602,332,319,651,-2,642,201,130,1,27,214,104,1,1956,17.0,,,ciccadi01
22,J.P. Parise,1968,1979,9,588,154,242,396,-85,509,120,31,3,17,186,53,3,1365,11.3,,,parisjp01
23,Craig Ludwig,1992,1999,8,584,11,65,76,20,741,10,1,0,1,59,0,6,428,2.6,1161,14:31,ludwicr01
24,Bobby Smith,1979,1993,9,572,185,369,554,-43,487,108,77,0,24,232,136,1,1487,12.4,,,smithbo01
25,Craig Hartsburg,1980,1989,10,570,98,315,413,-6,815,56,40,2,11,133,180,2,1494,6.6,,,hartscr01
26,Steve Ott,2003,2012,9,566,85,135,220,-12,1170,61,20,4,12,103,25,7,800,10.6,8273,14:37,ottst01
27,Tim Young,1976,1983,8,565,178,316,494,-71,401,123,51,4,23,205,104,7,1424,12.5,,,youngti01
28,Radek Faksa,2016,2023,8,564,82,99,181,-11,336,70,6,6,12,90,6,3,811,10.1,8720,15:28,faksara01
29,Gordie Roberts,1981,1988,8,555,33,224,257,17,832,25,7,1,2,157,62,5,726,4.5,,,robergo02
30,John Klingberg,2015,2022,8,552,71,303,374,-8,213,52,19,0,21,174,129,0,1117,6.4,12688,22:59,klingjo01
31,Esa Lindell,2016,2023,8,522,44,121,165,87,132,33,7,4,7,92,22,7,820,5.4,11636,22:17,lindees01
32,Loui Eriksson,2007,2013,7,501,150,207,357,31,114,107,36,7,20,157,46,4,1060,14.2,9203,18:22,erikslo01
33,Brad Maxwell,1978,1987,9,472,82,217,299,-68,1031,50,31,1,8,116,100,1,1177,7.0,,,maxwebr02
34,Jamie Langenbrunner,1995,2011,9,471,95,158,253,21,390,66,24,5,23,112,44,2,898,10.6,4921,16:24,langeja01
35,Dennis O'Brien,1971,1978,8,470,27,75,102,-49,836,24,2,1,5,67,7,1,438,6.2,,,obriede01
36,Danny Grant,1969,1974,6,463,176,177,353,3,161,127,49,0,14,117,60,0,1367,12.9,,,grantda01
37,Mike Ribeiro,2007,2012,6,461,123,284,407,16,252,84,37,2,18,177,105,2,839,14.7,8738,18:57,ribeimi01
38,Al MacAdam,1979,1984,6,459,138,202,340,39,268,98,31,9,21,142,56,4,788,17.5,,,macadal01
39,Joe Nieuwendyk*,1996,2002,7,442,178,162,340,7,211,115,63,0,35,94,68,0,1104,16.1,4076,16:14,nieuwjo01
40,Antoine Roussel,2013,2018,6,413,64,77,141,-5,806,64,0,0,12,67,7,3,550,11.6,5556,13:27,roussan01
41,Grant Marshall,1995,2001,7,402,52,82,134,1,492,42,10,0,6,61,21,0,463,11.2,2378,11:46,marshgr01
42,Alex Goligoski,2011,2016,6,385,32,155,187,34,132,23,9,0,2,104,46,5,671,4.8,9121,23:41,goligal01
43,Tom McCarthy,1980,1986,7,385,146,187,333,40,293,105,38,3,22,130,54,3,798,18.3,,,mccarto02
44,Tom Younghans,1977,1982,6,382,41,36,77,-57,356,32,3,6,3,34,1,1,328,12.5,,,youngto01
45,Jason Spezza,2015,2019,5,379,81,147,228,-46,120,59,21,1,16,76,71,0,814,10.0,5774,15:14,spezzja01
46,Barry Gibbs,1970,1975,6,375,35,121,156,-34,600,23,11,1,4,82,35,4,791,4.4,,,gibbsba01
47,Mark Tinordi,1989,1994,6,375,35,106,141,-16,1015,21,14,0,4,60,42,4,508,6.9,,,tinorma01
48,Murray Oliver,1971,1975,5,371,83,118,201,-19,62,62,18,3,7,92,26,0,758,10.9,,,olivemu01
49,Ulf Dahlén,1990,2003,6,369,130,149,279,-7,46,75,54,1,18,81,68,0,843,15.4,871,13:49,dahleul01
50,Shane Churla,1989,1996,8,366,24,36,60,-27,1883,20,4,0,3,31,5,0,283,8.5,,,churlsh01
51,Vernon Fiddler,2012,2016,5,366,43,69,112,-7,210,35,5,3,4,59,3,7,518,8.3,4752,12:59,fiddlve01
52,Guy Carbonneau*,1996,2000,5,364,34,66,100,17,181,29,0,5,8,64,1,1,364,9.3,2067,14:27,carbogu01
53,Miro Heiskanen,2019,2023,5,354,44,160,204,6,96,34,10,0,8,97,61,2,828,5.3,8641,24:24,heiskmi01
54,Bob Rouse,1984,1989,6,351,9,58,67,-26,735,9,0,0,2,56,0,2,370,2.4,,,rousebo01
55,Cody Eakin,2013,2017,5,349,61,85,146,-13,184,45,10,6,11,74,9,2,584,10.4,5820,16:41,eakinco01
56,Philippe Boucher,2003,2009,6,346,52,110,162,72,380,27,23,2,12,66,39,5,768,6.8,7658,22:08,bouchph01
57,Keith Acton,1984,1988,5,343,87,148,235,-38,380,67,14,6,13,102,38,8,663,13.1,,,actonke01
58,Nicklas Grossmann,2007,2012,6,333,3,38,41,5,170,3,0,0,1,37,1,0,236,1.3,5920,17:47,grossni01
59,Stu Barnes,2003,2008,5,329,53,67,120,13,136,46,3,4,13,55,7,5,472,11.2,5300,16:07,barnest01
60,Dennis Hextall,1972,1976,5,328,84,216,300,-38,567,69,14,1,10,169,46,1,595,14.1,,,hextade01
61,Basil McRae,1988,1992,5,323,32,58,90,-63,1567,26,6,0,2,49,9,0,432,7.4,,,mcraeba01
62,Kent-Erik Andersson,1978,1982,5,322,59,68,127,-21,56,46,7,6,12,56,5,7,473,12.5,,,anderke01
63,Shawn Chambers,1988,2000,7,320,19,78,97,5,254,11,4,4,3,42,33,3,487,3.9,1152,17:44,chambsh01
64,Jude Drouin,1971,1975,5,319,79,183,262,-10,187,64,15,0,15,134,49,0,972,8.1,,,drouiju01
65,Glen Sharpley,1977,1981,5,318,98,138,236,-79,176,72,25,1,10,113,23,2,744,13.2,,,sharpgl01
66,Willi Plett,1983,1987,5,317,70,63,133,-34,1135,56,14,0,6,58,5,0,433,16.2,,,plettwi01
67,Roope Hintz,2019,2023,5,312,117,128,245,51,102,79,30,8,21,74,53,1,708,16.5,5172,16:35,hintzro01
68,Dennis Maruk,1979,1989,7,309,80,156,236,0,234,61,19,0,7,105,49,2,588,13.6,,,marukde01
69,Pat Verbeek,1997,2002,4,305,72,92,164,25,503,47,25,0,15,66,26,0,577,12.5,1881,13:15,verbepa01
70,Brian Lawton,1984,1988,5,303,71,91,162,16,250,57,14,0,14,76,14,1,492,14.4,,,lawtobr01
71,Jordie Benn,2012,2017,6,302,11,60,71,7,119,8,3,0,2,51,5,4,310,3.5,5386,17:50,bennjo01
72,Doug Hicks,1975,1978,4,300,18,48,66,-102,224,12,5,1,1,38,9,1,342,5.3,,,hicksdo01
73,Gaétan Duchesne,1990,1993,4,297,45,45,90,21,183,40,0,5,6,42,0,3,433,10.4,,,duchega01
74,Mattias Janmark,2016,2020,4,297,46,63,109,-10,76,37,5,4,7,54,7,2,435,10.6,4545,15:18,janmama02
75,Alexander Radulov,2018,2022,5,294,79,133,212,23,208,56,23,0,16,86,47,0,675,11.7,5236,17:49,radulal01
76,Stew Gavin,1989,1993,5,289,39,47,86,5,232,33,0,6,2,39,1,7,494,7.9,,,gavinst01
77,Joe Pavelski,2020,2023,4,287,94,146,240,81,67,50,44,0,11,104,40,2,664,14.2,5168,18:00,paveljo01
78,Brent Gilchrist,1993,2002,6,286,58,66,124,-16,115,41,12,5,10,58,7,1,494,11.7,327,12:35,gilchbr01
79,Jamie Oleksiak,2013,2021,9,286,16,31,47,-32,184,16,0,0,4,30,0,1,295,5.4,4571,15:59,oleksja01
80,Matt Niskanen,2008,2011,4,277,16,66,82,-5,136,12,4,0,2,42,24,0,371,4.3,5256,18:58,niskama01
81,Dean Talafous,1975,1978,4,277,61,90,151,-75,59,45,15,1,8,61,29,0,470,13.0,,,talafde01
82,František Musil,1987,1991,5,271,14,46,60,2,547,12,1,1,2,36,9,1,322,4.3,,,musilfr01
83,Grant Ledyard,1994,2001,5,270,20,85,105,32,147,8,12,0,2,45,38,2,485,4.1,123,15:26,ledyagr01
84,Charlie Burns,1970,1973,4,268,27,53,80,0,60,24,0,3,3,44,2,7,300,9.0,,,burnsch01
85,Krys Barch,2007,2012,6,263,10,16,26,-9,578,10,0,0,3,16,0,0,109,9.2,1665,6:20,barchkr01
86,Mark Fistric,2008,2012,5,257,3,20,23,16,220,3,0,0,1,18,0,2,154,1.9,3856,15:00,fistrma01
87,Denis Gurianov,2017,2023,6,257,46,57,103,1,54,31,15,0,8,43,14,0,499,9.2,3502,13:37,guriade01
88,Mike Craig,1991,1994,4,248,51,67,118,-48,432,36,15,0,8,41,26,0,476,10.7,,,craigmi01
89,Jim Johnson,1991,1994,4,247,8,46,54,23,358,7,1,0,1,38,6,2,258,3.1,,,johnsji02
90,Ted Harris,1971,1974,4,246,11,52,63,17,294,10,1,0,1,49,2,1,283,3.9,,,harrite01
91,Ron Zanussi,1978,1981,4,244,49,75,124,-9,353,40,9,0,5,60,15,0,366,13.4,,,zanusro01
92,Toby Petersen,2008,2013,6,243,17,23,40,-10,38,14,0,3,0,22,1,0,298,5.7,2473,10:11,peterto01
93,Mike Keane,1998,2001,4,242,31,61,92,11,143,24,2,5,6,57,3,1,270,11.5,3476,15:11,keanemi01
94,Brett Ritchie,2015,2019,5,241,33,21,54,1,156,29,4,0,5,18,3,0,434,7.6,2811,11:40,ritchbr01
95,Todd Harvey,1995,1998,4,239,38,61,99,8,449,32,6,0,5,44,17,0,352,10.8,,,harveto01
96,Niko Kapanen,2002,2006,4,239,20,56,76,-1,98,12,5,3,5,47,9,0,237,8.4,3211,13:26,kapanni01
97,Benoît Hogue,1996,2002,6,238,39,73,112,16,179,29,10,0,6,55,17,1,322,12.1,944,12:06,hoguebe01
98,Antti Miettinen,2004,2008,4,238,38,53,91,-10,118,23,15,0,6,41,12,0,401,9.5,3140,13:11,miettan01
99,Bob Brooke,1987,1990,4,237,26,51,77,-29,276,18,2,6,3,32,13,6,383,6.8,,,brookbo01
100,Jason Arnott,2002,2006,4,236,79,105,184,44,225,53,25,1,18,72,33,0,507,15.6,3982,16:52,arnotja01
101,Kirk Muller,2000,2003,4,235,19,49,68,-25,96,12,7,0,3,36,12,1,270,7.0,3048,12:58,mulleki01
102,Scott Bjugstad,1984,1988,5,229,68,58,126,-21,116,48,18,2,11,34,22,2,459,14.8,,,bjugssc01
103,Brad Lukowich,1998,2011,6,229,9,20,29,16,187,9,0,0,3,16,3,1,145,6.2,3041,13:31,lukowbr01
104,Tom Wandell,2009,2013,5,229,20,23,43,-9,52,20,0,0,5,21,1,1,319,6.3,2584,11:17,wandeto01
105,Dirk Graham,1984,1988,5,226,67,79,146,-33,291,44,14,9,6,61,17,1,527,12.7,,,grahadi01
106,Mike Polich,1979,1981,3,225,24,29,53,-16,57,23,0,1,1,26,1,2,219,11.0,,,policmi01
107,Valeri Nichushkin,2014,2019,4,223,23,51,74,13,22,20,3,0,3,49,2,0,338,6.8,3073,13:47,nichuva01
108,Jason Dickinson,2016,2021,6,221,25,38,63,10,64,25,0,0,5,36,1,1,272,9.2,3056,13:50,dickija01
109,Bill Collins,1968,1970,3,220,47,30,77,-37,113,38,2,7,4,24,4,2,423,11.1,,,collibi01
110,Dave Reid,1997,1999,3,220,31,43,74,-3,40,25,5,1,6,37,4,2,306,10.1,844,11:34,reidda02
111,Brad Richards,2008,2011,4,220,70,157,227,-17,44,44,25,1,7,89,66,2,757,9.2,4611,20:58,richabr01
112,Niklas Hagman,2006,2008,3,218,50,35,85,5,101,38,6,6,10,25,7,3,404,12.4,3071,14:05,hagmani01
113,Brett Hull*,1999,2001,3,218,95,101,196,8,91,58,37,0,22,57,44,0,634,15.0,3927,18:01,hullbr01
114,Bill Guerin,2003,2006,3,216,72,87,159,19,337,49,23,0,14,49,37,1,702,10.3,3870,17:55,gueribi01
115,Jussi Jokinen,2006,2008,3,215,45,86,131,12,62,26,19,0,5,45,41,0,321,14.0,2901,13:30,jokinju01
116,James Neal,2009,2011,3,214,72,59,131,-8,175,55,16,1,9,46,12,1,531,13.6,3685,17:13,nealja01
117,Brian MacLellan,1987,1989,3,211,64,86,150,-54,247,37,27,0,9,49,37,0,454,14.1,,,maclebr01
118,Jason Robertson,2020,2023,4,210,104,130,234,66,58,77,27,0,21,88,42,0,664,15.7,3783,18:01,roberja01
119,Devin Shore,2016,2019,4,209,29,53,82,-32,35,24,3,2,4,36,16,1,283,10.2,3019,14:27,shorede01
120,Greg Smith,1979,1981,3,209,15,61,76,-13,376,11,3,1,3,49,11,1,383,3.9,,,smithgr01
121,Ray Cullen,1968,1970,3,208,71,91,162,-52,70,54,17,0,11,63,28,0,541,13.1,,,cullera01
122,Danny O'Shea,1969,1971,3,208,39,70,109,-36,188,31,8,0,6,49,21,0,448,8.7,,,osheada01
