--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Mikko Koivu,2006,2020,15,1028,205,504,709,70,592,135,60,10,33,298,191,15,2270,9.0,19718,19:11,koivumi01
2,Jared Spurgeon,2011,2023,13,851,110,269,379,112,144,77,33,0,20,176,87,6,1415,7.8,18901,22:13,spurgja01
3,Nick Schultz,2002,2012,10,743,26,102,128,8,322,22,4,0,3,86,8,8,570,4.6,14551,19:35,schulni01
4,Jonas Brodin,2013,2023,11,741,47,166,213,71,228,38,8,1,9,136,24,6,949,5.0,16389,22:07,brodijo01
5,Ryan Suter,2013,2021,9,656,55,314,369,62,271,31,21,3,11,191,117,6,1225,4.5,17731,27:02,suterry01
6,Mathew Dumba,2014,2023,10,598,79,157,236,29,399,53,26,0,16,106,48,3,1121,7.0,12329,20:37,dumbama01
7,Pierre-Marc Bouchard,2003,2013,10,565,106,241,347,15,178,77,29,0,19,137,104,0,928,11.4,8760,15:30,bouchpi02
8,Zach Parise,2013,2021,9,558,199,201,400,21,207,128,69,2,39,150,49,2,1707,11.7,10247,18:22,parisza01
9,Marián Gáborík,2001,2009,8,502,219,218,437,54,301,154,59,6,43,130,86,2,1694,12.9,8991,17:55,gaborma01
10,Andrew Brunette,2002,2011,6,489,119,202,321,-28,106,64,55,0,16,121,81,0,657,18.1,7888,16:08,brunean01
11,Charlie Coyle,2013,2019,7,479,91,151,242,32,186,78,11,2,20,133,17,1,834,10.9,7850,16:23,coylech01
12,Mikael Granlund,2013,2019,7,461,93,224,317,32,118,66,20,7,18,151,70,3,929,10.0,8300,18:00,granlmi01
13,Jason Zucker,2012,2020,9,456,132,111,243,21,171,107,22,3,22,86,23,2,1049,12.6,7135,15:39,zuckeja01
14,Brent Burns,2004,2011,7,453,55,128,183,-21,325,29,26,0,13,79,45,4,794,6.9,8990,19:51,burnsbr01
15,Kyle Brodziak,2010,2015,6,446,72,97,169,-46,272,60,8,4,6,81,13,3,715,10.1,7182,16:06,brodzky01
16,Wes Walz,2001,2008,7,438,82,100,182,13,272,67,1,14,15,90,3,7,647,12.7,7025,16:02,walzwe01
17,Nino Niederreiter,2014,2019,6,434,110,118,228,43,207,81,28,1,16,97,21,0,851,12.9,6433,14:49,niedeni01
18,Stéphane Veilleux,2003,2015,9,428,47,50,97,-50,300,43,2,2,5,43,4,3,593,7.9,5565,13:00,veillst01
19,Joel Eriksson Ek,2017,2023,7,421,92,114,206,39,160,65,25,2,13,94,18,2,941,9.8,6743,16:01,eriksjo02
20,Marcus Foligno,2018,2023,6,396,67,89,156,47,415,60,6,1,7,81,7,1,477,14.0,5451,13:46,foligma01
21,Marco Scandella,2011,2017,7,373,27,62,89,-10,148,23,4,0,6,50,10,2,503,5.4,7391,19:49,scandma01
22,Filip Kuba,2001,2006,5,357,33,99,132,-19,161,15,14,4,9,58,38,3,554,6.0,8538,23:55,kubafi01
23,Nate Prosser,2010,2019,10,353,10,37,47,0,231,9,0,1,4,30,5,2,187,5.3,4854,13:45,prossna01
24,Cal Clutterbuck,2008,2013,6,346,62,48,110,-27,337,47,9,6,8,41,5,2,711,8.7,5077,14:40,cluttca01
25,Pascal Dupuis,2001,2007,6,334,67,74,141,-5,162,45,18,4,7,52,18,4,729,9.2,5376,16:06,dupuipa01
26,Jason Pominville,2013,2017,5,327,76,130,206,24,40,62,14,0,14,93,37,0,865,8.8,5536,16:56,pominja01
27,Antti Laaksonen,2001,2004,4,323,55,63,118,-8,92,49,1,5,7,58,0,5,439,12.5,5228,16:11,laaksan01
28,Jordan Greenway,2018,2023,6,317,38,81,119,18,227,37,1,0,4,76,5,0,464,8.2,4507,14:13,greenjo02
29,Eric Staal,2017,2020,4,311,111,129,240,9,138,81,27,3,23,91,35,3,780,14.2,5585,17:58,staaler01
30,Kim Johnsson,2007,2010,4,289,15,72,87,-8,176,6,9,0,0,46,24,2,362,4.1,6889,23:50,johnski01
31,Willie Mitchell,2001,2006,5,288,9,48,57,28,333,8,0,1,2,40,5,3,256,3.5,6210,21:34,mitchwi01
32,Jim Dowd,2001,2004,4,283,32,89,121,-15,203,21,10,1,5,52,36,1,322,9.9,4283,15:08,dowdji01
33,Matt Cullen,2011,2018,4,272,44,79,123,-16,88,31,9,4,3,53,26,0,497,8.9,4395,16:10,cullema01
34,Erik Haula,2014,2017,4,266,42,47,89,33,113,37,2,3,8,43,1,3,381,11.0,3303,12:25,haulaer01
35,Ryan Hartman,2020,2023,4,261,65,79,144,42,287,59,3,3,16,63,13,3,576,11.3,4067,15:35,hartmry01
36,Martin Škoula,2006,2009,4,259,8,40,48,-19,82,8,0,0,1,34,5,1,223,3.6,5248,20:16,skoulma01
37,Derek Boogaard,2006,2010,5,255,2,12,14,-12,544,2,0,0,1,12,0,0,71,2.8,1311,5:09,boogade01
38,Mats Zuccarello,2020,2023,4,255,72,146,218,18,76,50,22,0,7,98,48,0,527,13.7,4613,18:05,zuccama01
39,Brian Rolston,2006,2008,3,241,96,106,202,19,149,50,39,7,21,50,55,1,887,10.8,4954,20:33,rolstbr01
40,Marek Židlický,2009,2012,4,241,25,98,123,-40,197,8,17,0,6,54,44,0,366,6.8,5414,22:28,zidlima01
41,Antti Miettinen,2009,2011,3,234,51,70,121,-6,114,32,17,2,11,47,21,2,529,9.6,4167,17:48,miettan01
